DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,
18.18,0.00,13.11,6.27,0.00,20.89,5.68,19.46,0.00,0.00,5.54,0.00,18.18,0.00,11.78,10.56,12.52,0.00,0.00,21.48,
0.00,0.00,14.65,0.00,5.50,11.05,7.68,9.65,0.00,17.24,11.90,10.38,9.90,0.00,0.00,9.62,0.00,0.00,9.45,8.05,
7.45,6.18,0.00,0.00,0.00,0.00,6.18,4.10,0.00,0.00,0.00,0.00,5.27,3.30,5.27,9.09,4.73,0.00,0.00,0.00,
20.71,0.00,12.84,15.16,20.97,10.13,0.00,12.50,15.78,21.91,10.57,15.16,0.00,13.81,17.68,23.68,5.32,0.00,16.28,14.77,
6.36,0.00,6.07,7.79,0.00,0.00,6.08,8.00,0.00,7.85,0.00,6.93,0.00,7.79,8.93,6.07,0.00,0.00,0.00,0.00,
22.67,35.13,18.97,15.03,17.64,0.00,23.64,18.53,12.34,13.35,10.43,24.72,27.18,17.29,16.92,30.31,19.33,18.56,13.08,12.92,
10.87,43.46,13.05,14.17,0.00,21.81,13.71,14.58,31.81,24.50,16.11,13.35,22.84,31.50,29.05,28.74,27.26,0.00,12.87,0.00,
12.91,16.38,9.84,16.38,0.00,9.91,15.78,11.88,26.74,0.00,11.29,0.00,0.00,22.50,10.09,17.78,21.32,0.00,10.97,17.94,
9.03,28.16,0.00,0.00,0.00,6.61,9.11,6.89,0.00,0.00,18.65,0.00,0.00,23.28,11.50,17.23,0.00,16.28,0.00,8.90,
7.33,0.00,9.87,7.06,0.00,4.40,7.81,0.00,0.00,14.06,10.81,7.31,9.56,0.00,0.00,8.56,6.67,0.00,0.00,12.31,
6.53,7.79,0.00,4.07,0.00,0.00,4.21,0.00,0.00,0.00,5.36,0.00,0.00,0.00,6.67,3.27,0.00,0.00,0.00,0.00,
17.53,33.55,49.40,33.18,19.63,16.59,40.93,36.49,0.00,16.59,15.24,9.78,52.23,27.81,13.82,19.27,19.41,46.28,28.68,23.40,
35.57,25.32,18.13,14.93,44.04,35.18,46.73,13.19,41.29,12.78,11.40,12.71,57.57,40.88,0.00,45.40,17.16,30.12,34.73,17.57,
27.24,12.91,31.12,16.28,0.00,0.00,10.75,21.19,29.05,19.53,17.48,21.88,26.57,19.33,18.66,13.91,29.36,0.00,0.00,0.00,
0.00,0.00,0.00,8.59,0.00,7.53,13.07,0.00,8.06,0.00,7.31,7.65,0.00,6.27,6.19,0.00,0.00,0.00,0.00,7.31,
0.00,0.00,0.00,0.00,0.00,9.09,9.09,5.27,0.00,0.00,7.45,5.27,0.00,6.18,3.30,4.73,0.00,4.10,0.00,0.00,
0.00,9.38,0.00,11.08,0.00,0.00,0.00,11.08,3.75,6.15,7.08,0.00,0.00,5.69,5.54,0.00,0.00,9.38,6.92,8.00,
19.62,16.46,0.00,24.39,0.00,37.12,14.72,9.14,19.12,15.53,20.02,13.64,33.61,22.32,12.56,14.75,30.49,26.54,18.12,19.56,
15.12,10.72,13.79,22.41,0.00,23.07,15.89,20.73,15.53,9.79,14.39,19.71,10.27,23.46,32.62,29.52,24.39,0.00,0.00,39.02,
0.00,0.00,0.00,2.42,0.00,11.33,4.77,6.53,0.00,4.93,6.07,7.07,0.00,0.00,11.33,0.00,0.00,0.00,0.00,0.00,
0.00,0.00,5.69,7.79,0.00,0.00,6.92,0.00,0.00,8.93,6.08,0.00,0.00,0.00,6.07,0.00,5.08,0.00,8.93,10.36,
0.00,0.00,3.50,0.00,2.90,0.00,0.00,4.73,0.00,0.00,0.00,0.00,0.00,7.45,9.09,4.10,0.00,0.00,3.30,0.00,
0.00,0.00,0.00,0.00,0.00,9.09,0.00,3.50,0.00,6.18,6.18,0.00,0.00,0.00,1.83,0.00,0.00,0.00,0.00,0.00,
5.42,0.00,0.00,8.42,0.00,0.00,5.27,6.08,5.08,0.00,5.30,0.00,0.00,0.00,0.00,10.08,0.00,0.00,5.08,7.08,
25.04,9.35,12.81,13.19,0.00,8.81,0.00,9.62,15.88,0.00,7.76,12.59,13.70,21.48,8.96,6.00,0.00,0.00,13.42,23.19,
0.00,6.08,4.10,0.00,0.00,0.00,3.45,0.00,0.00,0.00,5.42,0.00,5.08,0.00,0.00,10.08,0.00,0.00,4.10,0.00,
0.00,10.36,12.07,0.00,0.00,0.00,7.79,2.18,0.00,0.00,12.07,0.00,6.07,6.93,8.93,5.69,0.00,6.36,0.00,0.00,
0.00,6.50,0.00,0.00,0.00,4.10,0.00,6.18,0.00,0.00,7.45,0.00,9.09,4.50,5.10,0.00,0.00,0.00,0.00,0.00,
10.59,10.15,0.00,15.19,8.81,22.19,13.42,11.11,10.59,0.00,9.41,0.00,13.89,0.00,22.46,0.00,8.67,18.18,15.18,15.78,
0.00,14.28,8.28,9.41,0.00,0.00,6.47,0.00,0.00,0.00,13.29,8.59,0.00,5.65,12.72,12.72,11.39,0.00,11.39,5.53,
17.21,15.40,10.21,16.42,15.59,43.28,18.96,27.39,0.00,14.58,22.31,19.52,52.17,19.33,0.00,38.17,34.22,21.17,26.81,47.76,
0.00,7.21,0.00,24.18,0.00,0.00,17.04,12.81,14.74,13.19,23.19,0.00,0.00,16.04,7.04,5.84,10.30,0.00,15.18,13.46,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,17.05,0.00,11.16,12.32,0.00,12.61,3.31,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,7.83,7.17,0.00,15.26,3.19,0.00,0.00,0.00,11.16,2.62,12.32,0.00,0.00,15.26,
9.19,7.88,0.00,15.19,8.81,22.19,19.46,11.11,10.59,0.00,8.88,0.00,0.00,0.00,22.46,0.00,8.67,18.18,15.18,15.78,
7.65,13.29,0.00,11.76,0.00,8.00,0.00,4.53,0.00,0.00,15.06,7.53,8.00,9.41,11.76,8.67,10.47,8.59,0.00,0.00,
11.52,7.91,16.64,12.80,0.00,13.52,8.14,8.52,0.00,0.00,10.88,0.00,0.00,0.00,7.39,10.79,0.00,21.20,18.00,7.71,
13.61,0.00,11.91,11.43,0.00,31.03,16.48,25.76,31.03,9.35,9.23,7.10,15.52,11.59,0.00,20.42,15.43,19.39,0.00,27.39,
10.91,14.91,26.00,9.97,0.00,8.67,12.79,0.00,0.00,14.97,6.77,8.67,18.69,0.00,0.00,32.14,0.00,0.00,19.36,17.36,
4.67,10.81,0.00,0.00,0.00,0.00,4.36,4.67,0.00,0.00,8.40,0.00,0.00,0.00,8.56,3.75,0.00,0.00,0.00,0.00,
10.05,8.95,0.00,0.00,0.00,0.00,6.72,12.70,14.00,0.00,16.09,0.00,0.00,0.00,10.87,7.35,0.00,0.00,6.48,0.00,
5.27,9.09,0.00,6.18,0.00,0.00,0.00,3.33,0.00,9.09,7.45,0.00,0.00,4.73,0.00,0.00,5.27,0.00,4.73,0.00,
15.49,33.51,48.09,36.46,19.59,22.82,29.60,0.00,56.91,14.96,31.17,11.13,54.12,26.85,19.82,19.49,15.79,48.07,35.25,13.29,
16.54,15.89,23.16,14.98,0.00,20.70,14.44,23.19,23.19,23.33,11.75,22.89,0.00,23.57,18.93,7.22,13.02,0.00,21.07,28.64,
21.83,19.46,26.97,24.66,0.00,11.74,20.64,34.06,0.00,0.00,7.25,23.47,63.34,24.30,17.73,24.96,28.72,69.48,60.81,49.34,
4.00,0.00,0.00,0.00,0.00,24.04,0.00,4.14,14.37,12.81,4.05,8.24,0.00,18.52,21.48,19.93,0.00,0.00,0.00,0.00,
0.00,0.00,0.00,3.82,0.00,0.00,5.42,0.00,6.92,0.00,0.00,6.92,0.00,6.15,5.75,5.42,0.00,0.00,0.00,9.38,
12.47,13.89,21.89,0.00,20.14,13.43,17.73,8.80,0.00,0.00,15.38,15.26,0.00,22.91,15.47,18.80,28.11,25.30,0.00,25.30,
24.18,12.07,9.26,0.00,13.19,17.04,10.89,10.74,0.00,0.00,16.04,8.42,0.00,14.30,15.18,17.84,11.48,17.04,16.04,13.46,
31.30,27.32,40.82,11.89,8.28,24.53,20.20,27.55,24.10,12.80,17.72,25.51,33.62,30.86,39.22,17.40,23.06,0.00,0.00,26.82,
9.58,12.12,19.37,13.44,0.00,30.36,15.37,22.03,20.14,21.66,10.74,28.69,0.00,34.03,16.79,12.23,27.14,0.00,13.56,18.69,
23.44,17.14,20.68,32.60,31.90,12.85,34.29,58.26,0.00,16.99,18.97,11.58,0.00,32.02,14.77,31.33,10.34,48.82,28.86,23.61,
10.30,16.74,17.21,19.32,0.00,26.74,30.15,7.42,16.74,16.38,7.30,21.58,0.00,0.00,19.82,4.15,23.79,0.00,0.00,0.00,
7.45,6.18,4.55,7.45,0.00,0.00,5.27,0.00,0.00,0.00,0.00,0.00,0.00,4.73,5.56,4.73,0.00,0.00,0.00,5.27,
9.56,12.31,6.53,4.67,0.00,0.00,6.00,10.81,7.06,0.00,5.60,0.00,0.00,9.87,12.31,14.06,0.00,0.00,0.00,0.00,
0.00,0.00,0.00,10.25,5.76,9.25,6.39,18.05,0.00,0.00,8.72,0.00,0.00,0.00,0.00,9.05,7.89,0.00,7.89,15.26,
9.38,9.38,0.00,0.00,0.00,8.00,0.00,3.58,0.00,0.00,5.54,0.00,0.00,6.15,3.45,11.08,0.00,5.69,0.00,11.08,
7.45,7.45,9.09,0.00,0.00,0.00,0.00,5.30,0.00,4.55,4.73,0.00,6.18,0.00,4.73,6.18,0.00,0.00,0.00,5.27,
8.97,28.16,17.78,13.09,0.00,0.00,9.35,10.97,15.76,17.70,8.14,0.00,0.00,0.00,16.06,6.07,19.53,24.24,16.48,18.48,
0.00,0.00,0.00,0.00,0.00,14.06,7.06,6.00,0.00,0.00,8.67,4.53,7.81,10.81,7.31,6.27,0.00,0.00,4.40,12.31,
10.76,5.54,15.16,0.00,13.86,9.74,24.43,15.41,13.74,0.00,9.63,0.00,0.00,0.00,0.00,16.32,18.65,0.00,14.00,24.78,
0.00,3.50,0.00,6.18,0.00,0.00,9.09,7.45,4.73,0.00,9.09,0.00,5.27,4.10,0.00,5.27,0.00,0.00,0.00,0.00,
0.00,7.73,0.00,10.81,0.00,14.06,8.56,9.56,12.31,0.00,0.00,0.00,7.81,7.06,5.20,4.67,14.06,7.31,0.00,12.31,
0.00,0.00,11.76,6.94,0.00,8.28,0.00,8.28,0.00,0.00,12.72,14.28,0.00,0.00,6.47,5.56,4.69,10.28,8.72,0.00,
6.15,9.38,11.08,0.00,0.00,0.00,0.00,4.91,0.00,0.00,5.54,0.00,0.00,4.92,8.00,6.15,6.92,0.00,0.00,11.08,
7.21,15.62,34.35,18.80,0.00,17.74,27.62,9.43,20.38,37.27,6.74,18.81,0.00,0.00,42.27,12.62,0.00,0.00,30.60,12.36,
0.00,4.55,0.00,0.00,0.00,9.09,0.00,7.45,0.00,6.18,6.18,5.27,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,
0.00,7.79,0.00,6.36,0.00,4.31,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.08,0.00,0.00,0.00,6.62,
17.78,23.31,34.76,23.53,0.00,15.32,14.94,34.83,53.34,50.81,11.24,18.15,63.34,24.51,17.83,21.31,34.81,69.48,58.31,0.00,
8.20,17.03,57.59,26.19,0.00,23.03,44.76,20.90,28.15,0.00,11.56,44.27,49.18,0.00,13.55,14.99,21.49,38.37,82.16,48.51,
7.37,9.65,13.25,0.00,0.00,7.37,0.00,10.28,0.00,8.32,0.00,9.65,10.25,12.05,11.05,6.42,0.00,16.25,0.00,9.47,
0.00,16.64,16.64,0.00,5.90,17.04,7.54,21.20,0.00,15.44,11.88,11.52,11.60,0.00,11.21,13.52,8.96,0.00,19.52,14.40,
0.00,4.73,5.27,0.00,0.00,3.50,0.00,0.00,0.00,0.00,3.30,6.18,0.00,5.27,0.00,9.09,6.50,0.00,0.00,0.00,
5.75,0.00,0.00,0.00,0.00,0.00,0.00,6.92,6.15,5.54,8.00,5.69,0.00,9.38,11.08,4.92,10.08,0.00,0.00,0.00,
5.29,7.83,0.00,8.53,0.00,0.00,4.59,0.00,0.00,8.63,0.00,0.00,0.00,11.16,7.94,9.39,17.05,0.00,15.26,0.00,
10.74,9.72,19.52,13.98,0.00,12.25,14.52,39.24,0.00,18.66,11.38,42.11,23.33,0.00,26.84,17.07,0.00,0.00,22.02,23.51,
0.00,8.00,0.00,0.00,0.00,0.00,11.08,5.69,0.00,0.00,9.38,0.00,0.00,4.08,2.70,0.00,5.42,0.00,0.00,8.00,
11.71,20.50,15.27,12.04,0.00,10.64,6.77,7.76,0.00,0.00,9.88,0.00,0.00,0.00,7.39,0.00,12.19,0.00,0.00,7.96,
11.39,0.00,6.50,9.39,0.00,6.94,11.16,10.21,9.47,0.00,15.26,0.00,13.68,13.68,0.00,0.00,6.94,12.32,0.00,0.00,
0.00,7.36,7.81,8.56,0.00,12.31,10.81,0.00,0.00,0.00,6.27,0.00,0.00,14.06,5.50,5.60,0.00,0.00,7.06,0.00,
0.00,0.00,13.07,7.73,0.00,0.00,0.00,3.92,0.00,0.00,5.50,0.00,0.00,8.67,0.00,4.58,7.73,0.00,0.00,7.07,
3.65,18.54,11.04,0.00,0.00,12.04,6.77,11.30,0.00,17.04,10.87,0.00,0.00,8.26,14.52,8.14,0.00,0.00,12.71,0.00,
10.16,18.61,23.14,20.17,0.00,14.38,14.34,22.03,0.00,22.03,21.66,0.00,10.38,0.00,12.47,0.00,13.83,0.00,8.48,25.69,
34.70,20.62,53.85,30.69,6.71,76.56,23.31,13.67,0.00,52.01,26.28,48.60,0.00,58.95,12.94,32.38,24.11,0.00,34.40,19.92,
5.27,4.10,0.00,0.00,0.00,0.00,0.00,4.55,0.00,7.45,5.27,4.73,0.00,7.45,6.18,9.09,0.00,0.00,0.00,6.18,
2.92,6.67,0.00,0.00,0.00,0.00,0.00,5.79,0.00,0.00,3.85,0.00,0.00,0.00,9.87,8.93,13.07,0.00,0.00,11.33,
0.00,5.42,0.00,3.45,0.00,0.00,9.09,3.82,0.00,6.08,7.08,0.00,0.00,0.00,0.00,10.08,5.08,0.00,0.00,5.08,
4.10,5.10,0.00,0.00,0.00,0.00,0.00,5.27,0.00,0.00,4.55,0.00,9.09,5.27,3.30,0.00,0.00,0.00,4.73,0.00,
13.12,11.84,11.21,13.30,0.00,0.00,10.38,0.00,0.00,11.52,3.81,11.60,0.00,0.00,12.80,11.39,13.13,0.00,19.52,0.00,
7.73,6.53,0.00,11.33,0.00,0.00,0.00,4.07,7.07,13.07,0.00,8.93,5.50,6.67,8.67,0.00,0.00,6.67,11.33,0.00,
9.09,4.73,9.09,1.78,0.00,0.00,5.27,0.00,0.00,4.73,0.00,0.00,0.00,5.10,0.00,5.27,0.00,0.00,0.00,0.00,
4.55,0.00,0.00,5.30,0.00,0.00,0.00,6.50,0.00,0.00,9.09,0.00,7.45,3.30,6.18,5.27,0.00,0.00,0.00,0.00,
0.00,5.54,11.08,4.75,0.00,0.00,6.92,5.75,11.08,0.00,6.15,0.00,0.00,4.73,0.00,5.69,0.00,0.00,0.00,0.00,
12.02,18.55,0.00,33.34,40.75,37.48,55.21,12.22,19.53,0.00,15.36,24.79,0.00,0.00,7.36,12.40,31.37,25.28,0.00,22.43,
10.08,6.08,0.00,0.00,0.00,0.00,0.00,6.08,0.00,0.00,0.00,0.00,0.00,3.27,2.22,7.08,5.08,0.00,0.00,10.08,
0.00,10.28,0.00,15.03,11.03,21.91,0.00,6.82,30.03,15.16,17.87,9.10,12.84,16.91,28.16,8.74,0.00,0.00,0.00,16.65,
5.30,5.30,0.00,0.00,0.00,0.00,0.00,7.45,0.00,4.73,4.55,0.00,0.00,6.18,4.73,6.50,0.00,0.00,0.00,0.00,
8.72,7.94,9.39,0.00,0.00,0.00,0.00,6.12,16.06,10.47,9.41,0.00,0.00,11.39,8.28,6.94,0.00,8.28,0.00,12.72,
0.00,0.00,0.00,0.00,0.00,8.00,0.00,10.36,0.00,0.00,0.00,12.07,0.00,3.75,4.77,6.62,0.00,0.00,4.42,0.00,
0.00,0.00,0.00,6.18,0.00,0.00,0.00,3.12,6.18,4.10,5.10,0.00,0.00,0.00,0.00,5.27,0.00,0.00,0.00,0.00,
14.09,0.00,0.00,9.97,0.00,11.16,15.58,18.48,32.03,17.79,10.73,13.03,0.00,17.21,27.33,10.13,11.66,19.32,15.21,19.32,
6.88,20.51,0.00,33.96,0.00,10.93,10.59,8.49,24.53,0.00,41.51,17.52,35.31,43.27,14.22,24.98,17.60,45.10,0.00,0.00,
7.52,3.39,0.00,10.23,0.00,0.00,8.86,14.19,0.00,0.00,0.00,0.00,0.00,12.05,16.59,7.37,0.00,0.00,0.00,11.33,
0.00,29.57,13.36,9.94,0.00,9.19,7.44,21.82,18.34,0.00,14.62,22.76,0.00,34.13,16.22,11.31,18.34,0.00,12.69,10.53,
7.88,16.64,0.00,7.71,0.00,0.00,13.52,14.21,0.00,9.54,9.65,10.26,0.00,18.00,10.12,5.90,23.04,0.00,0.00,0.00,
7.08,2.00,0.00,4.18,0.00,0.00,0.00,0.00,0.00,5.08,5.42,5.42,10.08,0.00,0.00,7.08,0.00,0.00,0.00,0.00,
0.00,5.54,0.00,8.93,0.00,0.00,0.00,4.77,0.00,7.79,7.79,6.36,0.00,3.85,12.07,0.00,6.93,0.00,10.36,10.36,
7.20,0.00,0.00,0.00,0.00,14.06,0.00,8.67,8.00,0.00,9.31,8.59,0.00,11.76,7.53,7.31,0.00,0.00,0.00,7.65,
7.73,8.79,0.00,8.67,0.00,7.73,0.00,0.00,0.00,7.07,6.36,11.33,13.07,13.07,9.87,6.07,0.00,0.00,6.67,0.00,
13.29,9.39,9.41,14.28,0.00,0.00,12.72,8.06,0.00,10.28,6.19,0.00,11.39,0.00,8.72,6.12,0.00,0.00,0.00,7.06,
0.00,4.55,0.00,4.73,0.00,0.00,0.00,6.18,0.00,0.00,7.45,9.09,9.09,4.73,5.10,6.18,0.00,0.00,5.27,0.00,
0.00,4.55,0.00,0.00,0.00,6.18,5.27,7.45,4.73,0.00,9.09,0.00,0.00,4.10,7.45,5.27,0.00,0.00,9.09,0.00,
5.52,0.00,15.44,17.04,0.00,10.79,22.04,0.00,0.00,0.00,7.14,11.52,0.00,0.00,12.80,8.21,10.04,0.00,8.04,19.52,
9.50,10.70,22.04,7.68,0.00,0.00,0.00,4.19,11.04,0.00,11.41,17.04,0.00,15.71,18.54,8.43,0.00,14.54,0.00,18.54,
20.05,10.23,0.00,10.05,11.90,0.00,0.00,3.29,0.00,10.59,8.86,15.14,12.57,11.86,10.23,11.52,0.00,0.00,0.00,18.23,
20.66,18.50,19.42,15.94,9.74,15.78,14.77,9.87,10.70,12.06,7.32,16.28,0.00,0.00,0.00,17.87,0.00,23.28,0.00,13.43,
8.00,9.41,0.00,12.32,5.83,0.00,0.00,12.32,0.00,6.72,0.00,10.21,0.00,7.28,8.95,0.00,0.00,0.00,0.00,5.29,
0.00,9.38,6.92,5.08,0.00,10.08,0.00,6.15,6.92,0.00,8.00,0.00,0.00,11.08,0.00,5.75,0.00,0.00,5.69,0.00,
6.06,18.05,0.00,13.25,0.00,0.00,7.37,9.25,10.21,0.00,11.05,16.25,0.00,9.65,9.79,6.42,12.05,9.05,0.00,14.65,
0.00,11.33,4.93,6.36,0.00,0.00,0.00,5.75,0.00,0.00,0.00,0.00,9.87,8.93,0.00,7.79,0.00,0.00,0.00,11.33,
25.69,8.42,8.56,17.36,18.57,0.00,32.14,23.44,0.00,18.14,19.71,10.26,0.00,0.00,5.77,17.36,21.03,11.59,19.36,0.00,
23.25,38.05,60.19,31.44,15.76,26.42,33.54,27.76,58.62,47.52,22.41,36.36,36.44,0.00,30.21,10.57,34.84,46.64,29.72,12.84,
4.55,2.44,0.00,9.09,0.00,0.00,0.00,7.45,0.00,0.00,4.10,0.00,0.00,9.09,4.73,0.00,5.27,0.00,0.00,0.00,
13.74,17.39,15.96,19.43,34.18,33.85,10.09,15.30,32.67,0.00,19.61,16.11,17.56,18.62,15.20,44.02,13.30,25.15,0.00,11.48,
0.00,6.18,6.08,0.00,4.73,0.00,0.00,10.08,0.00,0.00,7.08,0.00,0.00,8.42,5.08,5.42,0.00,0.00,4.91,0.00,
22.48,11.16,17.79,10.34,0.00,16.16,0.00,16.15,0.00,0.00,18.91,16.38,0.00,10.53,11.97,18.66,19.70,21.32,11.33,11.34,
0.00,0.00,11.08,9.38,0.00,0.00,1.56,0.00,0.00,5.54,8.00,0.00,0.00,0.00,6.15,8.00,11.08,0.00,0.00,6.15,
33.33,14.64,19.79,0.00,0.00,0.00,15.32,10.27,28.56,18.51,30.05,12.32,30.66,27.18,11.41,21.46,16.32,24.72,17.29,9.95,
6.00,7.68,0.00,8.32,0.00,8.53,11.17,13.25,0.00,10.25,0.00,0.00,0.00,12.05,14.65,6.39,0.00,11.05,18.05,0.00,
6.08,5.08,4.18,0.00,0.00,0.00,7.08,6.50,5.42,10.08,0.00,0.00,0.00,4.91,0.00,0.00,0.00,0.00,0.00,0.00,
20.04,18.94,12.54,8.46,0.00,25.79,11.98,16.65,25.85,0.00,24.31,12.98,45.47,43.77,0.00,10.60,10.62,0.00,39.13,0.00,
5.54,5.42,6.15,0.00,0.00,0.00,11.08,0.00,8.00,9.38,8.42,5.69,0.00,0.00,6.92,0.00,0.00,0.00,8.00,6.92,
10.05,11.86,9.43,5.65,0.00,0.00,10.59,9.90,20.05,7.55,14.19,0.00,11.14,0.00,15.14,14.00,0.00,0.00,12.77,11.14,
5.69,8.00,5.54,5.42,0.00,3.42,8.00,0.00,0.00,0.00,0.00,0.00,11.08,9.38,4.25,0.00,6.92,0.00,0.00,0.00,
0.00,9.94,18.05,0.00,0.00,0.00,13.25,6.95,0.00,0.00,6.17,0.00,0.00,0.00,9.25,3.20,7.37,0.00,0.00,9.05,
0.00,8.67,0.00,11.33,0.00,0.00,0.00,12.07,0.00,0.00,0.00,8.67,9.87,4.31,7.07,4.36,0.00,0.00,0.00,4.46,
10.32,21.36,24.97,22.76,0.00,30.66,14.97,17.47,30.66,20.97,9.43,18.34,12.81,0.00,14.25,13.03,11.77,0.00,27.61,22.76,
3.19,0.00,0.00,5.53,0.00,17.05,6.50,11.05,0.00,0.00,9.83,0.00,0.00,0.00,18.05,0.00,12.05,0.00,0.00,0.00,
9.38,0.00,0.00,6.15,0.00,6.92,11.08,8.00,0.00,6.92,5.69,0.00,0.00,0.00,5.69,3.82,0.00,0.00,0.00,11.08,
0.00,12.71,0.00,14.54,7.33,0.00,22.04,7.68,0.00,15.91,20.21,7.13,14.54,0.00,17.04,7.90,8.43,0.00,11.04,0.00,
17.24,9.52,0.00,10.25,0.00,11.90,0.00,9.37,5.79,11.05,17.24,7.45,19.05,12.95,0.00,6.15,10.38,0.00,0.00,14.19,
12.07,8.93,8.93,7.79,0.00,0.00,0.00,5.08,0.00,0.00,0.00,0.00,12.07,0.00,6.36,3.85,10.36,0.00,4.08,0.00,
15.90,32.76,0.00,10.20,0.00,50.09,11.80,19.13,27.13,11.30,8.00,18.25,50.09,20.79,31.25,18.90,15.44,0.00,26.24,27.36,
5.50,7.73,0.00,11.33,0.00,4.64,0.00,0.00,13.07,6.67,0.00,0.00,11.33,0.00,6.53,13.07,7.07,0.00,0.00,4.77,
9.50,5.94,0.00,11.33,0.00,7.71,6.77,12.41,0.00,16.09,0.00,0.00,0.00,0.00,11.30,5.43,0.00,0.00,0.00,0.00,
11.13,12.25,31.12,15.41,0.00,0.00,8.66,21.19,29.05,28.43,10.06,29.73,0.00,19.33,17.60,22.70,17.37,0.00,0.00,29.95,
17.04,12.41,9.83,12.70,7.33,0.00,14.54,11.21,0.00,17.04,15.71,10.87,14.54,0.00,0.00,10.26,12.04,0.00,18.54,11.04,
2.72,18.54,0.00,0.00,0.00,0.00,0.00,6.50,0.00,8.43,17.57,4.86,15.71,0.00,0.00,13.54,0.00,0.00,22.04,12.26,
6.61,0.00,18.65,13.03,0.00,16.03,9.61,5.82,0.00,0.00,14.83,19.74,0.00,0.00,8.97,18.69,13.23,0.00,15.55,0.00,
16.64,8.79,15.44,0.00,12.21,13.52,0.00,10.00,12.21,16.64,0.00,12.24,0.00,14.54,0.00,18.00,19.52,11.84,9.46,9.04,
9.09,7.45,0.00,0.00,0.00,0.00,7.45,6.18,0.00,6.18,2.70,0.00,0.00,9.09,4.73,4.10,0.00,0.00,0.00,0.00,
22.23,15.19,31.49,29.55,31.57,39.35,16.64,8.86,35.04,23.40,13.25,25.54,43.42,20.42,17.36,17.16,18.61,67.18,34.65,18.73,
6.93,0.00,6.36,0.00,4.77,6.93,0.00,10.36,0.00,0.00,0.00,7.79,0.00,5.69,0.00,3.75,0.00,8.93,0.00,7.79,
15.36,13.99,48.32,32.62,24.59,23.97,32.24,20.11,43.28,51.06,56.65,26.14,70.06,48.97,8.34,36.87,32.46,0.00,51.72,30.52,
25.24,33.55,69.92,24.03,0.00,58.46,13.84,13.68,40.99,73.61,26.45,16.86,22.49,32.67,19.29,38.18,50.38,45.30,23.71,29.39,
0.00,0.00,4.73,0.00,0.00,0.00,7.45,0.00,0.00,0.00,4.73,3.30,0.00,0.00,0.00,4.62,0.00,4.50,0.00,0.00,
0.00,0.00,0.00,4.10,0.00,0.00,3.78,6.18,5.27,0.00,0.00,0.00,5.56,0.00,0.00,9.09,0.00,0.00,0.00,0.00,
16.06,0.00,4.67,14.28,0.00,0.00,12.72,0.00,0.00,10.28,4.53,9.39,11.39,0.00,8.72,5.31,0.00,0.00,0.00,0.00,
0.00,5.08,5.08,0.00,0.00,10.08,6.08,10.08,0.00,0.00,0.00,0.00,0.00,6.08,7.08,3.82,7.08,5.42,0.00,8.42,
4.10,8.42,0.00,0.00,0.00,5.08,0.00,10.08,0.00,0.00,10.08,0.00,0.00,5.42,3.45,6.08,0.00,0.00,0.00,7.08,
9.83,13.56,0.00,28.69,0.00,0.00,8.06,7.94,28.69,0.00,8.47,0.00,22.03,25.69,16.80,5.55,18.14,0.00,0.00,0.00,
34.23,16.16,44.17,56.91,0.00,21.66,10.46,13.07,29.53,50.33,13.76,20.55,58.38,0.00,26.00,12.81,13.62,41.12,63.12,20.41,
14.14,12.63,13.10,0.00,10.03,0.00,15.10,8.21,15.77,22.32,8.82,27.16,29.03,18.83,23.81,14.30,0.00,0.00,11.03,10.50,
53.13,26.10,51.15,26.18,9.72,26.53,28.31,12.35,31.16,42.38,11.24,23.01,57.41,39.88,17.34,17.39,20.84,50.00,65.60,19.51,
0.00,4.10,0.00,5.30,0.00,0.00,4.10,7.45,0.00,0.00,0.00,4.55,6.18,5.30,0.00,0.00,0.00,0.00,0.00,0.00,
6.36,6.07,0.00,6.07,0.00,0.00,0.00,8.93,12.07,10.36,3.85,0.00,0.00,12.07,8.93,3.25,0.00,0.00,6.36,0.00,
11.39,0.00,10.28,6.94,0.00,8.28,4.13,12.72,8.28,16.06,5.06,0.00,7.88,0.00,8.72,0.00,8.72,0.00,0.00,0.00,
22.64,16.05,26.43,15.11,33.75,0.00,34.05,19.84,33.77,47.59,13.45,32.96,24.19,18.09,53.18,14.47,36.78,0.00,38.99,34.77,
0.00,5.95,0.00,0.00,11.90,0.00,10.05,4.24,0.00,10.59,8.00,0.00,16.59,6.76,0.00,6.65,0.00,0.00,0.00,10.59,
4.40,9.87,0.00,12.31,0.00,0.00,7.06,7.06,0.00,7.31,9.56,0.00,0.00,0.00,5.21,4.07,12.31,0.00,0.00,0.00,
0.00,5.69,0.00,4.08,0.00,11.08,0.00,8.00,0.00,0.00,9.38,5.10,0.00,6.08,0.00,0.00,0.00,0.00,6.92,0.00,
