,Z3__1,Z3__2,Z3__3,Z3__4,Z3__5,Z3__6,Z3__7,Z3__8,Z3__9,Z3__10,Z3__11,Z3__12,Z3__13,Z3__14,Z3__15,Z3__16,Z3__17,Z3__18,Z3__19,Z3__20,Z3__21,Z3__22,Z3__23,Z3__24,Z3__25,Z3__26,Z3__27,Z3__28,Z3__29,Z3__30,y
peptide_nm_215,-0.01538,-0.38178,0.56833,-1.02999,-0.01385,0.28303,0.46694,0.74918,0.77589,-1.11381,1.63781,-0.41413,0.00616,-0.88248,1.07095,-1.45655,-0.60213,0.85455,-0.45086,0.15877,0.76697,-0.05941,0.6628,-0.06509,0.31,-1.40783,-0.37245,-0.19362,-0.491,-0.38523,0
peptide_nm_216,0.05082,-0.63328,0.5184,-0.01584,-0.89093,1.46734,0.32825,0.12944,1.08011,0.42777,1.51776,0.05061,0.54552,-0.50312,-0.69989,-1.15786,0.16015,-0.28463,-0.21797,0.26122,0.81295,1.16107,0.15591,-0.34163,0.2006,-0.39021,-0.84054,-0.58004,-0.07367,-0.74419,0
peptide_nm_217,-0.26945,-0.568,-0.03514,-0.7808,-0.21403,1.06544,-0.69013,0.47929,0.00664,-1.13235,-0.06275,-0.28032,-0.62702,-0.49639,-0.25044,-0.13354,-0.03208,-0.62373,-1.2546,-1.05004,-0.07437,-0.6625,-1.28512,-0.43749,0.49331,0.21103,0.3222,-0.54589,0.71803,0.01167,0
peptide_nm_218,-0.60572,-0.46133,1.23014,0.61946,-0.91088,1.0903,-0.40843,1.45194,0.36505,-0.53777,0.46078,-1.00462,0.44234,-0.16038,0.7119,-1.48687,-0.37558,-0.17269,-0.31019,-1.17718,0.60829,-0.24298,0.96663,1.04508,-0.49383,-0.53363,-0.45066,-0.47914,-0.43099,-0.52411,0
peptide_nm_219,-0.43696,1.42592,0.38527,-0.1438,-0.40049,0.18795,-0.65851,-0.67776,0.06702,-0.27553,0.63352,-0.46683,-2.37319,-1.46782,0.724,-0.67563,-0.61096,-0.77064,-0.78173,-0.35573,0.12191,0.45637,-1.24269,-1.59676,0.43684,0.04553,0.13778,-0.76857,-0.14021,-0.25276,0
peptide_nm_220,-0.50802,-0.77775,-0.35421,-0.66565,-0.07374,0.54957,0.58094,-1.80307,-0.96895,1.13522,0.89368,-0.13182,-0.57066,-0.57441,-0.64998,0.15138,0.00608,-1.22723,-0.34674,0.98338,0.55171,-0.13221,-0.41525,0.24794,-0.78383,-0.00586,0.36216,-0.52827,-0.88981,-1.76012,0
peptide_nm_221,-1.06509,-0.24933,0.73732,-1.06403,-0.52428,-0.17164,0.85231,0.65509,-0.39542,0.26284,0.21356,0.14681,-1.22247,1.13595,0.05288,-1.42995,-0.73035,-0.26079,-0.69694,-0.61518,0.14275,-0.44834,1.01331,-0.21065,0.46763,-0.64388,-0.37416,-0.58251,-0.18339,-0.10979,0
peptide_nm_222,-1.64083,0.80399,0.5262,-0.22487,-0.28366,0.62591,-0.25009,-0.3949,-0.32694,-0.40586,-1.61949,-0.72501,-0.41383,-1.08356,-1.15416,-1.02139,0.11038,-0.396,-0.76289,-0.98024,-0.63348,-0.35604,0.74062,0.39706,0.7969,0.72906,1.98161,0.45897,-0.20704,-0.4946,0
peptide_nm_223,0.80435,-0.57416,-0.26315,-0.34484,-0.48083,-0.45678,-0.82768,0.83043,0.3018,-0.8099,-0.31116,0.08966,0.46917,-0.64957,0.87959,-0.54763,-0.88518,-0.55983,-0.76432,0.89509,-0.40323,-0.18787,-0.15716,0.70927,-1.00919,-0.67389,0.04173,0.51143,0.18471,0.25731,0
peptide_nm_224,-1.83752,0.61308,0.7613,0.59897,-0.18425,-2.29536,0.09096,0.19007,-1.69102,-0.51736,0.32928,-0.18655,-0.33323,-0.10775,0.02973,1.77844,-1.31935,-2.11986,2.13121,0.48399,0.04333,0.03656,-1.03819,0.47405,-0.04586,-1.56521,-0.60734,-0.31501,-0.0955,-0.7724,0
peptide_nm_225,-0.86587,1.00999,0.48861,-1.10577,-1.08334,0.34423,-0.87024,0.40702,-1.07912,-0.83062,0.35742,1.08637,-0.02739,-0.9296,-1.00521,-0.25711,-0.98874,0.0457,-0.25776,-0.25487,0.44048,0.47958,0.81441,0.51898,-1.47824,-0.34426,-0.01533,-0.28263,-0.74031,-0.93026,0
peptide_nm_226,1.14772,-0.11129,1.18591,-1.27194,-0.23584,-0.65052,0.59599,1.90125,2.68052,0.2295,1.14054,-1.46934,1.07428,-0.9829,1.45983,-0.51586,0.98259,-0.23404,-1.45962,-0.26325,0.70911,0.08788,-0.08205,-0.95111,0.71856,-0.83355,-0.89874,-0.01438,-0.45794,-0.26899,0
peptide_nm_227,-0.11802,-0.53882,0.27645,-0.68247,-0.37471,0.11304,0.90874,-0.25201,-0.39709,-0.0991,0.08213,0.63667,0.39965,-0.23864,0.75113,-0.70629,0.19207,-1.12767,-0.60758,-0.75076,0.13272,1.08699,-0.34601,0.65425,0.67843,-0.77138,-0.33771,0.01622,-0.00867,0.04914,0
peptide_nm_228,-0.50829,1.06971,0.58695,0.10422,-0.35108,0.69899,-0.38899,-0.45739,2.2026,-0.23195,0.6358,1.80085,-0.16188,-0.39283,0.20648,0.62628,-0.95647,-2.24033,0.21329,1.2073,-0.27516,-0.32941,1.44502,-1.10382,-0.27837,0.53686,-0.82214,0.10117,-0.71285,-0.37248,0
peptide_nm_229,1.3853,1.4017,0.9676,0.5023,0.0467,1.31357,-1.02874,0.96031,-0.1161,0.37107,0.63136,0.76915,1.10666,1.0318,1.36029,-1.40927,-0.90375,0.158,-0.3486,0.32457,0.76064,0.22751,0.5719,0.52255,0.15072,-0.67576,0.10588,0.86122,0.1,0.23961,0
peptide_nm_230,0.40754,-1.34526,1.52584,-2.01263,-0.86429,0.66981,-1.42162,-0.5335,-2.66514,0.74713,2.08394,0.04049,0.30722,-2.06206,-0.2923,0.05936,-0.04208,-0.76729,-1.24691,-0.74352,1.55278,1.06897,0.35421,-0.13835,-1.40808,-1.25743,-0.15709,-0.43986,-0.69543,-0.5583,0
peptide_nm_231,0.3595,-1.15288,0.07193,-0.21748,-0.43402,0.33322,-0.42738,-0.39647,-0.41402,0.78073,1.15002,-1.56449,0.55642,-0.65083,-1.27271,-1.58733,-0.63893,-0.21066,-0.98381,-0.53965,0.71108,0.35349,1.10601,-0.70951,-0.35236,0.21862,-0.74642,-1.73014,-1.13709,0.04713,0
peptide_nm_232,-0.1438,-0.19188,-0.13982,-0.84355,-0.29287,0.69892,-0.12147,-0.24546,-0.85882,0.09281,1.44599,-0.55338,-0.79812,-0.95948,0.94551,-0.69508,0.1165,-0.29624,-1.35956,-0.30493,1.04239,-1.20004,0.18947,-0.82775,0.58712,-0.54108,-1.20879,-0.33331,-0.50658,-0.3906,0
peptide_nm_233,0.02398,0.36164,-0.69393,-0.15272,-0.16719,0.2473,0.28994,-0.6489,-0.71727,0.80083,0.59074,0.94745,0.90377,-0.86526,-0.60304,0.86429,-1.90308,1.22256,-0.4787,0.09974,0.61352,0.7022,-0.27128,0.81715,1.20426,-0.36839,0.55782,0.3428,-0.21089,-0.83026,0
peptide_nm_234,-0.22586,0.03197,0.09887,-2.22759,-0.69859,0.94998,0.47016,0.14273,-0.47336,0.20598,0.75726,-1.36887,-0.28249,0.49654,1.19902,-0.12776,-0.1832,0.5667,0.12519,1.16368,0.43525,-1.13368,-0.8586,1.03706,0.34966,-0.19906,-0.45638,-0.43229,-0.13702,-0.19839,0
peptide_nm_235,0.00168,0.87206,-1.11323,-1.00208,-0.0954,1.07534,-0.83044,-0.37044,0.27413,-0.87826,1.74795,-0.22851,-0.38155,0.96323,-0.489,-0.49205,-0.17606,-1.08593,-0.42949,0.20303,1.51602,0.91012,-1.59716,-0.21265,0.62748,-0.05633,-0.24801,-1.69791,0.25751,0.23297,0
peptide_nm_236,-1.27175,0.78975,0.58782,-0.09673,-0.83254,-0.73096,-0.64842,-0.20215,-0.21795,-0.63615,0.60167,0.22798,-0.08627,-0.4117,-0.07392,0.76743,0.24915,0.36503,0.92291,0.30944,0.57127,0.16491,-0.83502,-0.12205,0.01386,-1.42758,-0.32516,-0.66304,-0.29415,-0.26012,0
peptide_nm_237,-0.42897,-0.85901,-0.37872,-0.01509,0.20394,-1.62074,1.43834,1.02771,0.12873,0.86103,0.90805,-0.58125,-0.40705,0.10308,-0.02459,2.89104,4.3478,3.26339,1.74127,1.79427,1.09602,0.97265,-0.27659,0.2531,0.22092,-1.1989,-0.13475,-0.60259,-0.50847,-0.33254,0
peptide_nm_238,0.10384,-0.63705,0.76945,0.64613,-1.6064,-0.45332,-0.97532,1.70234,-0.10308,0.16772,-0.76483,-0.29977,-0.84098,-0.07372,-1.69686,-1.47925,-0.53391,-0.14982,-0.40905,-0.52143,-0.21388,0.38773,-1.97587,1.33653,-0.68552,0.1958,-2.35598,1.91635,-1.13077,0.88232,0
peptide_nm_239,-0.63199,-0.50807,0.28796,0.82653,-1.10333,0.47328,0.13777,-0.89062,0.15355,0.15415,1.04174,0.10816,-0.66902,0.92845,-0.46178,-0.22741,-0.6665,-0.97849,0.63281,0.03247,1.06694,-0.56868,-0.39469,0.46107,0.45129,-0.65503,-0.60351,-0.29847,-0.4442,-0.15648,0
peptide_nm_240,-0.1646,-0.44124,-0.05348,0.53934,-0.92842,0.24116,0.1717,0.36674,-0.66234,-0.49417,-1.02977,0.89137,0.98945,-0.55337,0.2221,-0.2139,-1.25066,-0.41262,-1.37144,0.07367,-0.40947,0.20219,0.11422,-0.90235,-0.61678,0.22978,0.25057,0.69477,0.85863,0.02244,0
peptide_nm_241,0.07841,0.09552,-0.40481,-0.67098,-0.3484,0.14555,-0.53562,0.3046,-0.49177,0.45202,0.57462,-0.8807,-0.18297,0.16569,-0.96784,-0.18933,-0.21909,-0.39636,0.04813,-0.67763,0.60603,-0.57555,-1.86784,0.0984,0.11114,-0.69019,-0.28625,-0.56283,-0.02589,-0.16973,0
peptide_nm_242,-0.2946,0.68733,0.14734,0.1397,-0.1966,0.01379,-0.45579,0.49934,-0.06729,-0.10627,0.95633,0.21189,0.04278,0.09247,0.58245,-0.85526,-0.50544,0.39401,-0.25383,-1.26309,1.16327,-0.45168,0.92636,-0.62844,-0.0993,-1.11267,-0.37715,-0.1899,-0.18337,-0.62703,0
peptide_nm_243,-0.66716,-0.54679,-0.02546,0.24665,-0.69841,0.59151,-0.64876,-0.20395,-0.94762,-0.7882,0.62645,0.14233,-0.87432,0.06999,-0.45689,0.27138,0.8069,-0.07031,-0.1902,-0.44966,0.69994,0.71229,-0.42142,-0.04122,0.35411,0.23062,0.28995,0.07498,0.35191,-1.39354,0
peptide_nm_244,0.70487,1.02483,-0.44509,0.05745,0.29332,0.54358,2.09908,1.68893,-1.79971,-1.65356,-0.23587,-0.03039,0.03345,1.11948,-1.28609,0.06379,-0.7237,-0.38531,-1.60492,-1.34457,-0.37423,2.30525,-1.67898,0.63734,-0.98231,0.44023,-0.16623,0.49354,-1.31836,-0.99993,0
peptide_nm_245,-1.09981,0.71426,0.22573,-1.07746,-0.41002,1.16971,0.01401,0.50198,-0.35302,-0.61189,-0.478,-1.37111,-0.44298,0.5228,-1.39729,-1.23999,-0.87732,0.01065,-0.49314,-1.19417,0.2805,-1.38834,0.60709,-0.59053,-2.07081,0.56743,-0.95377,-1.20104,0.21965,-0.87879,0
peptide_nm_246,0.1502,-0.89889,0.64697,-1.68545,-0.2413,0.889,-1.28469,0.53533,-0.96125,0.71159,0.87384,1.08123,-0.1779,-0.82224,-0.28663,-0.93754,0.03474,0.04408,-0.29145,0.20911,0.57225,0.78665,0.32045,-0.5959,0.46376,-0.78015,-0.75424,-0.76493,-0.25444,0.26184,0
peptide_nm_247,-0.63525,0.47208,-0.27267,-1.52381,-1.09463,0.15194,-0.97288,-0.32618,0.13574,1.85246,-0.29028,0.09559,-0.74629,-2.01457,0.35708,0.92939,-1.89116,-1.51852,0.68817,-0.49548,0.85267,0.25144,0.56174,0.67581,-0.01464,-0.19558,0.4347,1.33917,0.55435,-0.295,0
peptide_nm_248,0.41996,-0.53925,0.20541,0.96745,-0.31027,1.23202,-0.88689,0.56531,0.70746,-0.62907,0.85266,0.30786,-1.33318,-0.37898,-0.8441,-0.35044,-1.40673,-1.05431,0.81306,-1.67792,0.063,-0.91993,0.33655,0.58169,1.66594,-0.41762,-0.38629,0.58393,-1.02698,-0.11433,0
peptide_nm_249,-0.60662,-0.51626,-0.06636,-0.08093,-0.95431,0.274,0.18355,-0.32371,-0.45373,0.27718,1.57108,-0.17581,-0.24399,-1.7485,-0.05616,-0.15487,0.52844,1.16202,0.50571,0.5415,0.79861,-0.23571,-0.14339,-0.53658,-0.39558,-0.37291,-0.2408,-0.79353,-0.69599,-0.23039,0
peptide_nm_250,-0.88405,-0.87899,0.51277,-1.39218,-0.23658,-0.31471,1.16493,0.10898,-0.29744,-1.40512,-0.27676,0.03921,-0.55869,0.77832,-0.29671,1.15688,-0.94016,-0.89997,1.34437,-1.67136,0.31508,-0.68779,0.66716,0.80255,0.73099,-0.22626,0.21521,-0.17616,-0.23814,0.11999,0
peptide_nm_251,-0.57998,1.16453,0.38494,-0.93162,-2.19301,0.1508,1.1058,0.92272,1.07534,0.18662,0.72588,-0.19929,-0.71083,-1.01032,0.21786,1.17415,1.85631,1.24269,0.36559,2.13627,0.68259,1.34791,0.24049,2.42625,1.2412,-1.11788,-0.10413,0.11577,-0.07441,-0.03058,0
peptide_nm_252,-0.71689,0.28179,-0.33521,0.73914,-0.58629,0.47735,-0.04539,-0.10891,0.18048,-0.43922,1.93059,-0.12193,-0.25418,-0.13191,-0.95341,-1.75042,-0.34944,-0.02991,0.02603,-0.76598,1.67923,-0.24926,0.45735,0.08252,-1.31342,-0.26719,0.36916,-0.41293,0.44855,-0.60995,0
peptide_nm_253,0.57995,-3.25277,1.12328,-0.33283,-0.1786,-1.05588,1.42963,-1.44667,0.71131,0.19864,0.54588,0.10891,-0.6267,1.38091,-1.20092,1.82756,0.31603,-0.87971,-0.90144,1.74242,-0.09719,-0.38835,2.06593,0.85183,0.10244,-1.19935,-0.5134,-0.13052,-0.03646,-0.34431,0
peptide_nm_254,0.0174,-0.38831,-0.10815,0.45807,-0.64201,0.04131,-0.51829,0.50117,-0.29365,-0.43633,0.88165,0.5708,-0.60357,-0.18286,0.48259,0.13519,-1.10624,0.23776,0.23494,-0.02127,0.75987,-0.67276,0.58016,0.00537,-0.38298,-0.48771,-0.55329,0.05388,0.13259,-0.05191,0
peptide_nm_255,-0.74243,0.06096,0.01955,0.33018,-0.40127,-0.23877,-1.53959,-0.25284,-1.20178,-0.40005,-0.62552,-0.96604,-0.45911,0.01863,-0.94694,0.51574,-0.7971,0.07601,-2.30152,0.65227,0.05863,1.12708,-0.73902,1.13437,-1.03712,-0.37273,-0.28499,0.4491,0.10939,-0.72915,0
peptide_nm_256,1.25467,1.70758,1.62652,-0.36727,-1.94044,0.29242,1.60012,2.09446,0.40205,1.41328,0.39902,-0.87278,-2.06499,-2.84602,0.46271,-0.51753,-1.3947,0.50918,-1.22042,0.01818,0.10812,-1.83456,-0.10545,1.09848,1.61427,-0.36909,0.74026,-0.87604,-1.19517,-0.6498,0
peptide_nm_257,-0.79867,-0.89075,-0.88433,1.42043,-0.67778,-1.28324,0.47308,0.88651,0.23173,1.09605,0.19438,0.16479,-0.02073,1.00707,0.27895,0.24643,-0.15083,1.04839,-2.12582,-1.54411,0.38244,1.19205,-0.10643,0.1668,-2.03686,-0.251,0.62904,-0.5304,-1.32463,-0.79972,0
peptide_nm_258,0.97876,-0.40395,-0.96422,0.05934,-1.19875,-0.13332,0.38205,0.13217,1.16818,0.10551,0.58,-0.24222,-0.88204,0.08386,0.50639,-0.51901,-0.53697,0.51478,-0.74263,-0.99534,1.05762,-0.37382,0.39635,-0.57288,1.45517,-0.89685,-0.5966,-0.12827,-0.28323,0.04997,0
peptide_nm_259,0.27588,-0.13439,0.22027,0.9561,0.18387,1.26869,-0.1364,0.60747,-0.06557,0.39464,0.64469,-0.39682,0.00416,-0.46526,0.22992,-0.85244,-0.4672,-0.40249,-0.1443,-0.85199,1.14503,-0.35575,-0.08311,0.38382,-0.41985,-0.23859,0.32161,0.36209,-0.08517,-0.24115,0
peptide_nm_260,-0.64074,-1.22428,0.36504,-1.02814,-0.0405,0.33664,-0.80477,0.99215,-1.37729,0.65164,0.40395,-0.87427,0.56103,-1.25419,-0.52073,0.6505,-0.35239,0.08342,0.37392,0.07586,-0.56861,-1.30284,-0.48688,-0.49907,-0.15713,-0.01187,0.23952,0.62673,-0.56918,-1.30062,0
peptide_nm_261,-0.85446,-0.45231,0.07697,-0.19311,-0.75903,0.0962,0.13579,-0.47852,1.18733,-0.46177,1.36159,0.06794,-0.47171,0.13862,0.58607,0.48764,0.7455,1.84274,1.36515,1.6312,0.81872,0.49988,0.1451,1.21423,-0.40965,-0.86676,-0.08228,-0.51696,-0.16785,-0.21315,0
peptide_nm_262,0.93058,0.81958,1.13635,0.82964,-0.02059,-0.30112,0.00866,0.6027,0.70373,-0.85316,0.94692,-0.047,-0.09246,-0.32707,-0.32111,-1.50776,-0.59815,-0.37603,-0.51557,-0.23519,0.84947,-0.07389,-0.60887,-0.13402,0.63341,-1.14049,-0.34692,-0.93319,-0.36812,-0.32138,0
peptide_nm_263,-0.25672,-0.43843,0.27307,-0.43788,-0.62836,-0.18999,-0.96269,2.03843,-0.63484,-1.25012,0.74904,0.44285,0.03589,-0.61545,0.15887,0.41921,-0.37029,0.12877,0.18684,-0.34555,0.47878,0.11143,0.99521,-0.4485,0.10149,-0.3165,-0.68902,-0.34036,0.11038,-0.63918,0
peptide_nm_264,0.20193,-0.11468,-0.60217,0.33566,-0.09918,0.0379,1.55575,0.24213,-1.70349,-1.70076,0.46311,-0.44688,0.35343,-0.28877,-0.65823,0.11015,0.19816,-1.07443,-1.29243,-0.67529,0.21612,1.06179,-1.34471,-0.69149,0.04508,-0.46931,-0.38094,-0.31107,-0.09404,-0.53121,0
peptide_nm_265,-0.93127,-0.56324,0.61247,0.32366,-1.37994,-0.10684,-1.52336,-1.01501,2.33598,-1.53364,-0.77398,0.07934,0.64691,-1.98393,0.38972,-0.06316,-0.84126,-0.40534,1.89072,-1.35121,-0.98272,0.89326,2.05268,-1.39649,0.90952,-0.08428,-0.1683,-0.51807,1.86878,0.00517,0
peptide_nm_266,-1.16912,0.26849,-0.04422,-0.34352,-0.05438,-2.05449,0.35087,-2.21018,0.64114,-1.14205,-0.97537,0.34219,1.25674,0.50689,-0.61554,2.02637,-3.87947,3.44506,-0.96368,-1.81047,-0.47489,1.15428,-1.47867,1.4615,-0.61672,-0.23624,0.26433,-1.70607,-1.13487,-0.33219,0
peptide_nm_267,0.21084,1.5351,0.04209,-1.3808,-0.24055,0.34814,0.27499,0.69775,-0.0345,-0.3097,1.15472,0.45654,-0.49025,-1.07597,-0.21388,-0.40456,0.34784,0.0578,0.66684,0.31871,1.53163,-0.33712,-0.48352,0.29507,0.31101,-1.10353,-0.70345,-0.12794,-0.59069,-0.5191,0
peptide_nm_268,-0.11861,2.91207,2.22341,2.22276,1.15786,0.23742,-0.02897,0.45992,0.73397,0.26704,0.7383,-0.12153,-0.37702,-0.28813,-0.45293,-0.81101,-0.09836,0.09462,-0.24633,-0.87557,0.1776,-1.24842,-0.5222,0.19624,-0.58132,-0.66332,0.32404,-0.28291,-0.58916,-1.20958,0
peptide_nm_269,-0.54648,0.55883,0.35435,-1.12601,-1.31479,0.38054,1.76709,0.6126,0.04232,-1.1535,0.66291,0.32558,0.38902,-0.30389,-0.15001,0.22385,0.33073,0.94092,-0.71843,-1.21071,0.29387,1.42166,0.36922,0.45325,0.22652,-0.70968,-0.42101,-0.06213,-0.09792,-0.13722,0
peptide_nm_270,-0.4588,-0.44158,-0.687,0.29586,0.50559,-0.61808,0.95798,-1.12329,0.91859,-1.51736,-1.06862,-0.00174,1.12968,-2.0542,-0.72371,0.50111,-1.39257,0.041,-3.56391,0.11079,-0.49724,0.38947,-1.91461,0.98865,-0.41512,-0.14057,0.12078,0.07077,0.82141,0.82566,0
peptide_nm_271,-1.17476,2.742,2.07922,1.72935,0.94006,-0.35573,-0.85099,-0.76291,-1.4527,-2.02217,-0.78295,-0.60343,-1.02173,-1.32462,-1.93058,1.29674,-0.93056,1.37417,0.19449,-1.09119,-1.25486,1.86227,-0.58681,-0.47058,-2.29556,0.24446,-1.28004,-0.13662,-0.25944,-0.22742,0
peptide_nm_272,-0.5967,0.78611,0.36291,-0.50222,-0.21713,-3.71111,-1.50625,-2.1926,-0.41185,-3.07347,0.02376,0.27039,-0.18114,0.41323,0.30542,4.35527,0.02166,2.93489,5.77408,-0.29113,-0.30254,-0.66596,-1.12105,-0.76459,-1.33027,-1.43923,-0.35388,-0.35027,-0.31364,-0.38354,0
peptide_nm_273,0.98874,2.19253,2.43777,0.41542,0.50339,0.9877,1.38611,1.04526,1.09405,0.11979,1.60769,1.25217,0.59052,1.10469,0.79127,0.10399,1.07027,0.41932,0.34913,0.13346,0.62104,0.00874,1.48409,1.3048,1.43546,-0.6435,0.54972,0.10343,0.27639,0.10611,0
peptide_nm_274,-0.56633,0.20861,-0.06496,-0.41254,-0.82784,-1.3298,-1.62091,0.08691,-0.7178,-0.4611,0.07264,0.22785,0.42558,-0.12171,-0.10455,0.62607,1.43242,0.96156,1.38639,1.01719,-0.20071,-0.00123,-1.15382,0.08156,-0.12997,-0.49305,-0.54681,-1.19525,-0.01983,-0.91831,0
peptide_nm_275,-0.96562,-0.1667,-1.2836,-0.41902,0.81022,-0.08582,-2.24343,0.23301,1.07541,0.17236,1.06452,-1.36858,-0.95584,1.41681,0.00104,-0.24525,0.42687,0.26695,0.20447,0.10716,1.86641,0.55428,-0.64651,0.52837,-0.65092,-0.93434,-0.55248,-1.17089,0.1944,0.21729,0
peptide_nm_276,1.52918,3.91268,2.66442,2.90535,1.61235,1.54845,1.63514,1.59529,1.12339,0.71378,1.93555,1.96911,1.22858,1.85995,1.55157,-1.75043,0.65896,0.54379,0.38347,0.37857,1.40055,0.85561,0.92836,1.09864,1.09574,-1.4,0.42421,0.38572,0.42845,0.23983,0
peptide_nm_277,-0.17526,0.22069,0.22131,-0.17452,-0.29578,-0.67288,-1.07495,-0.37456,-0.07105,-0.29494,0.50132,-0.12076,-0.52939,-0.20497,-0.22007,0.09229,0.36799,-0.326,-1.31992,-0.57224,0.40144,-0.03413,0.26828,0.06497,0.47654,-0.67969,-0.18065,-0.33021,-0.31427,-0.72682,0
peptide_nm_278,-2.04601,-0.05869,0.431,-1.04778,-0.964,-1.52706,-0.59999,-0.22563,-0.53184,0.73003,-0.10038,-0.15031,-0.75122,0.06281,1.36164,-0.06214,-0.05836,-0.42319,-0.00277,-0.77359,1.63753,-0.60299,0.41148,-0.92106,-1.62857,-0.85329,-0.99347,-0.61633,-0.23586,-0.73211,0
peptide_nm_279,-1.25814,0.29412,0.3378,-0.64091,-0.72715,-1.70737,0.8233,0.61074,-0.3573,0.25546,0.58781,0.08362,-0.66947,-0.51898,-0.3928,0.34806,-1.47834,0.30629,0.60227,-0.81949,0.74165,-1.62357,-0.08063,-0.99281,-0.79298,-0.62772,0.25036,0.22627,0.17643,-0.01789,0
peptide_nm_280,-0.95188,-0.27288,0.28152,-0.33037,-0.36685,0.55878,-0.28389,-0.69437,0.58421,0.24154,0.06025,-0.58984,-0.7808,0.29671,-0.58088,-0.47396,0.07105,-0.46172,-0.76648,0.73851,-0.72487,-0.00391,-0.48501,1.5996,-0.34875,0.3227,0.01401,-0.85452,-1.30068,0.10219,0
peptide_nm_281,-0.6625,-0.31329,0.26868,-1.48897,-0.23832,1.24376,-0.45877,-0.30865,-0.58394,-0.1413,0.67124,0.33292,0.46271,-0.41599,-0.1118,-1.31002,-0.41045,0.31687,-0.72294,0.00183,0.42589,-0.4812,-0.25468,-0.15456,0.35204,-0.58316,0.24191,-0.1816,-0.84497,-1.14762,0
peptide_nm_282,-0.28797,2.79706,1.06421,-1.03597,-1.97049,-1.49292,-2.14011,-0.77711,-0.57744,0.14651,1.36763,0.33604,-0.31082,-1.00211,-0.89299,1.08983,0.28896,0.53922,1.76918,-1.31709,0.92807,0.22896,0.05821,0.53993,0.24823,-1.39761,-0.2174,-0.24996,-0.49956,-0.44815,0
peptide_nm_283,-1.41692,-0.01765,0.78445,-0.60626,-0.18027,0.51803,-0.95285,-0.04457,0.45292,-1.17479,-0.55799,-0.44396,-0.36769,-1.77122,-0.72085,0.65295,-1.83941,-1.76464,2.08707,-3.18259,-0.1552,-1.05585,1.62517,-2.30688,-0.30753,0.0756,-0.40814,-0.63112,1.34477,-0.09861,0
peptide_nm_284,-0.02402,0.30027,0.20283,-0.84557,-1.70366,-0.05515,-0.24465,0.24586,0.42697,-0.59961,0.8681,0.39107,-0.53037,-0.64494,-0.09711,-0.55197,-0.36958,-0.71595,-1.25683,-0.88644,1.48791,-0.14787,-0.29375,-0.41421,-0.13051,-1.35015,-0.52268,-0.29052,-0.23642,-0.38148,0
peptide_nm_285,-0.10372,-2.25763,1.82581,-1.25368,-0.52397,-0.3207,-1.30324,1.00213,-1.05668,1.80748,1.27491,-0.37907,0.59122,-0.13631,0.24966,-0.26489,-0.40204,0.015,-1.6222,-0.63755,1.14491,-0.77304,-1.70673,-0.51298,-0.76729,-1.23036,-0.60174,0.18608,-0.15646,-0.18742,0
peptide_nm_286,-0.16404,0.35638,-0.39088,-0.00561,-0.42499,0.822,0.18045,-0.35846,-0.67261,0.22595,0.79292,0.32333,0.41084,0.4657,-0.03884,-0.94616,0.21301,-0.23655,-0.91986,-0.79378,1.26933,0.28848,0.15474,0.48133,-0.2217,-0.90917,-0.41656,0.21135,0.1511,-0.39151,0
peptide_nm_287,-1.29689,0.64686,0.58073,-0.66921,-0.83702,0.68566,-0.09377,0.10915,-2.2058,-1.49763,-1.12501,0.51911,-1.46474,-0.98984,0.00115,0.17247,0.47767,0.8736,-1.56206,0.82844,-0.9605,0.14738,-1.11961,1.05914,0.03069,0.68238,-1.83613,0.12793,-0.41375,-1.05197,0
peptide_nm_288,0.17869,0.11049,-1.02811,-1.59047,0.38894,-0.33233,-1.06474,0.1818,-1.72158,-0.25767,1.08208,0.52458,-0.79526,-2.23721,-0.09084,-0.50596,-0.39412,0.69682,-0.13037,-1.3231,1.20577,-0.12054,-0.43073,-1.01091,-1.43338,-1.16638,-0.20816,-0.36805,-0.78729,-0.22537,0
peptide_nm_289,0.11267,-1.21633,0.07989,-0.56392,0.08739,-0.79815,0.42053,0.16612,0.19924,-0.79721,1.45453,0.55564,-0.46958,-1.89067,0.25853,0.93269,-0.44876,-1.23964,-0.15394,1.70259,1.05229,-0.58813,-2.27184,-1.15097,0.44354,-0.11752,0.3627,-0.49999,-0.69984,-0.61199,0
peptide_nm_290,0.53467,1.18271,-0.499,-2.22167,-1.56416,2.24716,0.48607,-0.65747,-1.12012,-0.64563,0.06168,-0.58008,0.53977,1.50153,1.78075,-1.43728,-0.09316,-0.55202,-1.05558,-0.76393,0.16853,-1.03189,0.39563,0.8941,1.05735,-0.15675,-0.27853,0.33424,-0.39264,0.15883,0
peptide_nm_291,-1.6305,-0.85903,0.64762,-0.56401,-0.6383,-1.24235,1.58463,-0.50329,0.00901,0.38784,0.59271,-0.54297,-0.20594,0.29202,-0.62202,1.21363,1.12479,1.78231,1.6985,1.68141,0.07202,0.23999,0.38337,0.35682,0.2972,-1.46096,-0.32139,-0.40622,0.12834,-0.48153,0
