,GDPC_alphaticr.alphaticr,GDPC_alphaticr.aromatic,GDPC_alphaticr.postivecharger,GDPC_alphaticr.negativecharger,GDPC_alphaticr.uncharger,GDPC_aromatic.alphaticr,GDPC_aromatic.aromatic,GDPC_aromatic.postivecharger,GDPC_aromatic.negativecharger,GDPC_aromatic.uncharger,GDPC_postivecharger.alphaticr,GDPC_postivecharger.aromatic,GDPC_postivecharger.postivecharger,GDPC_postivecharger.negativecharger,GDPC_postivecharger.uncharger,GDPC_negativecharger.alphaticr,GDPC_negativecharger.aromatic,GDPC_negativecharger.postivecharger,GDPC_negativecharger.negativecharger,GDPC_negativecharger.uncharger,GDPC_uncharger.alphaticr,GDPC_uncharger.aromatic,GDPC_uncharger.postivecharger,GDPC_uncharger.negativecharger,GDPC_uncharger.uncharger,y
peptide_nm_204,0.26089,-0.68562,-0.04537,1.12558,-0.20816,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,0.0025,-0.5271,-0.66495,2.31348,-0.72594,1.08907,-0.30483,2.52626,-0.27412,-0.50842,-0.13654,-0.58647,1.15117,-0.50514,0.37407,0
peptide_nm_205,-1.35851,0.65595,-1.09631,-0.64811,-0.42727,0.44756,-0.31118,0.74004,6.05875,-0.51381,-1.10916,2.05766,0.24632,1.79963,-0.72594,-0.628,-0.30483,6.74837,-0.27412,1.40706,-1.26881,0.84034,-0.72645,1.22663,-0.63352,0
peptide_nm_206,-0.77373,1.10315,0.04221,1.27339,-0.11078,-0.76325,-0.31118,-0.52241,-0.32148,1.39288,-1.10916,-0.5271,-0.66495,2.54186,-0.72594,3.09232,-0.30483,-0.41086,-0.27412,-0.50842,-0.04218,-0.58647,-0.72645,1.80389,0.45804,0
peptide_nm_207,-1.05341,0.24765,-1.09631,-0.64811,2.58626,1.76365,-0.31118,-0.52241,-0.32148,-0.51381,-0.48083,0.37195,-0.03102,-0.42706,0.25231,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,0.65113,0.40609,1.39608,-0.50514,0.5055,0
peptide_nm_208,-0.81871,-0.68562,-1.09631,-0.64811,0.96042,-0.76325,-0.31118,-0.52241,3.60481,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,1.00481,1.08907,-0.30483,-0.41086,-0.27412,-0.50842,0.99574,-0.58647,1.15117,-0.50514,3.39685,0
peptide_nm_209,-0.91993,0.65595,0.61147,-0.64811,-0.42727,-0.76325,-0.31118,0.74004,2.86863,-0.51381,0.69729,-0.5271,0.24632,-0.42706,0.68029,-0.628,-0.30483,-0.41086,1.55972,-0.50842,0.57113,-0.58647,-0.72645,-0.50514,1.00382,0
peptide_nm_210,1.72914,1.0316,-1.09631,0.27421,-0.76907,0.78659,-0.31118,-0.52241,-0.32148,-0.51381,-0.53109,-0.5271,-0.08174,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,0.71749,-0.68003,-0.58647,0.24991,0.60319,0.41437,0
peptide_nm_211,0.60636,0.17299,-0.00333,1.19653,-0.76907,-0.76325,-0.31118,-0.52241,1.7202,-0.51381,0.04697,-0.5271,0.50148,-0.42706,0.17405,0.26488,-0.30483,-0.41086,0.89954,0.71749,0.49754,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_212,-1.10789,0.08099,-0.60838,-0.64811,0.25092,-0.07136,-0.31118,0.9204,-0.32148,1.93764,-1.10916,-0.5271,-0.14422,0.84534,0.88118,-0.628,1.13834,-0.41086,-0.27412,-0.50842,0.83398,1.85949,0.1453,-0.50514,0.76991,0
peptide_nm_213,-0.10884,-0.39158,-0.16054,-0.01639,0.70429,-0.76325,-0.31118,-0.24571,1.07693,-0.20038,-0.11932,0.03943,-0.26549,-0.42706,0.50692,0.28934,-0.30483,-0.41086,-0.27412,0.75108,0.74757,-0.27375,0.9454,0.25399,-0.45409,0
peptide_nm_214,-1.35851,-0.68562,-1.09631,3.1949,-1.37673,-0.76325,-0.31118,-0.52241,-0.32148,3.29956,1.29944,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,6.42998,-0.41086,4.61613,-0.50842,1.18445,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_215,-0.08262,1.26576,-1.09631,-0.64811,1.38535,-0.76325,-0.31118,-0.52241,-0.32148,1.56621,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,2.39329,-0.50842,1.40747,-0.58647,-0.72645,2.0138,0.55727,0
peptide_nm_216,0.20091,-0.68562,-0.3373,-0.64811,1.99915,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,1.55222,-0.72594,1.85221,-0.30483,-0.41086,1.35596,-0.50842,1.18445,-0.58647,0.62961,1.03421,-0.63352,0
peptide_nm_217,-0.65677,0.74539,0.26991,1.65769,-1.37673,-0.76325,-0.31118,0.1509,-0.32148,1.01154,-0.62744,0.16217,0.30707,-0.42706,1.52403,0.86013,-0.30483,-0.41086,-0.27412,0.51317,1.18445,-0.58647,0.08719,-0.50514,-0.63352,0
peptide_nm_218,-1.35851,-0.68562,-1.09631,1.27339,-0.11078,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,1.14904,-0.628,-0.30483,-0.41086,-0.27412,4.59953,1.18445,-0.58647,1.30764,1.80389,2.64116,0
peptide_nm_219,-0.5788,-0.68562,-1.09631,0.63289,-0.53276,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,0.14507,-0.42706,3.02402,-0.628,-0.30483,1.71039,1.35596,1.19423,0.3667,-0.58647,1.98567,2.57357,0.09418,0
peptide_nm_220,-0.08262,-0.68562,-0.4753,1.44808,0.00431,0.11734,-0.31118,-0.52241,-0.32148,-0.51381,-0.45227,-0.5271,-0.00221,1.19235,0.29678,1.40127,1.53194,-0.41086,1.05958,-0.50842,0.06933,-0.58647,1.49256,-0.50514,-0.63352,0
peptide_nm_221,-1.35851,-0.68562,-0.04537,1.12558,0.96042,2.2172,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,5.05403,-0.72594,1.08907,2.80355,2.52626,-0.27412,-0.50842,-0.13654,-0.58647,-0.72645,1.62627,-0.63352,0
peptide_nm_222,-0.69019,-0.68562,0.20485,-0.64811,-0.65333,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-0.42099,-0.5271,2.11226,1.26947,0.34548,0.43495,-0.30483,-0.41086,-0.27412,-0.50842,-0.56788,-0.58647,1.59822,-0.50514,2.48522,0
peptide_nm_223,-0.53294,3.10236,-0.29265,0.70824,-1.37673,0.37634,-0.31118,0.66578,-0.32148,0.83209,-0.25906,-0.5271,-0.66495,-0.42706,1.92109,-0.628,-0.30483,1.83517,-0.27412,-0.50842,1.32876,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_224,-1.02435,-0.68562,-1.09631,-0.64811,2.96369,0.15927,-0.31118,-0.52241,-0.32148,0.57573,-1.10916,-0.5271,-0.66495,-0.42706,0.34548,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,1.53492,1.58772,0.43589,-0.50514,1.86147,0
peptide_nm_225,-0.7483,0.24765,0.68572,0.35441,-1.37673,-0.76325,-0.31118,-0.52241,-0.32148,0.48098,-0.48083,-0.5271,0.60291,-0.42706,1.23056,-0.628,-0.30483,-0.41086,-0.27412,2.1566,1.29111,-0.58647,0.33481,0.69957,0.5055,0
peptide_nm_226,-0.77373,-0.68562,-1.09631,-0.64811,3.68709,0.85116,2.64875,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,2.17101,-0.50842,2.41108,-0.58647,-0.72645,1.80389,-0.63352,0
peptide_nm_227,0.80069,-0.68562,1.00557,1.12558,-1.37673,2.2172,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,2.65414,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,1.8491,-0.13654,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_228,0.29264,0.57704,-0.29265,0.70824,-0.48312,-0.76325,-0.31118,0.66578,-0.32148,-0.51381,-0.25906,-0.5271,-0.66495,1.66865,0.59757,0.68506,-0.30483,-0.41086,-0.27412,1.29439,1.32876,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_229,0.26089,0.96555,-0.04537,1.12558,-1.37673,0.72698,-0.31118,-0.52241,-0.32148,-0.51381,0.0025,-0.5271,-0.66495,-0.42706,1.00481,1.08907,-0.30483,-0.41086,-0.27412,1.8491,-0.13654,-0.58647,-0.72645,1.62627,-0.63352,0
peptide_nm_230,-0.72057,-0.68562,0.14571,-0.64811,1.38535,-0.76325,-0.31118,-0.52241,-0.32148,1.56621,0.20462,-0.5271,-0.66495,-0.42706,-0.72594,1.40127,-0.30483,-0.41086,-0.27412,-0.50842,1.40747,-0.58647,-0.72645,2.0138,0.55727,0
peptide_nm_231,-0.72057,1.26576,-1.09631,1.44808,-1.37673,-0.76325,-0.31118,-0.52241,4.31868,1.56621,-1.10916,1.35273,-0.66495,-0.42706,-0.72594,3.43053,-0.30483,3.06028,-0.27412,-0.50842,-1.26881,-0.58647,-0.72645,4.53275,-0.63352,0
peptide_nm_232,0.14521,0.08099,-1.09631,1.8224,0.79348,-0.07136,-0.31118,-0.52241,-0.32148,-0.51381,-0.59303,-0.5271,-0.66495,0.84534,-0.72594,1.76363,-0.30483,0.9528,1.8217,-0.50842,0.30829,-0.58647,0.1453,0.48444,-0.63352,0
peptide_nm_233,-0.45304,0.69923,0.22584,1.58331,0.09341,1.11155,-0.31118,-0.52241,-0.32148,-0.51381,-0.1768,-0.5271,-0.19462,0.7222,-0.72594,0.81213,0.99868,-0.41086,0.67238,-0.50842,0.15566,-0.58647,-0.72645,-0.50514,0.21156,0
peptide_nm_234,-0.3059,1.4609,-1.09631,2.8106,0.14241,1.17404,-0.31118,-0.52241,-0.32148,-0.51381,-0.38658,-0.5271,0.06407,-0.42706,-0.72594,0.4881,-0.30483,1.49827,-0.27412,1.02397,0.93912,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_235,0.39584,-0.68562,-1.09631,0.79302,1.47167,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,1.79963,-0.72594,3.55736,-0.30483,-0.41086,1.55972,-0.50842,-1.26881,-0.58647,0.79912,2.95841,-0.63352,0
peptide_nm_236,0.20091,0.10939,-0.0843,0.20589,0.31121,0.67178,-0.31118,-0.52241,-0.32148,-0.51381,-0.57391,0.23876,-0.66495,-0.42706,0.10738,-0.628,-0.30483,-0.41086,-0.27412,1.76178,0.91187,-0.58647,-0.72645,1.54733,-0.14839,0
peptide_nm_237,2.15018,-0.68562,-1.09631,0.79302,0.5222,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,0.57113,-0.58647,-0.72645,-0.50514,1.82249,0
peptide_nm_238,-0.72057,1.26576,-1.09631,1.44808,-1.37673,0.99793,2.91784,-0.52241,-0.32148,-0.51381,-1.10916,1.35273,-0.66495,-0.42706,3.36492,1.40127,-0.30483,-0.41086,-0.27412,-0.50842,-1.26881,-0.58647,3.71156,-0.50514,-0.63352,0
peptide_nm_239,-0.54881,-0.68562,-0.57084,0.23874,1.5447,-0.01813,-0.31118,-0.52241,-0.32148,0.3662,0.0025,-0.5271,-0.66495,-0.42706,0.13943,0.23054,2.80355,-0.41086,-0.27412,-0.50842,0.4296,-0.58647,1.15117,0.56056,0.37407,0
peptide_nm_240,-0.60665,-0.68562,0.85544,-0.64811,0.25092,1.31242,-0.31118,0.19899,-0.32148,0.30334,-0.0769,1.68841,-0.14422,-0.42706,0.07762,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,-0.21741,1.04417,0.1453,-0.50514,-0.16571,0
peptide_nm_241,-0.69019,-0.68562,-1.09631,3.7439,0.07007,0.15927,-0.31118,-0.52241,-0.32148,-0.51381,-0.42099,0.45757,-0.66495,-0.42706,-0.72594,1.4979,-0.30483,3.22557,5.31474,-0.50842,-0.56788,-0.58647,-0.72645,0.8143,-0.63352,0
peptide_nm_242,-0.83871,1.6994,-0.59031,0.20589,-0.25144,1.3893,-0.31118,0.22571,-0.32148,0.33361,-0.03867,-0.5271,-0.66495,-0.42706,0.10738,-0.628,-0.30483,-0.41086,-0.27412,0.62668,-0.17847,1.10456,-0.72645,-0.50514,1.79217,0
peptide_nm_243,-0.27891,0.13996,-0.04537,0.23874,-0.20816,-0.01813,-0.31118,-0.52241,1.64167,-0.51381,0.0025,-0.5271,-0.66495,-0.42706,1.00481,1.08907,-0.30483,-0.41086,0.8544,0.67034,-0.13654,0.29157,0.21236,0.56056,-0.12973,0
peptide_nm_244,0.04497,-0.68562,0.26991,-0.64811,-1.37673,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,1.54071,-0.66495,3.13565,1.52403,-0.628,-0.30483,-0.41086,-0.27412,2.55635,0.20315,-0.58647,1.71446,-0.50514,0.67635,0
peptide_nm_245,-0.77373,-0.68562,-1.09631,1.27339,-0.11078,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,0.09514,-0.5271,-0.66495,2.54186,3.02402,-0.628,-0.30483,5.9529,-0.27412,-0.50842,1.18445,-0.58647,1.30764,-0.50514,-0.63352,0
peptide_nm_246,1.37047,-0.68562,0.42171,1.9139,-1.37673,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,1.55222,0.52405,3.09232,-0.30483,-0.41086,-0.27412,-0.50842,-0.45106,-0.58647,-0.72645,-0.50514,0.09418,0
peptide_nm_247,-0.77373,1.10315,0.04221,-0.64811,1.15518,-0.76325,-0.31118,-0.52241,-0.32148,1.39288,0.09514,-0.5271,-0.66495,-0.42706,1.14904,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,2.41108,-0.58647,1.30764,-0.50514,-0.63352,0
peptide_nm_248,0.39584,-0.68562,1.18073,3.1949,-1.37673,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,2.50373,-0.5271,-0.66495,-0.42706,-0.72594,1.23216,-0.30483,2.77102,-0.27412,-0.50842,-1.26881,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_249,0.64646,-0.68562,-0.44573,1.54789,0.79348,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-0.42099,-0.5271,-0.66495,1.26947,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,2.41041,1.53492,-0.58647,0.43589,-0.50514,-0.63352,0
peptide_nm_250,0.16701,-0.68562,0.09171,0.35441,0.60476,0.07905,-0.31118,-0.52241,-0.32148,-0.51381,0.1475,0.37195,-0.03102,-0.42706,0.25231,-0.628,-0.30483,1.24925,-0.27412,-0.50842,0.65113,-0.58647,0.33481,-0.50514,-0.06401,0
peptide_nm_251,2.15018,-0.68562,-1.09631,3.1949,-1.37673,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,4.59953,-0.04218,-0.58647,1.30764,-0.50514,-0.63352,0
peptide_nm_252,-0.72057,-0.68562,-1.09631,1.44808,0.00431,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,1.40127,-0.30483,-0.41086,2.39329,5.06389,-1.26881,-0.58647,-0.72645,4.53275,1.74806,0
peptide_nm_253,0.98062,1.10315,-1.09631,3.1949,-1.37673,-0.76325,-0.31118,1.16086,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,2.54186,-0.72594,4.95248,-0.30483,-0.41086,-0.27412,-0.50842,-1.26881,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_254,-0.53294,1.8397,-0.29265,0.70824,-0.18525,0.37634,0.38527,-0.12635,0.67934,0.38346,-0.25906,-0.5271,-0.66495,-0.42706,-0.72594,1.12274,-0.30483,-0.41086,2.02717,0.09252,0.4629,-0.13884,-0.72645,-0.50514,-0.11985,0
peptide_nm_255,-0.91993,0.65595,0.61147,-0.64811,-0.42727,0.44756,1.90877,0.74004,-0.32148,-0.51381,0.69729,-0.5271,-0.66495,1.79963,0.68029,-0.628,-0.30483,1.97555,-0.27412,-0.50842,-0.34884,-0.58647,0.79912,-0.50514,0.18515,0
peptide_nm_256,0.04497,1.4609,-1.09631,3.9635,-1.37673,1.17404,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,0.79309,-0.42706,-0.72594,1.60419,-0.30483,3.40739,2.66003,-0.50842,-1.26881,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_257,-0.18895,-0.68562,0.04221,1.27339,-1.37673,-0.76325,2.64875,-0.52241,3.932,-0.51381,0.09514,-0.5271,-0.66495,-0.42706,-0.72594,1.23216,-0.30483,-0.41086,-0.27412,2.04556,-1.26881,1.31594,-0.72645,-0.50514,1.5496,0
peptide_nm_258,-0.91993,-0.68562,-1.09631,3.67528,-0.42727,0.44756,-0.31118,-0.52241,-0.32148,0.9162,-1.10916,0.76528,-0.66495,-0.42706,-0.72594,2.16224,-0.30483,1.97555,-0.27412,1.40706,0.57113,0.84034,-0.72645,1.22663,-0.63352,0
peptide_nm_259,-0.059,0.90439,-0.59031,0.20589,0.31121,-0.76325,-0.31118,-0.52241,1.56896,0.33361,-0.57391,-0.5271,-0.12494,0.89246,-0.72594,2.67895,-0.30483,-0.41086,-0.27412,-0.50842,0.3667,-0.58647,0.17759,0.52109,-0.14839,0
peptide_nm_260,-0.12015,-0.68562,-0.29265,2.0646,1.30411,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,0.59103,-0.5271,0.19272,-0.42706,-0.72594,3.31116,-0.30483,-0.41086,-0.27412,-0.50842,-1.26881,-0.58647,0.70938,1.12476,-0.63352,0
peptide_nm_261,1.24052,-0.68562,-0.59031,2.7679,-0.25144,-0.04573,-0.31118,-0.52241,-0.32148,-0.51381,-0.57391,-0.5271,-0.66495,-0.42706,-0.72594,1.02548,1.1918,-0.41086,0.8126,0.62668,-0.17847,-0.58647,-0.72645,0.52109,-0.63352,0
peptide_nm_262,-0.51643,1.0316,-0.54982,0.27421,0.44624,0.78659,1.10959,-0.52241,-0.32148,1.31661,-1.10916,-0.5271,-0.66495,-0.42706,0.17405,-0.628,-0.30483,-0.41086,-0.27412,0.71749,1.6751,1.23985,-0.72645,-0.50514,-0.10957,0
peptide_nm_263,-0.54881,1.79114,-0.57084,1.12558,-0.20816,-0.01813,-0.31118,0.25448,1.64167,-0.51381,0.0025,-0.5271,-0.66495,-0.42706,1.00481,1.08907,-0.30483,1.0577,-0.27412,-0.50842,0.4296,-0.58647,0.21236,-0.50514,-0.12973,0
peptide_nm_264,0.16701,-0.68562,0.09171,0.35441,-0.05574,0.07905,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,0.37195,-0.66495,2.67095,-0.72594,2.28355,-0.30483,1.24925,1.0016,0.82409,-0.62883,-0.58647,-0.72645,1.90428,-0.63352,0
peptide_nm_265,-0.65677,-0.68562,1.63614,-0.64811,1.66156,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,3.22631,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,-1.26881,-0.58647,1.71446,-0.50514,0.67635,0
peptide_nm_266,-1.35851,-0.68562,1.63614,-0.64811,1.66156,1.17404,-0.31118,-0.52241,-0.32148,-0.51381,0.336,-0.5271,-0.66495,-0.42706,1.52403,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,1.6751,1.69643,-0.72645,-0.50514,-0.63352,0
peptide_nm_267,-0.12015,0.57704,-1.09631,0.70824,1.30411,0.37634,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,3.09719,2.19462,-0.58647,-0.72645,1.12476,0.13699,0
peptide_nm_268,-1.35851,-0.68562,-1.09631,-0.64811,-0.36397,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,0.30707,1.94808,-0.72594,0.86013,-0.30483,-0.41086,7.55029,3.57794,-0.28751,-0.58647,0.90082,3.18931,0.23972,0
peptide_nm_269,1.44844,-0.68562,-0.54982,-0.64811,-0.16142,0.01167,-0.31118,-0.52241,1.7202,-0.51381,-1.10916,-0.5271,-0.66495,0.99802,1.07404,-0.628,1.31153,1.11644,-0.27412,-0.50842,0.49754,-0.58647,0.24991,-0.50514,-0.10957,0
peptide_nm_270,-0.81871,0.96555,-1.09631,-0.64811,0.96042,-0.76325,-0.31118,-0.52241,3.60481,1.24621,1.11416,1.06352,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,2.52626,-0.27412,-0.50842,-1.26881,-0.58647,3.02879,1.62627,-0.63352,0
peptide_nm_271,-0.65677,-0.68562,1.63614,-0.64811,-1.37673,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,0.336,-0.5271,-0.66495,-0.42706,3.77401,-0.628,-0.30483,3.40739,2.66003,-0.50842,0.20315,-0.58647,-0.72645,2.2657,-0.63352,0
peptide_nm_272,-0.18895,2.89192,0.04221,-0.64811,1.15518,0.85116,2.64875,-0.52241,-0.32148,-0.51381,0.09514,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,1.18445,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_273,2.50105,0.38764,-1.09631,-0.64811,0.90199,-0.76325,-0.31118,0.48755,-0.32148,-0.51381,-0.38658,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,0.93912,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_274,-0.35603,1.35869,-0.44573,-0.64811,0.79348,0.15927,-0.31118,-0.52241,2.10908,-0.51381,-0.42099,-0.5271,-0.66495,-0.42706,0.34548,-0.628,-0.30483,1.40735,-0.27412,0.951,1.53492,-0.58647,-0.72645,0.8143,-0.00977,0
peptide_nm_275,-0.77373,-0.68562,-1.09631,1.27339,2.42113,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,2.04556,3.63771,-0.58647,-0.72645,-0.50514,1.5496,0
peptide_nm_276,3.55366,-0.68562,-1.09631,-0.64811,1.66156,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,0.20315,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_277,-0.65677,0.74539,-0.86861,0.88909,0.3956,-0.11748,1.46478,0.1509,1.37992,-0.13247,-0.38658,-0.5271,-0.66495,0.16673,-0.35094,1.60419,0.36865,0.22551,0.70393,0.00237,0.20315,0.17449,-0.31963,0.41847,-0.41521,0
peptide_nm_278,-1.35851,-0.68562,-1.09631,-0.64811,2.12899,-0.76325,-0.31118,-0.52241,-0.32148,1.24621,-1.10916,-0.5271,-0.66495,-0.42706,1.00481,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,2.12801,1.1696,-0.72645,-0.50514,3.39685,0
peptide_nm_279,-0.4432,0.24765,-0.5023,0.35441,1.26526,0.92135,-0.31118,-0.52241,-0.32148,0.48098,-0.48083,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,0.82409,1.93109,0.40609,-0.72645,-0.50514,0.5055,0
peptide_nm_280,0.29264,-0.68562,0.51101,-0.64811,0.4105,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-0.25906,-0.5271,-0.66495,-0.42706,0.59757,0.68506,-0.30483,-0.41086,-0.27412,1.29439,-0.40295,-0.58647,0.70938,2.75467,0.13699,0
peptide_nm_281,-0.27891,-0.68562,-0.04537,1.12558,-0.20816,0.72698,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,1.00481,1.08907,2.80355,-0.41086,-0.27412,-0.50842,-0.13654,-0.58647,-0.72645,1.62627,1.38167,0
peptide_nm_282,-0.08262,1.26576,0.14571,-0.64811,0.00431,0.99793,-0.31118,-0.52241,-0.32148,-0.51381,0.20462,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,2.27774,1.40747,-0.58647,-0.72645,2.0138,-0.63352,0
peptide_nm_283,-1.35851,-0.68562,1.38773,-0.64811,-1.37673,-0.76325,-0.31118,-0.52241,-0.32148,1.56621,1.5184,-0.5271,1.98603,-0.42706,1.31949,-0.628,3.3687,-0.41086,-0.27412,-0.50842,0.06933,-0.58647,1.49256,-0.50514,-0.63352,0
peptide_nm_284,-0.3059,-0.68562,-1.09631,0.50479,0.90199,0.2054,-0.31118,-0.52241,-0.32148,-0.51381,-0.38658,-0.5271,-0.66495,-0.42706,0.39905,0.4881,-0.30483,-0.41086,1.19295,1.02397,0.20315,0.55498,1.71446,0.88028,0.02141,0
peptide_nm_285,-0.72057,-0.68562,0.14571,1.44808,1.38535,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,1.31949,1.40127,3.3687,-0.41086,-0.27412,-0.50842,1.40747,-0.58647,-0.72645,2.0138,-0.63352,0
peptide_nm_286,-0.00901,0.13996,-0.57084,0.23874,-0.20816,-0.01813,-0.31118,0.25448,1.64167,-0.51381,-0.55333,-0.5271,-0.10417,-0.42706,0.13943,-0.628,-0.30483,-0.41086,-0.27412,1.8491,0.4296,1.1696,-0.72645,-0.50514,0.87787,0
peptide_nm_287,0.98062,-0.68562,-1.09631,-0.64811,1.15518,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,0.09514,-0.5271,-0.66495,-0.42706,1.14904,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,-0.04218,-0.58647,3.34172,-0.50514,0.45804,0
peptide_nm_288,-0.81871,0.96555,-1.09631,-0.64811,0.96042,-0.76325,-0.31118,-0.52241,3.60481,-0.51381,0.0025,-0.5271,-0.66495,-0.42706,-0.72594,1.08907,-0.30483,2.52626,1.98292,-0.50842,-0.13654,-0.58647,-0.72645,-0.50514,2.38926,0
peptide_nm_289,0.74671,0.38764,-0.4132,1.65769,-0.61716,0.2054,-0.31118,-0.52241,-0.32148,0.6302,-0.38658,-0.5271,-0.66495,-0.42706,-0.72594,2.72029,-0.30483,-0.41086,-0.27412,1.02397,-1.26881,-0.58647,-0.72645,2.2657,-0.63352,0
peptide_nm_290,-0.08262,-0.68562,0.14571,-0.64811,0.00431,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,0.20462,-0.5271,-0.66495,-0.42706,3.36492,-0.628,-0.30483,-0.41086,-0.27412,2.27774,0.06933,-0.58647,1.49256,2.0138,-0.63352,0
peptide_nm_291,2.15018,0.50689,-1.09631,-0.64811,0.31121,0.31303,-0.31118,-0.52241,-0.32148,-0.51381,-0.30629,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,-0.45106,-0.58647,0.62961,-0.50514,0.82189,0
peptide_nm_292,-1.35851,-0.68562,-1.09631,1.27339,-1.37673,-0.76325,-0.31118,-0.52241,-0.32148,1.39288,-1.10916,-0.5271,1.76511,5.51079,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,4.59953,-0.04218,1.31594,1.30764,-0.50514,0.45804,0
