,Argos,y
peptide_pm_402,0.29716,1
peptide_pm_403,0.93682,1
peptide_pm_404,2.01481,1
peptide_pm_405,0.53962,1
peptide_pm_406,1.34342,1
peptide_pm_407,3.04051,1
peptide_pm_408,0.41435,1
peptide_pm_409,-1.01284,1
peptide_pm_410,1.02251,1
peptide_pm_411,0.89497,1
peptide_pm_412,2.15071,1
peptide_pm_413,0.96976,1
peptide_pm_414,0.27887,1
peptide_pm_415,-0.65867,1
peptide_pm_416,-0.26661,1
peptide_pm_417,-0.59431,1
peptide_pm_418,1.05876,1
peptide_pm_419,3.09215,1
peptide_pm_420,1.61475,1
peptide_pm_421,-0.8157,1
peptide_pm_422,-0.34466,1
peptide_pm_423,0.50779,1
peptide_pm_424,-0.43381,1
peptide_pm_425,-0.84597,1
peptide_pm_426,0.65183,1
peptide_pm_427,-0.55213,1
peptide_pm_428,0.8992,1
peptide_pm_429,-0.66408,1
peptide_pm_430,1.21343,1
peptide_pm_431,-0.28077,1
peptide_pm_432,-1.01115,1
peptide_pm_433,-0.41153,1
peptide_pm_434,0.93214,1
peptide_pm_435,0.59232,1
peptide_pm_436,1.5823,1
peptide_pm_437,0.37072,1
peptide_pm_438,0.29579,1
peptide_pm_439,1.00847,1
peptide_pm_440,0.62148,1
peptide_pm_441,-0.79564,1
peptide_pm_442,0.53741,1
