,Z5__1,Z5__2,Z5__3,Z5__4,Z5__5,Z5__6,Z5__7,Z5__8,Z5__9,Z5__10,Z5__11,Z5__12,Z5__13,Z5__14,Z5__15,Z5__16,Z5__17,Z5__18,Z5__19,Z5__20,Z5__21,Z5__22,Z5__23,Z5__24,Z5__25,Z5__26,Z5__27,Z5__28,Z5__29,Z5__30,Z5__31,Z5__32,Z5__33,Z5__34,Z5__35,Z5__36,Z5__37,Z5__38,Z5__39,Z5__40,Z5__41,Z5__42,Z5__43,Z5__44,Z5__45,Z5__46,Z5__47,Z5__48,Z5__49,Z5__50,Z5__51,Z5__52,Z5__53,Z5__54,Z5__55,Z5__56,Z5__57,Z5__58,Z5__59,Z5__60,Z5__61,Z5__62,Z5__63,Z5__64,Z5__65,Z5__66,Z5__67,Z5__68,Z5__69,Z5__70,Z5__71,Z5__72,Z5__73,Z5__74,Z5__75,y
peptide_nm_109,0.46486,0.08505,-0.76241,0.64091,-1.47322,0.39473,0.47667,0.97915,-0.32691,-1.13602,0.24808,-0.09736,0.44115,0.72521,-2.01322,-0.89389,1.19404,1.95911,0.28018,-0.11909,-0.23432,-1.74749,0.98766,1.63469,-1.0646,-1.64065,-0.73155,-0.03135,-1.40037,-0.55426,0.11605,-0.28824,-0.27164,-0.58508,0.14521,-0.97822,-0.10625,1.08383,-1.26303,0.21598,-0.16946,0.24433,0.77423,1.8639,-0.42029,-0.23027,-0.60741,-1.2739,-0.39528,-0.73621,0.00837,0.15555,0.57278,-0.34367,-2.69382,1.36097,-0.59086,-1.20007,1.26353,0.65627,0.10023,0.14526,-0.39124,-1.33454,1.10705,0.10419,1.55938,0.22126,-0.92961,-1.52604,0.30149,0.54684,-0.88026,0.36913,0.613,0
peptide_nm_110,1.04158,0.61364,1.17313,0.68063,0.60948,-0.40333,-0.84307,-0.43591,0.36336,-0.40874,-0.59992,-0.24593,1.20007,0.09696,-1.97835,0.18222,-1.08692,0.3175,0.93641,0.43214,-0.43456,0.69674,1.58774,-0.40434,-1.0556,-0.22996,0.69085,-0.37906,-0.99816,0.00779,0.3356,0.14985,-0.36342,0.36444,0.63086,-0.05028,0.24852,-0.45043,-1.0423,0.51484,-0.20223,0.10363,1.95462,1.60905,1.21124,-0.058,-0.39163,-2.08844,-0.07855,0.86659,0.60352,2.11434,0.11375,-0.94937,0.18167,0.8015,0.88992,-0.34491,-0.579,0.59754,-0.73077,-0.51179,-0.45584,-1.12124,0.56444,1.00679,-0.78698,0.45505,1.14098,0.33469,-0.33669,0.22283,-1.00286,-0.30007,-0.54967,0
peptide_nm_111,-0.35251,-0.12305,0.29291,-0.28925,-0.83485,1.00488,0.11427,-0.11639,0.73317,-0.77857,-0.70067,1.30383,0.49527,0.62809,-0.68448,-0.02394,0.16231,-0.02958,-0.09955,-0.26732,-0.24746,1.2533,-0.13812,0.65182,-1.20031,-0.69721,-1.39989,-0.57465,-0.50695,-0.45751,0.28804,0.7718,0.58644,0.07857,-1.27273,-0.39685,-0.95988,-0.04244,-1.19053,0.24361,1.00613,-0.13978,-0.2462,0.96979,-1.16305,0.35954,0.06026,-0.18959,-0.16711,-0.01742,-0.34866,0.25603,0.76396,-0.14429,1.61784,1.01426,-0.86858,-0.69407,-1.28934,-0.66068,0.17197,-1.00929,-0.51328,-0.5663,-0.22052,1.2171,-0.42493,0.18352,0.30499,0.24945,-0.25538,-0.68047,0.0889,-0.87082,0.26751,0
peptide_nm_112,-0.7344,-0.76265,0.35656,-0.99453,0.00221,0.69979,-0.4593,-0.29234,-0.6259,0.01879,-0.02074,0.07949,-0.85894,-0.74195,-0.71563,-0.148,-0.99363,0.29929,-0.59332,-0.52591,-0.24804,0.96498,-0.02524,0.42218,0.62427,-0.21821,0.41382,0.34177,0.64905,0.41266,-0.30274,0.56564,0.1225,0.47156,0.82568,-0.57024,0.37408,1.15623,0.90358,0.65945,-0.02998,-0.01703,-0.85195,-0.04163,0.16409,-0.39929,0.33939,0.45184,0.33136,-0.36949,0.25274,0.86278,0.9195,0.37575,0.53707,0.35436,-0.5472,0.13708,-0.45348,-0.55994,-0.05091,0.74923,0.38826,-0.58522,0.06162,0.40062,-1.15294,-1.08326,-1.00987,-0.50852,-0.71628,-0.02538,0.23496,-0.09071,0.02018,0
peptide_nm_113,-0.8961,0.50655,0.76503,-0.41393,-0.17844,0.10896,0.17136,0.40334,0.25756,0.47819,0.2031,-0.22681,-0.08126,-0.25593,-0.12925,-1.02434,-0.40388,0.07832,0.23545,-0.27158,0.80443,0.36972,-0.43769,-0.61776,0.88183,-0.21741,0.26276,0.44039,0.59791,-0.01549,0.76015,-0.09315,1.26167,-0.31936,0.02091,-1.01525,0.12762,0.58966,1.41465,1.24272,0.89407,-0.13429,0.28889,-0.53304,-0.71293,-1.10324,-0.73921,-0.07751,-0.23098,-0.20635,0.94542,0.77018,0.34759,1.24171,-0.14856,0.4835,-0.73376,-0.25036,0.41513,-0.2633,0.05612,0.815,0.65494,-0.01378,0.01254,0.13807,-1.05565,-0.00453,0.06937,-0.34403,-0.44207,-0.3578,-0.20582,-0.22475,-0.34756,0
peptide_nm_114,-0.10014,0.66901,-0.33071,-0.35575,-0.36488,0.01872,-0.10533,1.13327,-0.54408,-1.17676,-0.28395,0.17042,-0.2245,0.48811,0.23653,-0.45257,-1.28765,1.27741,0.25077,-1.15948,0.78772,0.41816,-0.03481,-0.36136,-0.57079,-1.22165,-0.9802,0.04251,-0.56089,-0.58938,0.2242,-0.60713,-0.35232,-0.60374,-0.9008,-0.79398,0.15863,-0.618,1.61379,-1.15709,0.78958,0.33633,0.07319,-0.32297,1.33339,-0.16397,-0.47252,0.19276,0.08123,-0.61708,0.04303,0.01521,-0.43605,-0.12171,-0.12539,-0.39462,0.77017,0.03973,0.40962,0.19009,0.7416,-1.29864,-0.34517,1.25944,-1.68967,0.38551,0.55466,-0.89711,1.57321,0.6969,-0.52501,-1.10566,-0.52418,-0.86407,-0.59505,0
peptide_nm_115,-0.08595,0.07189,2.01122,0.4056,0.6871,0.0691,-0.41792,0.1046,0.00392,0.26179,0.76014,-0.6045,0.561,-0.25316,0.62377,-0.06483,-0.15075,-0.04766,-0.42671,-0.46538,-0.03573,0.5408,-0.17819,-0.72783,0.81138,0.42323,1.54018,-0.42206,-1.94178,-1.89157,0.58033,-0.23162,-0.39446,-1.08471,-0.56415,-0.55195,0.83064,0.03416,-0.19675,0.12466,-0.09999,-0.7874,-0.70021,0.43572,0.61655,-0.53687,-1.0602,-0.06149,-0.27111,-0.92678,0.30511,0.44912,-0.45057,-0.27742,-0.1697,1.12341,-0.03458,-0.39593,1.59235,0.75241,-1.12668,0.23067,0.46656,0.33169,-0.45112,0.25268,-1.25324,-0.01395,0.0242,-0.74046,0.3254,-0.20841,-1.28257,2.64492,0.26977,0
peptide_nm_116,0.55764,-2.63743,0.09083,1.99319,-2.17838,0.88448,-0.61231,-1.31288,2.76083,-1.86742,-0.20964,0.83077,-0.99439,1.06965,0.16252,0.67743,-1.77994,-0.49015,2.39323,-2.16246,-1.24364,0.91667,-1.23757,0.5024,0.2648,-0.47044,-1.06369,-1.30907,1.34491,-0.8514,0.32809,-0.00384,-0.33042,-0.52326,0.31249,-0.02796,-1.48286,-0.04025,0.43664,0.08008,0.72008,1.3256,0.50671,1.32493,1.12253,-0.14254,-0.56277,-0.69841,-0.59272,-0.27599,0.42421,-0.72564,2.71307,-1.5649,1.04824,0.90561,-0.84478,-0.16434,0.43479,0.4002,0.58983,-1.90655,0.47494,-0.94341,-0.10097,1.1179,-0.16252,-0.254,0.46795,1.82654,0.30252,1.42513,-0.4583,-0.10442,1.00431,0
peptide_nm_117,0.02717,0.59609,-0.01082,-0.20347,-1.00783,0.60551,0.47019,0.27178,-0.89912,-0.6031,-0.93466,-0.81302,-0.48234,0.83048,-1.1007,-1.1978,-1.98983,2.01502,-1.07499,0.70625,-0.44428,1.09473,-0.53048,0.12363,2.10291,-1.27568,0.30517,0.56766,0.26945,-0.35941,-1.37436,-1.33987,-0.54448,-1.5087,-1.00472,-1.08487,-0.62019,0.54711,-0.74387,0.71674,0.03359,0.86091,-0.07306,1.03713,1.39378,0.30019,-1.18386,0.85138,-0.05948,-0.76941,0.11787,1.272,0.04657,1.6824,-1.15019,-0.68843,0.33453,0.64363,-0.97176,0.85901,1.5684,-1.61334,0.98628,-0.60055,-0.13192,0.50357,-0.99084,2.16353,0.74278,-0.51354,0.12349,-0.98265,-0.54881,-0.76924,-0.90252,0
peptide_nm_118,-0.84465,0.4291,0.97618,-1.27375,-0.8569,1.68773,-0.3658,0.10517,-0.15728,-0.49129,-0.40184,-1.91362,-0.13893,-1.57316,0.24061,0.12997,0.46621,0.22921,1.40898,-0.00467,-0.1214,-0.82065,1.51102,0.66986,1.94037,-0.63801,-0.0677,0.39367,0.51505,-1.26868,-0.12379,-1.62641,-0.25123,-0.99416,-0.53484,-0.6893,0.73504,-0.94829,1.25353,0.55337,-0.15128,-1.20525,-0.34279,0.14578,1.1064,0.49233,-0.96849,1.99369,-0.7226,0.86456,-1.11046,0.27402,1.20963,-0.68173,0.82674,1.12447,-2.19028,1.39653,-2.93872,-0.40849,0.1862,-0.69377,-0.9255,1.0601,-1.12546,1.13052,-0.46611,-1.55341,1.16247,-0.50748,-0.27933,-0.0055,1.43796,0.0922,1.09229,0
peptide_nm_119,-0.13407,0.05855,-0.4918,0.37077,-0.5733,-1.52106,-1.46635,-0.21347,1.21713,0.13627,-1.55931,0.62335,0.84676,-0.62853,-0.74393,-0.73677,-0.3912,0.74859,0.79242,0.1224,0.32415,1.92421,-0.68478,1.21918,0.74076,0.4479,-0.28257,0.45873,-3.49714,-1.40704,-1.30292,0.60816,-0.59911,1.06599,-1.85416,-0.05982,-0.43615,-0.79246,-2.93241,-0.77703,0.69165,1.5829,-1.222,1.0845,-1.72427,0.39102,-0.09224,-1.6817,-1.63993,0.14275,-1.36089,0.90422,0.85889,1.85811,-0.79098,1.50059,-1.19626,1.05497,-0.15442,0.93999,-0.35793,-0.29213,-0.62777,-2.47817,-0.79917,0.39148,0.20723,-0.22615,0.67527,-0.72743,0.06139,-1.12278,-0.46136,0.72097,-1.32986,0
peptide_nm_120,-0.47696,0.12617,0.38134,0.00262,0.18797,0.17474,-0.53884,-0.45926,0.67859,-1.22312,-1.12492,-0.08351,-0.2814,-0.21054,-0.38585,-0.21107,-1.20808,-0.10859,-0.23629,-1.18579,1.0655,0.90041,0.42426,0.22157,1.51401,-0.60387,-0.47624,-0.88445,-0.07717,0.0703,-0.5159,-1.44055,0.40539,0.35033,-0.7644,-0.63464,0.19206,-0.14047,-0.64803,0.68644,0.68749,0.1173,0.42064,-0.49854,0.0893,0.0195,-0.31798,0.6249,-0.09976,0.36734,-0.94594,0.10054,-0.2986,-0.37303,0.18699,0.56972,-1.25369,0.74448,-0.37223,-0.46485,0.044,-0.03142,-0.0414,0.08089,-0.36474,0.32953,-0.03305,-0.40307,-0.12309,0.00379,-0.4663,-0.67711,0.12589,-0.17497,0.66277,0
peptide_nm_121,-0.90332,-1.93985,1.46014,-1.61389,0.24706,0.20698,-1.18427,1.24147,-0.08996,0.32647,0.00838,-0.39768,-0.48094,0.2927,-0.15123,-0.09387,0.5232,0.49249,0.42368,0.95747,0.625,0.40291,-0.36,0.21643,0.1448,-0.11069,-0.85499,-0.82488,-0.50773,-0.38071,0.95873,1.14409,0.36496,0.03907,-0.04449,-0.55425,0.4354,-0.20004,-0.8954,-0.81831,-0.47391,1.12426,0.18305,-0.46242,-0.60057,-0.72295,0.8772,0.34053,0.07359,-0.53848,1.13311,0.93527,0.37628,-0.15471,-0.32332,0.79728,0.2711,-0.33673,-0.85337,-0.14723,-0.77001,0.40934,-0.27786,-0.20601,-0.44486,0.64749,-0.49226,-0.77198,-1.03451,0.08629,0.0882,0.48839,0.04041,-0.62109,-0.50303,0
peptide_nm_122,-0.69422,-0.10075,0.55292,-0.51614,-0.58327,0.85796,-0.71882,-0.46182,-0.66381,0.25335,0.14211,-0.28236,-0.27229,-0.75821,-0.42054,-0.33952,0.05675,-0.4653,-0.50194,0.34471,0.89675,-0.37862,1.21102,0.94575,0.51977,-0.57562,-0.53873,-1.14029,0.0543,-0.52577,-0.03306,0.72546,1.30998,-0.35868,-0.30352,-0.886,-1.1776,-0.77938,1.1989,-0.29826,0.37784,0.3296,0.48504,-0.24063,-0.67819,-0.27445,0.48043,-0.21926,0.2184,-0.1873,-0.18933,1.23644,0.17293,-1.55182,0.2121,0.96253,0.13382,-0.51749,-0.1849,0.55454,0.88591,-0.18743,-0.22173,0.9883,-1.10513,0.00272,-0.69953,-0.33667,0.31827,-0.23829,1.24604,0.05165,0.00768,-0.19494,-0.80398,0
peptide_nm_123,-1.16434,-1.00513,0.32322,-0.96143,0.26754,-1.77931,0.06183,-0.73335,0.64242,0.64255,0.12648,0.10124,-0.34938,0.01959,0.31472,-1.44003,1.83861,-1.02541,-0.95169,0.47434,1.56046,-0.45365,0.38408,-0.09137,-0.99796,0.78093,0.68474,-0.40788,-1.91362,-0.90016,0.70379,-0.41895,-1.58408,0.18163,0.86637,0.23651,0.60461,-0.21596,-0.25867,0.51568,-0.18368,-0.50633,0.74083,1.63334,1.71101,-1.37661,-0.38022,-0.71802,-0.39789,-0.13196,1.2536,1.36367,-0.44927,0.40689,-0.18298,0.79837,-0.26261,0.71555,-0.35098,1.45081,1.12621,-0.79091,-0.28025,-0.24401,0.87692,-0.42169,2.19378,0.45174,0.05238,0.85897,0.32635,-0.98217,-0.61299,-1.49049,-1.33253,0
peptide_nm_124,0.47669,-2.30828,2.10935,-1.38087,0.83782,1.88961,-1.8926,1.78483,-1.21542,0.57089,0.30657,-0.00396,0.66096,1.20707,0.75147,1.63912,-2.82497,2.02873,-2.00079,-0.18239,-2.1834,-0.70506,-1.78958,-0.01313,-1.28642,-1.63309,-1.46712,0.66546,-0.89081,0.01649,0.33596,0.28744,0.50962,0.67055,-0.07761,0.22911,-1.88717,1.29404,-1.35373,-0.27668,0.25811,0.34319,-0.74753,0.52292,-1.30842,0.454,0.63715,-1.8127,-0.79839,1.13252,0.67561,-1.84689,-1.0467,-1.31937,0.11039,1.35867,-1.73739,-2.21996,-1.63169,-0.03814,0.11416,-1.14723,1.11554,-0.79685,0.18877,1.51147,1.96082,0.00047,0.80334,-1.25138,0.61423,1.14383,0.74334,0.92916,1.6122,0
peptide_nm_125,-1.57999,-0.78052,0.06645,0.65764,-0.81751,-0.8599,0.3421,-1.66678,0.0004,-0.12494,-0.34569,-0.43147,-0.21399,-0.53341,-0.92272,0.42973,-0.50273,-0.20705,0.69212,0.39738,-0.60208,-0.21627,0.71479,0.03002,-0.1724,2.33313,0.26936,0.52751,1.80348,0.02669,-0.20428,-0.23016,1.07398,1.81586,-0.81871,0.67646,-1.53136,1.26851,0.0726,-0.09403,0.30114,-1.25867,0.0357,-0.23147,2.00783,-0.79115,-0.48665,-0.43259,-0.19665,-0.06446,0.40717,-0.22687,1.77145,-1.46238,1.00559,0.7062,1.18693,0.60824,-0.54385,0.18244,0.15909,-0.49029,0.22984,-0.62038,-1.25248,1.6963,-0.15399,0.97946,-0.25341,-0.04587,-0.39445,0.07138,-1.34598,-1.4823,-0.98378,0
peptide_nm_126,-0.79875,-1.23359,0.36128,0.62637,-0.67193,0.30365,-1.8413,-0.36524,0.93132,-0.81557,0.20679,0.73539,-0.37039,-0.30549,0.14704,0.14653,-0.45963,0.42864,1.24393,-0.59846,-0.03995,0.00399,0.47369,0.44102,-0.80314,0.97706,-0.06152,-0.51312,0.51651,0.10136,-0.29599,0.70271,0.61635,-0.44079,-1.3695,-0.1717,-1.14313,-0.91577,-0.11911,-0.47977,-0.20284,-1.17719,0.87539,1.53397,-1.4871,-0.55138,0.68333,-0.48016,-0.78585,-0.3849,-0.03717,0.36105,1.45391,1.2993,1.19199,0.88097,1.36195,0.28866,-1.25305,-1.39332,0.01957,-0.13346,0.07476,-0.50266,-0.57946,0.34797,-1.35296,-0.74419,-0.11873,-0.61,-0.05093,0.88988,0.1118,0.5063,0.00315,0
peptide_nm_127,-0.49694,0.28516,0.22471,-0.23914,-0.60579,-1.046,-0.27626,-0.4277,-1.98453,0.69869,-1.66322,0.81496,-0.87129,0.1157,-0.76801,-0.93026,-1.78637,0.13179,-2.48855,-1.28117,0.4137,0.01292,-0.8622,-0.70573,0.0035,0.16959,-0.26835,-1.06031,-2.28797,-2.25091,0.10561,-1.35622,-0.41394,-0.66526,0.17346,-0.00099,0.95676,1.44138,1.3937,-2.49294,0.77127,1.14208,1.00909,0.39283,0.3687,-0.36645,-0.25327,1.11749,-0.36113,0.74067,0.42575,1.22932,-0.34017,2.23378,2.889,0.20876,0.11274,0.72576,0.88584,0.60677,0.78891,0.71855,0.68657,0.15019,-1.35023,1.47371,1.29107,1.17567,0.09662,-0.04536,-1.48664,-0.0574,-0.62281,-0.58505,-0.28832,0
peptide_nm_128,1.58395,-0.28569,-1.29042,-0.43459,-0.45622,-1.0906,0.07166,0.31853,-2.76426,-0.88241,0.41287,0.95832,-0.6855,1.03881,0.28867,-2.44714,0.28089,1.03817,-2.52083,-0.56723,1.87433,-1.16434,-1.12376,2.53366,0.63415,1.07491,0.66712,-0.96111,0.07187,-0.29681,0.06513,-0.85007,0.86588,-1.00115,-2.46933,1.08921,0.80541,0.11261,0.57409,0.22808,-1.31961,-0.43315,0.50659,0.10009,2.56311,0.07902,-1.67685,-1.19266,1.31584,-1.67601,-1.4056,2.78694,-1.39033,-0.29576,1.42149,0.35558,-2.06408,2.32437,-0.03177,-1.35342,2.17327,-1.52215,0.61655,1.43434,0.39068,-3.63623,1.81156,-0.51631,-1.34515,1.59434,-0.01871,-0.33372,-0.69866,1.38142,-0.6575,0
peptide_nm_129,-1.32293,0.47081,0.71031,-1.32871,-0.34802,-0.90821,-0.81878,-1.01967,-0.98987,-0.66001,1.20311,0.09483,0.49819,0.03428,0.52244,-1.74215,-0.79693,-0.25681,0.64863,-1.00023,1.57809,1.5671,0.59294,0.2273,-0.83509,-0.6194,0.00735,0.01886,-1.24354,-1.31004,-0.15872,-0.80791,-2.01073,-0.40117,-1.20337,-1.46536,-0.39794,0.50467,0.91847,1.93306,0.79165,-0.96296,1.31874,1.30313,-1.22783,-0.32809,0.69412,0.44755,0.02778,0.54772,-0.55111,-0.81157,-2.18934,-1.14317,-1.85601,0.4792,-0.37055,0.19588,2.3821,1.29794,-0.46331,1.24532,0.77596,-0.01141,0.48923,-0.96457,-2.10396,-1.02566,-0.24197,1.02222,1.26959,-0.26694,-0.88876,0.67519,-2.49729,0
peptide_nm_130,-0.50887,0.90303,0.68085,-0.73853,-1.68437,0.04062,-0.09891,-0.87268,-0.26899,-2.10018,0.87779,-0.15627,-1.14605,-0.91119,-1.11287,-2.792,-1.72541,-1.54597,-0.8858,0.77402,0.72822,0.7396,1.15321,0.31938,0.1526,-1.8201,-0.16372,0.47661,-0.69801,-0.15398,0.76031,-0.22988,-0.22887,-1.09263,-0.61256,-1.65402,-0.60744,-0.07741,-0.44051,1.17382,0.42805,0.31867,0.55726,0.44781,0.31981,-1.1745,-0.52641,-0.67318,-0.69858,-0.10195,0.331,-0.61288,-1.14451,-0.03289,0.9796,0.7769,1.42406,0.34927,-1.03825,0.54259,1.75853,2.44083,1.59883,2.40612,0.33562,-0.49849,-0.32182,-0.81324,-1.38284,0.21818,-0.74973,-0.07448,-1.80607,-0.42641,1.40048,0
peptide_nm_131,0.33184,-1.27278,0.02921,-0.18458,0.33001,1.55277,0.1569,-0.42782,0.13543,0.58497,0.65709,-0.42394,0.50518,-1.7635,0.92819,-0.51586,1.07173,-0.55219,0.62783,1.08643,0.18164,0.09008,0.26373,-0.01252,0.50663,-1.75621,-0.2565,-0.87445,-0.42958,0.2553,0.56875,-0.27526,-0.13144,-1.22149,0.3694,-1.08509,0.4751,-0.46304,0.1876,0.64926,0.68282,-0.11704,0.31494,0.10179,-0.39621,-0.11205,-0.95039,-0.43774,-0.17012,-0.60359,0.36654,-0.4993,-1.02391,-0.5624,0.96803,0.97967,-0.38116,0.73277,-1.02761,0.02488,0.0622,0.64408,0.26654,-0.82096,-0.24576,-0.33099,-0.66056,-1.04931,-0.12821,-1.70441,-0.04789,0.60073,0.3998,-0.40122,-0.31641,0
peptide_nm_132,-0.87586,0.51166,0.20284,-0.73295,-0.41267,0.78701,0.64327,-0.13957,-0.13361,-0.25085,0.263,0.36744,-0.53105,-0.66429,-0.05448,0.01335,0.0137,-0.18319,0.29458,-0.79806,-1.0522,-0.971,-0.52948,-0.01353,0.38095,-1.35416,-0.25766,0.20249,-0.12845,0.41068,-0.36884,0.58548,0.07939,1.15683,0.32777,-1.04958,-0.52608,0.83981,-0.20609,0.38044,-0.05505,-1.04873,-0.57272,-0.69324,-0.582,-0.01082,0.27773,-0.09684,-0.48057,-0.25723,1.55917,0.7744,1.07619,-0.04768,-0.16501,-0.41686,-0.84128,-0.60149,-0.84153,-0.14883,-0.69638,-0.4691,0.79132,0.32129,-0.07489,0.12553,-0.83109,-1.12637,-1.0056,-0.68256,0.55558,0.56533,-0.16146,-0.12061,0.92596,0
peptide_nm_133,-0.01381,-0.04205,-0.45723,-0.99607,0.42016,0.61995,-0.52044,0.20274,0.69044,0.74414,0.09936,0.192,-0.63442,-0.84651,0.28302,-0.97961,-0.63408,-0.55487,0.59389,1.17468,0.48749,-1.15702,1.21082,-0.45627,0.53533,-1.49026,-0.3803,-0.61001,-0.33083,-0.39362,0.35826,-1.11128,-0.26403,-0.93272,1.34299,-0.83041,0.48284,-1.60148,-0.32707,0.32725,0.27837,-0.5803,1.02808,0.79025,0.75385,-0.56188,-0.7033,-0.13411,-0.52617,-0.62012,0.41943,1.2166,-1.90207,0.45417,0.18406,0.69564,-0.83397,0.43071,-0.35896,-0.97335,1.26481,-0.38744,-1.4188,-0.56057,-0.76503,-0.61301,0.16523,0.15234,-0.32643,0.88197,-0.36601,-0.68399,0.30305,-1.15018,0.50621,0
peptide_nm_134,0.32614,2.89139,1.77899,1.49768,0.87504,0.27598,0.99764,0.40329,1.71132,0.86283,1.15406,0.76212,-0.39274,0.60802,0.40711,0.69071,0.81461,0.47934,0.74346,0.46969,-1.07775,0.07601,0.48001,-1.80077,-0.03849,0.8598,1.31474,1.8294,1.55402,0.15561,1.86072,0.37361,0.41546,1.54587,1.6601,-0.36332,0.585,0.57526,1.19401,0.68435,-0.72406,0.24293,-0.08789,0.43414,-0.02843,-0.98134,-0.34515,-1.03423,0.47021,0.27262,2.00605,0.09384,-0.20179,0.63307,0.20285,0.33578,0.4852,0.63571,-0.2062,-0.49829,-1.83097,-0.04618,-0.05021,0.08128,-0.13395,0.85813,-0.04741,0.17656,0.29602,-0.23909,0.1379,-1.01723,-1.21762,1.89798,-1.5314,0
peptide_nm_135,0.73817,-0.29794,0.3494,-0.39869,-1.48709,-0.86935,0.81278,0.292,-2.38496,0.21799,0.32345,0.2476,-0.55536,-0.51067,0.32328,-2.9564,-1.40771,0.15907,-1.1843,-0.27485,2.51572,-0.43045,0.4384,2.36018,0.69692,0.45888,-2.11602,-0.09613,-0.73332,0.61769,0.69119,-1.5429,1.06772,-0.94935,0.68316,-0.04753,-1.37132,-2.40367,-1.20653,0.18072,-0.36575,0.7645,1.12052,0.60002,0.46747,-0.90801,-0.32564,0.08442,-0.3773,0.06739,-0.25076,0.58301,0.48201,-1.35168,-0.56527,0.8388,0.62344,1.15255,1.46973,0.574,2.02047,0.60085,-1.76956,-0.90983,0.10542,-2.70084,1.03951,0.37906,-1.46167,0.08938,0.20862,0.37265,-0.8168,0.44088,0.02789,0
peptide_nm_136,0.59797,-1.95614,1.38435,-2.7113,-0.06043,0.60491,-1.88256,0.62087,-0.36958,-0.30643,0.2784,-0.46877,-1.07969,0.55314,0.97382,-0.88054,1.02192,-0.53884,1.19829,-1.41898,1.66982,-0.67323,0.77687,-1.34809,0.59421,0.38287,-2.01415,-0.8699,1.26068,-2.00054,-0.03487,0.35848,-2.17501,0.14251,-0.82529,-0.65176,-0.90102,0.44847,-0.79712,0.34998,-0.08005,0.18472,0.12054,0.77368,-0.62077,0.25042,-0.10534,-0.49425,-0.51131,0.15013,-1.9083,-0.41506,-0.45547,1.3185,-2.48019,0.91439,0.69409,0.56589,-0.87679,0.76861,0.28653,-1.12734,0.43021,-1.16725,1.65352,-1.04152,0.6635,0.2818,1.67672,-1.88994,-0.71886,-0.56976,-1.01242,-1.10509,0.30329,0
peptide_nm_137,0.0579,0.04641,-0.97869,-0.45315,0.09868,0.40022,0.85319,-0.11107,-0.01614,0.65527,0.09517,-0.42391,-0.12629,-0.20257,0.66019,-0.55963,1.2541,0.27937,0.23122,-0.10892,0.67469,-0.20952,0.83971,-0.17631,0.85815,-0.99289,0.40083,0.32633,0.30972,-0.09055,0.45693,-0.04482,-0.51522,0.00834,0.77151,-0.84396,0.57481,0.56242,0.39504,0.20808,0.61842,0.28118,-0.44902,-0.38272,0.72596,-0.6836,-0.20098,-0.48723,-0.08044,-0.72974,0.36569,-0.46152,1.88405,0.38877,0.389,0.66089,-0.17283,-0.41231,-0.44856,0.03171,0.48299,-1.3149,0.48798,0.55485,-1.1381,-0.20985,-0.99066,0.72321,-0.82355,-0.17194,-0.1247,0.01986,-0.07269,-0.03953,-0.75889,0
peptide_nm_138,-0.44615,1.41878,-0.30502,-0.03672,0.48909,-0.23348,-0.68699,-1.0853,-0.79694,0.06802,-0.0646,0.05763,-0.55473,-0.71147,-0.53232,-2.22531,-1.54487,-0.51059,-1.19187,-1.49566,0.67718,1.1983,-1.09801,-1.61086,0.25978,-1.89745,-0.68919,-0.40092,-0.79503,-0.58608,0.87498,-0.7107,0.26715,0.25946,-1.02885,-1.44038,-0.34998,-0.17814,-0.15234,-1.71706,1.08899,1.14217,0.72938,1.01594,-0.50442,-0.86517,-0.70165,-0.28091,0.52634,-1.60257,0.58878,-0.55545,-1.35436,0.09164,-0.84298,1.05397,0.02413,0.33768,0.26931,-2.02772,1.44594,1.94877,2.63153,1.42019,1.22528,0.85483,-1.12477,-0.44832,0.70645,-0.35301,-0.39276,0.26033,-0.17047,-0.13184,-0.32972,0
peptide_nm_139,-0.77613,-0.18823,0.15188,-0.51493,-0.64943,0.01067,-0.23233,-0.31677,-0.1308,-0.12893,0.04126,-0.58173,-0.177,-0.5126,-0.19095,-0.34139,-0.10874,-0.10905,0.06085,0.00971,0.29521,0.79042,0.54359,0.13162,0.32122,-0.72541,-0.36311,-0.49404,-0.71869,0.08577,0.05484,0.04833,-0.26047,-0.22989,0.10368,-0.95313,-0.28167,-0.67178,0.45113,0.27795,-0.48935,-0.67747,-0.62968,0.14174,0.46479,-0.6966,-0.4669,-0.07278,-0.55569,-0.35464,0.20574,-0.2188,0.19801,0.05767,0.26552,0.62139,-0.56681,0.25522,-0.0657,0.19371,-0.17571,0.01187,-0.42668,0.13477,-0.5049,0.37917,-0.13342,-0.32986,-0.65803,-0.25777,-0.12206,1.08147,0.66227,0.59953,0.06438,0
