,Geary_CIDH920105.lag1,Geary_CIDH920105.lag2,Geary_CIDH920105.lag3,Geary_BHAR880101.lag1,Geary_BHAR880101.lag2,Geary_BHAR880101.lag3,Geary_CHAM820101.lag1,Geary_CHAM820101.lag2,Geary_CHAM820101.lag3,Geary_CHAM820102.lag1,Geary_CHAM820102.lag2,Geary_CHAM820102.lag3,Geary_CHOC760101.lag1,Geary_CHOC760101.lag2,Geary_CHOC760101.lag3,Geary_BIGC670101.lag1,Geary_BIGC670101.lag2,Geary_BIGC670101.lag3,Geary_CHAM810101.lag1,Geary_CHAM810101.lag2,Geary_CHAM810101.lag3,Geary_DAYM780201.lag1,Geary_DAYM780201.lag2,Geary_DAYM780201.lag3,y
peptide_nm_223,0.4026,-0.24498,1.18774,1.44237,-0.66606,-0.08238,0.15676,0.31784,-0.02378,-1.44666,-0.19884,-1.88024,-0.03296,0.42915,-0.15664,0.09119,0.34775,-0.60239,0.59257,0.34159,-0.3477,-0.06469,1.10383,-1.07726,0
peptide_nm_224,0.97463,-0.35917,-0.85448,0.99468,0.82976,-0.27394,0.61837,1.60392,-1.28617,-0.00507,0.33767,1.02295,0.63931,1.48883,-1.23417,0.65744,1.36607,-1.38781,0.81745,0.19255,-1.40214,0.32041,-1.43399,-1.49964,0
peptide_nm_225,-1.42157,0.3848,0.8975,0.21071,-0.43109,0.09362,0.09525,1.10996,0.67478,1.19647,-0.25886,0.09905,0.66899,0.50743,0.52309,-0.56133,0.78002,0.78005,-0.45609,-0.09969,0.89201,-0.61975,2.00529,0.69317,0
peptide_nm_226,0.11224,-0.66289,0.67385,-0.96479,-0.0745,-0.03278,-1.55354,0.17054,1.55328,-1.32757,-0.06992,-0.75546,-1.14944,0.52139,1.97964,0.06287,0.03941,1.76329,0.92672,0.61576,1.07105,-0.42399,-0.22222,0.25343,0
peptide_nm_227,0.43511,0.11241,1.24923,-0.33454,1.13413,0.56436,-0.74715,-0.45458,0.51531,1.27014,-0.99235,-1.19043,-0.47517,-0.63991,0.38723,0.26544,-1.15074,0.84242,2.72511,-0.77283,1.6631,0.63418,0.10351,-0.78472,0
peptide_nm_228,-1.22302,-1.70844,-0.65247,-0.1536,-1.43514,-0.36943,-0.60788,1.26041,-0.29394,1.63703,-2.47183,1.90477,-0.42789,1.65927,-0.01499,-0.83364,0.90626,-0.21007,-0.12506,-0.15045,1.05814,-1.6741,0.19283,-0.15332,0
peptide_nm_229,-0.60194,-0.9215,0.00689,-2.22076,-1.23311,-0.42005,0.32092,-1.12523,-0.29019,0.4195,-0.64611,-0.1164,2.01452,-0.97387,-0.9384,-0.30688,-1.88125,-1.38279,-1.14111,-0.50612,-1.40639,-2.37022,-1.9849,-0.87985,0
peptide_nm_230,1.26546,-1.63189,0.93407,-2.96142,-1.84193,-0.02268,-0.02533,-1.70796,-0.18985,-0.17068,-1.96242,-0.32447,0.43302,-1.33773,-0.09434,0.66613,-1.97926,0.49736,1.89873,-1.35425,1.7521,-1.68698,-1.16638,-0.29268,0
peptide_nm_231,0.78954,0.25165,-0.98641,-1.0946,-0.42818,-0.57724,-0.53556,0.04524,0.03059,-0.99535,0.28964,1.91976,-0.03824,-0.6017,0.82623,-0.18959,0.04379,-0.21864,-0.69936,1.57557,-0.60697,-0.08081,-1.98142,1.85199,0
peptide_nm_232,-0.1587,-0.07551,1.25501,-0.87852,0.44677,0.45313,-0.19201,0.25345,1.08994,-1.51356,0.45833,1.30194,-0.75916,0.37234,1.52707,-0.42388,0.3912,0.98829,-1.94543,-0.26135,1.36334,0.56771,-0.26549,0.02675,0
peptide_nm_233,-0.71964,0.43165,-0.24658,-0.38525,-0.39423,0.34965,1.13316,-0.81004,0.62916,0.94649,-0.0968,1.05132,1.26511,-1.2195,0.70056,0.41569,-0.8214,0.65179,0.48095,-0.99958,0.22252,0.73729,0.17948,-0.33557,0
peptide_nm_234,0.02596,-0.39907,1.86278,-0.75013,0.65917,1.15625,0.6603,-0.68678,-0.41868,1.04626,0.58338,-0.53936,0.90503,-1.0367,-0.34942,0.97977,-1.18654,0.62208,0.18655,-0.86554,2.13353,-0.91749,0.44105,-0.063,0
peptide_nm_235,-0.84476,1.58603,-0.16039,-0.4618,1.44411,0.53424,0.04449,1.00242,0.47237,0.99169,-0.4407,0.90965,0.0562,0.54189,1.4428,-0.56594,0.55141,0.03265,0.41081,-0.78838,0.37302,-0.48685,-0.85268,-0.26162,0
peptide_nm_236,-1.68342,-1.07329,0.16122,-0.17794,-0.90065,0.42784,-0.72296,-0.97429,-0.25764,0.44207,-0.40503,2e-05,-0.39813,-0.64702,-0.38282,-0.61019,-0.77086,-0.15604,0.09691,-0.2812,-0.2203,-0.23893,-0.32805,-0.38749,0
peptide_nm_237,0.46138,0.59029,-0.89341,0.89838,-0.081,1.25228,1.32412,-0.41644,0.17431,-0.07173,-0.21129,0.61243,1.21245,-0.79712,0.15029,1.50988,-0.27337,0.08111,1.73831,-0.25323,0.12741,-0.74484,-1.26611,-0.55044,0
peptide_nm_238,-0.79609,-1.00787,-0.83023,-1.04474,-0.90077,-1.75845,0.30041,-0.14705,1.58529,-0.50697,-0.1269,1.02501,1.05603,-0.83815,2.16137,1.34806,-1.00517,1.32716,0.16428,-1.09718,0.82326,0.8224,-0.5239,-1.17041,0
peptide_nm_239,0.32393,-0.90741,-1.39249,0.36793,-0.98312,-0.99238,0.58647,-0.21762,-0.33599,-1.02241,-1.02779,-0.54659,0.65916,-0.06714,-0.4656,0.35386,-0.43563,-0.44754,0.12708,-0.36983,-1.206,0.45847,0.51501,-0.91378,0
peptide_nm_240,0.89627,0.08113,-1.09532,0.36703,-0.26812,-1.34638,1.00774,-0.45475,0.6903,1.17175,0.00353,0.26311,1.34615,-0.74862,0.76006,0.82845,-1.25912,0.49697,-0.28693,-1.31012,0.86334,-0.09478,-0.83924,1.05063,0
peptide_nm_241,0.19461,0.53969,0.28913,0.42217,0.46835,0.23987,-1.94081,-1.07691,-0.59707,0.31206,-0.81861,0.31753,-2.30789,-1.58054,-0.39694,-2.00777,-1.3729,-0.43827,0.23811,-1.20668,-1.0096,-0.8344,0.24129,1.36478,0
peptide_nm_242,-1.32261,-0.42593,-0.49911,-1.65106,-0.22096,0.80643,-0.57214,-0.41123,-0.21535,0.05613,-1.22282,1.20956,-0.45432,-0.49943,-0.19839,-1.20363,-0.40771,-0.37799,-1.07264,-0.83814,-0.49551,-2.41151,-1.28312,-0.45176,0
peptide_nm_243,-0.2054,-0.40547,-0.29381,-0.5046,0.12002,0.01918,0.86835,-0.03174,-0.57375,-1.10361,0.24741,0.87604,0.5572,-0.26147,-0.51853,0.36506,-0.183,-0.62531,-1.40433,-0.57183,-1.21086,0.84427,0.16001,0.25183,0
peptide_nm_244,-1.48407,0.37621,-0.27184,-0.91798,0.91736,-1.42033,0.03342,0.10997,-1.09047,-0.3523,0.80969,0.32455,0.60309,-0.04168,-1.25218,0.82271,0.79422,-1.25158,0.38279,1.07718,-0.52684,-2.12491,0.03396,1.48412,0
peptide_nm_245,-0.09863,-1.18836,1.21549,0.51705,-0.53965,0.93253,0.33242,-1.01115,-0.41952,0.83876,0.4545,0.96042,-0.03343,-0.40478,-0.91615,1.09174,-0.14043,-1.16746,2.76766,-0.84143,-0.03637,-0.15269,1.59821,0.28464,0
peptide_nm_246,0.74756,-0.49783,0.99394,-1.34227,-0.09761,-0.00851,-0.35113,1.20327,0.53216,-0.30704,-0.27908,-0.78548,-0.14933,1.18105,0.32101,-0.62334,1.03287,0.10341,-0.73475,0.7837,-0.36812,0.56514,-0.17377,0.04477,0
peptide_nm_247,-0.7731,0.1921,2.15208,-0.3442,1.78223,1.06756,1.00102,0.88978,0.12252,-1.1151,-0.8776,1.03957,0.78567,0.85664,-0.31529,0.5102,0.37741,0.66876,-1.03446,0.14056,-0.21858,2.21798,0.12407,-0.13777,0
peptide_nm_248,-0.48002,-0.3008,-0.84796,-1.33061,-2.1461,-0.07897,-0.85043,-0.27543,0.63187,0.31195,-1.65795,0.16015,-1.0979,-0.27362,0.09789,-1.42767,-0.34599,0.63857,-1.5015,-1.08665,-0.35174,1.83357,-0.68752,0.10956,0
peptide_nm_249,0.44841,0.46782,-0.19787,1.03633,-0.67131,1.81782,1.17756,-0.56853,-0.38195,1.46182,-0.79041,0.81434,0.9488,-0.57089,-0.85646,0.61338,-0.65159,-0.6705,0.66972,-1.07368,0.39765,-0.56858,1.2489,-1.09627,0
peptide_nm_250,1.56953,-1.23094,1.87116,0.99936,-0.76621,0.31018,0.46888,-0.3393,-0.15612,0.32032,0.13444,-0.00436,0.26968,-0.3193,-0.29106,0.45761,-0.34718,-0.33316,0.68249,-1.55509,-0.20384,-1.17671,0.03323,-0.53455,0
peptide_nm_251,-1.60026,-0.11727,1.42065,0.91318,-1.37158,-0.05888,-0.37617,-1.1465,1.11122,0.4885,-0.36563,0.1601,0.28337,-1.00897,1.04148,-0.38583,-1.10933,0.97928,0.04296,-0.31605,0.34481,-0.08661,1.58182,-0.50631,0
peptide_nm_252,-1.06557,1.05275,0.82741,-0.86824,0.29283,0.70411,-1.12997,0.77618,-1.04923,1.05596,-0.29346,-0.90527,-1.26956,0.0238,-1.61653,-1.34908,0.8056,-0.65928,-0.8018,-0.81455,1.55459,0.85758,1.13575,-2.20153,0
peptide_nm_253,2.52019,-1.41084,-0.14503,2.24641,-1.72814,-0.03363,0.9979,0.01558,0.79641,1.8005,-0.01914,-0.24192,0.75821,0.96552,0.58396,1.74097,-0.39472,0.62576,2.17062,-0.51176,0.72115,0.64879,1.28357,-1.40343,0
peptide_nm_254,-0.09947,-0.03085,-0.58893,0.09903,0.01046,-0.64494,0.40923,0.46328,-0.7558,-0.93129,-0.43192,-0.15771,0.40776,0.41267,-0.80133,0.33193,0.55705,-0.8629,-0.08565,0.34241,0.27314,0.02655,1.07372,0.26402,0
peptide_nm_255,-0.96151,-0.40674,-0.67618,-1.8271,-0.75183,-0.70327,0.38078,-1.40299,0.41196,-2.32041,-0.95118,-1.18028,0.22696,-0.76656,1.05387,0.69543,-0.95578,0.57459,0.77978,0.05211,1.49607,-0.54107,-0.39061,0.14338,0
peptide_nm_256,-1.2233,-1.49841,0.05999,-1.04721,-0.07967,1.95785,0.17917,0.6442,2.76134,0.155,1.49631,-0.73898,0.1107,0.64685,2.20805,-0.7449,0.82377,2.41127,-0.35407,-0.00233,0.62546,-1.23075,1.63514,2.89396,0
peptide_nm_257,1.04097,0.97047,-1.31992,1.18798,-0.19227,-0.5945,-0.75551,0.96422,1.7698,0.04647,-0.46395,-0.17883,-0.60103,0.03089,2.69376,-0.04303,0.50389,1.75492,1.62839,-0.24037,0.87151,-0.84792,1.49414,-0.42562,0
peptide_nm_258,0.57571,0.74191,-0.7677,0.25081,0.53143,-0.91812,-1.20975,-0.71425,0.36254,0.1043,-0.36324,1.4294,-0.97867,-1.18479,0.73613,-1.50664,0.11818,0.02625,-1.71583,1.11534,1.01918,-1.06141,-0.02566,-0.0794,0
peptide_nm_259,0.5703,-0.00408,-0.12793,0.08414,0.37414,-0.79356,-0.17383,0.40304,0.53567,-0.33484,-0.1947,-0.09902,-0.54936,-0.31009,0.37309,-0.28154,0.05938,-0.12095,-0.85847,1.09405,0.31716,1.3103,0.8473,-1.08306,0
peptide_nm_260,1.49743,-0.59243,1.78827,-0.17152,-0.62788,1.21825,-0.62052,-1.24116,-0.31375,-2.07525,0.52657,1.22287,-0.85897,-1.18206,-0.33212,-0.69327,-1.30842,-0.0898,-1.30641,0.01711,0.69577,1.97798,-0.35395,-1.36534,0
peptide_nm_261,0.25258,-0.43326,0.74531,-0.2574,-0.05478,0.72654,0.29216,-1.29871,1.04542,-1.19268,-0.74876,-1.14542,0.30891,-1.50055,0.91437,0.49283,-1.20954,1.14258,0.62419,-0.67181,0.76078,-0.69558,-0.3248,-0.1992,0
peptide_nm_262,0.47538,-0.10118,-0.73755,0.3694,-0.45054,0.81356,0.70283,0.836,0.01947,0.34077,-0.51612,-0.32152,0.86957,0.8736,-0.20034,0.53036,0.73529,-0.37472,-0.87878,0.5695,-0.47946,-0.2658,-0.0124,0.57825,0
peptide_nm_263,0.62408,-0.3441,0.0595,-0.26077,1.28848,0.07264,0.60393,0.67104,-0.39864,0.67281,-1.14043,-0.28602,0.52893,0.20335,-0.57489,0.36212,0.90735,-0.67561,-0.03822,0.33788,-0.78363,0.29368,-0.44993,-0.54416,0
peptide_nm_264,-0.2644,0.44279,-0.11135,-0.14556,0.8725,0.79978,-0.13325,0.77739,-0.09173,1.27731,-0.57213,0.5828,-0.46575,0.62692,0.05154,0.01324,0.84157,-0.60976,-0.88875,0.0612,-0.30552,1.23591,-0.30675,-1.03188,0
peptide_nm_265,-0.33468,-1.45901,0.00731,-2.01301,-1.89776,-1.42754,0.68341,1.61237,-1.25531,-0.70414,-0.07709,0.30148,0.98471,1.34482,-1.76545,0.29957,1.32909,-0.77951,-0.73549,0.06315,1.30238,-0.45855,2.05847,-1.77382,0
peptide_nm_266,-0.48483,-0.38273,-0.83247,-0.28944,-0.7062,-2.14255,0.96378,-2.26771,-0.36331,-0.13041,0.57491,-1.81119,0.92878,-2.38568,-0.25455,0.79225,-2.35768,-0.33578,-1.40046,-2.42097,-1.33722,-0.1024,-0.01294,0.02943,0
peptide_nm_267,-1.24568,0.79001,2.47118,-0.65078,0.47667,1.00762,-1.95692,-0.00412,-0.0564,1.01091,-0.896,0.22041,-1.5072,-0.77268,-1.13086,-1.88114,-0.26548,0.30477,-1.19397,-1.21233,0.74735,1.14007,0.42069,-1.19344,0
peptide_nm_268,-1.86005,-1.41281,-0.76476,-0.90665,-0.66145,-0.2293,-2.81796,-0.90431,0.0796,-1.50724,-0.16111,0.67598,-2.75253,-0.66979,0.13586,-2.94334,-0.89697,0.11317,-0.94021,-1.10065,-0.94383,0.47834,0.83669,-0.74613,0
peptide_nm_269,-0.17073,-0.43046,0.73346,0.05144,-0.36697,0.7628,1.56513,-1.46901,0.99557,-1.41017,0.09559,-0.05225,1.03826,-1.25081,0.9175,1.59255,-0.95515,0.91696,0.81603,0.08096,-0.104,0.5803,-1.02017,0.24719,0
peptide_nm_270,0.94648,0.36906,0.00654,0.13573,0.36413,-0.06662,1.68985,-1.38581,3.11006,-0.21144,2.31095,1.07219,1.60069,-0.70626,3.3522,1.79141,-1.17384,2.62286,0.8919,-0.38429,0.19364,-0.52644,-0.62167,-1.63903,0
peptide_nm_271,-1.46713,-1.00055,0.1366,0.11682,-2.27266,-0.43186,1.12264,-1.23673,-1.18692,-1.89229,-0.07335,2.08347,1.04866,-1.77606,-0.96992,1.20291,-1.1046,-1.25834,0.3141,-2.41914,0.46336,-0.41861,-1.66141,0.71681,0
peptide_nm_272,-1.79954,-0.59766,0.22992,-0.64963,-0.56348,-1.3666,0.06492,-0.65475,-0.89061,-0.51382,-1.67555,-0.7523,0.39146,-0.74356,-1.27365,0.17014,-0.65722,-1.10159,0.56157,-0.16768,-1.51965,-0.35265,1.81468,1.88057,0
peptide_nm_273,1.07519,-1.69179,1.88725,0.17839,-1.37141,-0.72747,-0.89549,-0.46383,0.41752,2.41012,-1.30703,-0.04682,-0.76876,-0.10972,0.41836,-1.34835,-1.29269,0.34688,-1.24202,-1.36547,0.67052,-1.61288,-1.14702,-0.58177,0
peptide_nm_274,-1.0661,-0.0211,0.25415,-0.1374,0.18517,-1.08728,-1.33022,-1.41852,-0.20444,-1.43499,0.61841,0.76698,-1.69759,-1.16547,-1.00586,-1.58074,-0.97448,-0.46534,-1.14299,-0.23658,-1.10714,0.12182,-0.75254,1.50709,0
peptide_nm_275,-0.21392,1.3356,0.76783,-0.64666,0.8046,-0.00695,-0.46684,1.27222,-0.19222,0.05246,-0.60229,2.81009,0.04767,0.91838,-0.30394,-0.04938,1.77741,0.16347,0.26727,0.288,1.17491,0.2926,2.22979,-1.58175,0
peptide_nm_276,-1.41566,-0.97749,-0.39527,-0.89768,-1.49465,-0.88293,-1.45145,0.7058,-0.81278,-1.63132,0.3048,-0.59465,-1.62459,0.37658,-1.01627,-1.50174,0.69589,-0.68425,-1.7743,-0.05489,-0.46067,-1.55806,0.09329,-0.54913,0
peptide_nm_277,-0.209,-0.38087,-0.02,-0.52935,-0.35935,-0.8392,-1.03186,0.27114,0.8249,0.84473,-0.72533,0.70924,-1.01737,0.2162,1.0869,-1.16436,0.13888,0.67768,-0.42037,-0.65099,-0.04557,-0.80897,0.62535,0.08599,0
peptide_nm_278,0.48133,-0.35652,2.79359,0.48367,0.32573,0.38879,0.24156,1.75442,-0.71636,1.36962,0.80462,-1.09396,0.01723,2.16741,-1.33437,0.10749,2.06935,-1.09725,0.72388,1.65347,-1.47688,2.64807,-2.07987,1.60467,0
peptide_nm_279,-0.76064,-0.16756,0.18318,-1.31378,0.10238,-0.19856,-0.19169,0.04904,-0.67247,1.16,0.98272,-0.63119,-0.04461,0.17054,-0.62622,-0.61925,0.33733,-0.75732,-0.51501,0.88599,-1.13253,-0.06341,-0.02186,-0.65323,0
peptide_nm_280,0.16004,-0.70974,0.32905,-0.35687,-0.46894,-0.11713,0.03864,-0.08534,1.42696,-1.29635,0.17541,1.15685,-0.13736,0.18744,2.06155,0.07588,-0.18063,1.64706,-0.06446,-0.15898,1.10875,1.03778,-0.88313,-0.41639,0
peptide_nm_281,-0.47174,-0.6063,2.17252,0.19736,0.58175,0.47271,-0.62786,-1.75343,0.87036,-0.97406,-0.11563,-0.82936,-0.53385,-1.78603,0.65206,-0.71501,-1.09753,0.50324,1.54655,-0.02361,-0.56816,-2.03603,-0.70884,-0.51529,0
peptide_nm_282,-3.61908,-1.7113,0.05207,-1.92313,-1.54823,-1.06421,-1.97917,-1.07875,-0.6859,-0.06031,-0.798,0.07579,-1.57674,-0.97454,-0.70524,-2.43707,-1.24763,0.27297,-1.65691,-0.64357,1.80103,-1.4008,-0.11339,-0.36108,0
peptide_nm_283,1.38762,-1.39176,1.28145,0.77819,0.72154,-1.06901,0.53798,0.09983,-2.40933,-1.40302,-1.97259,-0.99813,0.17721,0.09705,-2.49683,0.47375,-0.30668,-2.35442,-1.83467,-1.17905,-0.57651,1.02664,-0.86456,-2.09759,0
peptide_nm_284,-0.86878,-0.53279,0.18602,-0.97135,-0.0365,1.24072,-0.31079,1.69997,0.86168,1.06749,1.18404,-0.35858,0.21861,2.07407,0.19089,-1.02989,1.58774,0.41307,-1.78913,-0.17892,0.5922,0.28343,0.06738,-0.44878,0
peptide_nm_285,1.55941,-2.15304,-0.29112,1.121,0.62155,-2.13618,-0.85636,-1.02257,0.00771,-0.67403,-0.05699,-0.5192,-1.04377,-1.13468,1.08677,-0.83053,-1.31569,0.74182,-0.73916,-1.75397,0.98819,0.52298,-1.20636,1.84285,0
peptide_nm_286,-0.39359,0.24384,-0.20878,0.3465,1.72445,-0.92071,0.51102,-0.78022,-0.15612,0.27337,-0.21782,0.2231,0.45816,-1.03105,0.09871,0.2255,-0.67873,-0.63756,-0.6638,-0.70551,0.11612,-0.7393,0.66775,-0.37371,0
peptide_nm_287,-1.84482,0.2639,2.55167,-1.40701,0.59453,0.14525,-0.9466,-1.10024,0.88938,-2.83219,-1.11678,0.51748,-0.59262,-1.09602,1.11547,-1.28253,-0.46641,1.86128,-1.2988,0.75659,3.02106,-0.05917,-0.38076,-1.57155,0
peptide_nm_288,-0.52455,1.66425,0.87121,0.95123,1.22835,-1.12558,-0.3426,-0.38727,-0.12507,-0.97796,-0.96517,1.59491,-0.34528,-1.75423,-0.34096,-0.17992,-0.1184,0.12411,1.213,-0.96745,-0.67592,0.61956,1.42895,-0.24446,0
peptide_nm_289,0.6825,-0.33761,0.37854,-0.35278,0.25914,-0.85343,-0.93805,-0.49136,-0.85043,-1.01639,-0.43794,0.02424,-0.4667,-0.2495,-0.86094,-0.0926,-0.59387,-0.51461,1.66465,-0.16792,0.63196,-0.13866,0.51426,-0.93814,0
peptide_nm_290,-2.13021,-0.42668,1.36701,-1.11505,0.00083,-0.44386,0.79921,1.17987,1.89223,1.87877,0.54186,0.30934,0.83312,0.3743,2.68986,0.31744,-0.26213,0.58163,-0.92821,-0.71622,0.07137,-0.959,0.29952,-0.57044,0
peptide_nm_291,1.2883,-0.41923,-0.14036,-0.38902,-1.19858,-0.82644,1.72699,-0.43432,-0.09621,1.08305,-0.58869,-0.62657,1.59276,-0.389,-0.18711,1.87255,-0.68112,-0.11212,1.88048,-1.62489,-0.19346,-2.244,-1.75033,-1.92495,0
peptide_nm_292,-0.32996,-0.47102,1.58583,-0.67899,-1.62515,2.12792,-1.34562,0.60958,1.64354,1.26845,0.89742,-1.48959,-1.18984,0.49723,1.11199,-1.1401,0.86854,1.7485,-0.80065,0.50034,-0.36618,-1.00154,1.4844,1.37708,0
peptide_nm_293,-0.31114,0.4447,-0.43377,-1.01405,0.41164,0.08475,-0.25699,0.98458,-0.14628,0.19221,-0.10361,-0.52953,-0.3486,0.92844,-0.04559,-0.35299,0.59998,0.25165,0.51505,-0.54532,0.13589,-1.48336,0.0371,1.48702,0
peptide_nm_294,-0.93833,-0.30321,0.82064,-1.1034,-1.66439,-0.75186,-0.09117,0.60106,0.84136,1.09367,0.27014,-0.57738,0.34678,0.7519,0.2422,-0.59429,0.51912,0.78845,-1.66651,-0.90326,-0.12984,-0.83426,-1.08997,0.4707,0
peptide_nm_295,-0.55164,0.65869,0.39862,-0.07683,0.28195,1.14266,0.67542,-0.26839,0.23185,1.05164,-1.39893,1.43702,0.18248,-0.3258,0.14533,-0.05679,-0.20914,0.09116,-0.33449,-0.43432,0.2732,-0.20586,-0.0383,0.7927,0
peptide_nm_296,0.12962,0.1679,0.09764,0.02976,0.50834,-0.42398,1.21763,0.24834,-1.06807,0.69481,0.38869,-0.00313,1.25721,0.48023,-1.20975,1.21234,0.1321,-1.06155,0.28168,0.23312,-0.53744,-0.52523,0.2484,-0.70591,0
peptide_nm_297,0.32762,0.18452,-0.42171,0.72545,1.30636,-0.528,-0.48541,-0.19605,-0.3621,-0.69156,-0.03647,-0.25585,-0.01084,-0.14482,-0.79088,-0.38813,0.11811,-0.30148,0.05723,0.42429,-1.57475,-1.06496,-1.14384,0.58211,0
peptide_nm_298,0.51343,-0.52424,-0.54533,-1.91975,-0.97432,0.21604,0.67287,-1.3588,1.25956,-0.31777,-0.35154,0.16373,-0.00095,-1.04443,1.1235,0.65006,-0.92404,0.96423,0.48979,-0.87683,0.29611,0.65151,0.00522,0.36517,0
peptide_nm_299,2.29885,-2.63364,1.03774,0.98682,-1.59808,-1.29693,0.47204,0.58761,0.71042,2.14845,-1.86602,0.11344,-0.18254,1.08898,0.66805,0.01269,0.87588,0.67888,-1.97001,-0.61575,-0.40511,2.26383,-1.22677,-0.263,0
peptide_nm_300,1.51449,-0.95726,-0.88424,-0.14272,-1.54462,-0.1466,-0.36637,1.82853,-0.6901,0.11189,1.05553,-1.21855,-0.53319,1.29202,-1.03481,-0.46386,1.791,-1.21194,-0.09504,0.43614,0.25986,0.16641,0.68469,-0.45235,0
peptide_nm_301,-1.02869,-0.86679,-0.3627,0.10984,-0.8256,0.14828,-1.16828,1.14889,2.90664,-0.2875,-0.21304,1.56781,-1.19747,1.2536,3.11136,-1.46439,1.41212,2.85787,-1.83289,-0.11334,0.83739,-1.01069,1.77547,-0.15848,0
peptide_nm_302,-1.02317,0.25033,0.8253,0.7275,-0.08431,1.6275,0.19879,0.27464,-0.9132,-0.02417,-0.87145,-1.49504,0.27734,0.43069,-0.73133,-0.26824,0.43292,-0.86889,-1.6557,1.15468,0.65459,1.3567,-1.33272,-0.34948,0
peptide_nm_303,1.96186,-1.3888,-0.28711,1.6029,-0.832,-1.19156,-0.40771,0.9121,-1.11156,-1.03857,-0.63052,0.06651,-0.9481,0.36712,-1.43754,-0.31991,0.93851,-0.96902,-0.87977,-0.34944,-0.85106,0.72434,-0.69599,0.80816,0
peptide_nm_304,0.01358,0.13906,0.0169,0.12414,0.75748,-0.32935,-0.15677,0.32518,1.08682,-0.66392,0.04316,1.1377,-0.33586,0.03733,1.06419,-0.27474,0.28062,0.79187,0.08429,0.54714,0.24399,-0.61332,0.99148,0.03248,0
peptide_nm_305,2.33863,-1.58424,0.06263,2.82165,-2.98409,0.90031,-0.20486,-1.17551,1.31625,-1.15501,0.99446,-0.37127,-0.70465,-0.94389,1.27503,-0.01337,-1.34028,1.28421,0.40195,-1.88085,1.13059,0.2695,1.34107,-2.6097,0
peptide_nm_306,-0.50204,1.14867,0.6433,0.92641,-0.16299,0.44151,-0.38715,2.09809,0.98883,0.79486,-0.52099,-1.50745,-0.17193,1.56117,0.6891,0.00408,1.50116,0.14437,1.35524,-0.60698,-0.29132,-2.46555,0.00862,1.44168,0
peptide_nm_307,1.04851,-2.19389,1.12695,-0.19014,-0.20607,-1.08681,1.89408,0.37397,-1.49824,0.32348,0.70815,-1.58337,1.264,-0.20494,-1.59245,1.53756,-0.72221,-1.16867,1.98982,-1.77988,1.58096,0.64747,0.96816,-1.83854,0
peptide_nm_308,1.22616,0.54929,-3.03675,0.0929,-2.04523,-0.24409,1.18999,-0.27965,-0.21615,0.34672,-0.85171,0.34327,1.38948,-0.78789,0.92887,1.51076,-0.44061,-0.85844,1.64826,0.07346,-1.66877,-0.56928,2.57818,1.27167,0
peptide_nm_309,-0.33864,-0.26408,-0.76945,-0.55352,-1.13413,-2.05228,0.82192,-0.31828,-0.72292,0.05062,-1.52998,-0.11874,0.34063,-0.80485,-0.83669,0.53272,-0.5146,-0.97165,-1.19562,-1.01717,-0.57428,1.06286,-0.21092,-0.37441,0
peptide_nm_310,-0.89633,0.76974,1.44572,-0.26838,0.0968,-0.38013,-0.72514,0.03196,0.9339,0.15278,0.56198,-0.46029,-0.68805,-0.1451,0.77668,-0.85196,0.58382,0.78734,-1.10338,0.86548,0.41308,-0.81205,-0.2097,0.15386,0
peptide_nm_311,-0.24071,-0.64816,0.53419,0.59051,-0.82382,0.79437,1.01473,0.17957,0.14638,1.81811,-0.65089,-0.66589,1.01534,0.27947,-0.02181,0.92784,0.37418,-0.19656,1.44248,-0.00664,-0.8002,-1.44545,-0.86334,-0.18417,0
peptide_nm_312,1.80001,-1.70056,0.97506,1.33956,-1.61361,-0.0096,-0.82236,0.80486,-0.50631,-1.08314,-0.20242,0.12181,-1.67993,0.06629,-0.5679,-1.22615,0.35915,-0.37652,-1.24573,0.70789,1.71953,0.74274,-0.22483,-0.22615,0
peptide_nm_313,0.44761,-1.02975,1.95489,0.14808,-0.86434,0.34499,-0.19004,-0.49077,1.33745,-2.2563,-1.4568,-0.41907,-0.6216,-0.69912,1.29698,-0.25843,-0.9404,1.50561,-1.76436,-0.79803,0.11236,-1.15655,0.05439,-0.34767,0
peptide_nm_314,0.2112,-0.24585,-0.22619,0.60347,0.69639,-0.21443,2.09887,-0.26051,0.70193,-0.24594,0.33136,2.17342,2.51645,-0.37046,0.94596,1.89747,-0.5549,0.72862,0.88063,0.62603,0.32803,-1.34144,-0.96024,0.1727,0
peptide_nm_315,-1.52798,-0.65197,-0.02596,-0.4084,0.16265,-0.96995,0.01438,0.82803,-1.45824,-0.77883,-0.95228,-0.68293,0.47979,0.66139,-1.58605,0.17436,0.90214,-0.96972,-0.19662,0.52829,0.56849,-0.98851,-0.3835,-0.81312,0
peptide_nm_316,-1.5299,-0.91649,1.49185,-1.25591,-0.61451,1.84051,-1.14326,-0.69856,1.19926,0.46143,-2.04463,-0.39612,-1.1375,-1.02747,1.00976,-1.55828,-0.79112,1.1933,-1.92343,-0.34687,0.77884,-0.27808,1.27653,1.71115,0
