,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,y
peptide_nm_114,-0.52578,-0.7064,0.20694,0.02839,0.12288,0.24618,1.10661,-0.5326,0.47177,0.68308,-0.83493,0.78326,2.05848,0.85699,-0.7232,-0.27644,-0.05719,-0.50082,-0.55741,-0.40764,0
peptide_nm_115,0.29879,-0.05347,0.60376,0.35157,-0.42846,-0.57537,-0.62828,0.53006,-0.4973,0.65523,-0.27289,-0.96126,-0.49469,0.01952,1.32053,0.87175,-0.75343,-0.50082,0.76881,0.77431,0
peptide_nm_116,-0.9492,0.24789,1.17357,-0.65388,-0.42846,-0.57537,0.61728,0.09704,1.58993,-0.90428,0.74135,-0.33502,-0.49469,0.39272,2.26378,-0.86606,-0.75343,-0.50082,-0.55741,0.29268,0
peptide_nm_117,0.7445,1.06584,-0.63081,-0.65388,0.67421,1.06774,3.99811,-1.07829,-0.4973,0.15396,-0.54631,-0.96126,2.05848,0.3083,-0.7232,-0.86606,-0.75343,-0.50082,-0.55741,-1.01459,0
peptide_nm_118,1.20642,0.42139,-0.63081,1.08281,-0.42846,-0.57537,0.84375,-1.07829,-0.4973,0.44257,-1.12354,0.51894,-0.49469,-0.78908,1.04184,-0.86606,-0.75343,-0.50082,-0.55741,2.07533,0
peptide_nm_119,-0.9492,1.36121,-0.63081,0.93808,-0.42846,1.34159,-0.62828,1.46826,-0.4973,-0.90428,-1.12354,-0.96126,-0.49469,1.77147,2.5127,1.88547,-0.75343,-0.50082,-0.55741,-1.01459,0
peptide_nm_120,0.12861,0.42139,2.56786,-0.65388,-0.42846,0.47024,0.84375,-0.38378,-0.4973,-0.23086,-0.75622,0.51894,-0.49469,0.60759,-0.7232,-0.11564,1.01882,-0.50082,-0.55741,-1.01459,0
peptide_nm_121,0.36812,-0.01719,0.67235,-0.65388,-0.42846,0.7026,0.27129,-1.07829,-0.4973,-0.08121,-0.67459,-0.96126,-0.49469,0.06444,0.35543,0.05112,1.41265,-0.50082,2.24239,1.81783,0
peptide_nm_122,1.33078,0.24789,2.97795,0.81562,0.16529,-0.57537,0.61728,-1.07829,1.58993,-0.33446,-0.81273,-0.96126,-0.49469,-0.19818,0.77029,-0.86606,-0.00363,-0.50082,0.41175,-0.36095,0
peptide_nm_123,-0.2518,-0.7064,0.74901,0.46986,-0.42846,2.13092,0.32421,0.71927,1.09881,-0.03279,-1.12354,-0.96126,-0.49469,-0.78908,0.41888,0.10507,1.54007,0.55562,2.40708,-1.01459,0
peptide_nm_124,-0.9492,0.32741,-0.63081,-0.65388,-0.42846,-0.57537,-0.62828,-1.07829,1.76386,2.79956,0.22332,-0.28284,-0.49469,-0.78908,4.13065,0.50971,-0.75343,-0.50082,-0.55741,-1.01459,0
peptide_nm_125,0.53279,0.06896,-0.63081,-0.65388,-0.42846,-0.57537,0.38374,2.74153,1.19857,-0.90428,-0.61847,-0.45244,-0.49469,-0.78908,0.49026,-0.86606,0.46499,-0.50082,1.01748,1.10973,0
peptide_nm_126,1.20642,0.42139,0.43541,0.21446,-0.42846,0.47024,0.10773,1.00525,0.73606,-0.23086,-0.38889,-0.96126,-0.49469,-0.78908,0.15932,-0.11564,-0.75343,-0.50082,0.58796,0.53037,0
peptide_nm_127,-0.9492,0.42139,-0.63081,-0.65388,-0.42846,1.51586,2.31579,0.31074,-0.4973,-0.90428,-1.12354,-0.22116,-0.49469,2.00425,-0.7232,-0.86606,2.79107,-0.50082,-0.55741,0.53037,0
peptide_nm_128,0.03879,0.32741,-0.63081,4.12201,-0.42846,1.34159,-0.62828,0.19498,-0.4973,-0.90428,0.22332,-0.28284,-0.49469,-0.78908,-0.7232,-0.86606,-0.75343,2.49242,-0.55741,-1.01459,0
peptide_nm_129,-0.10235,-0.7064,1.04469,2.0752,0.67421,1.06774,-0.62828,0.01309,-0.4973,-0.90428,-1.12354,-0.96126,-0.49469,-0.78908,0.66361,3.85085,-0.75343,-0.50082,1.24246,0.19931,0
peptide_nm_130,0.12861,-0.7064,-0.63081,2.81949,-0.42846,1.51586,2.31579,-1.07829,-0.4973,-0.90428,-0.38889,-0.96126,2.75479,-0.78908,-0.7232,0.63478,2.79107,-0.50082,-0.55741,-1.01459,0
peptide_nm_131,-0.9492,-0.01719,0.67235,0.40743,-0.42846,0.7026,0.27129,-1.07829,-0.4973,2.38802,-0.67459,-0.50898,3.4769,-0.78908,1.43407,0.9683,-0.75343,-0.50082,-0.55741,-0.07045,0
peptide_nm_132,1.02678,-0.01719,-0.63081,-0.65388,0.42918,4.53652,0.27129,-1.07829,-0.4973,0.74187,0.22332,-0.96126,-0.49469,-0.78908,0.35543,0.05112,0.32961,-0.50082,-0.55741,-1.01459,0
peptide_nm_133,-0.2518,0.02335,-0.63081,1.5936,-0.42846,2.13092,0.32421,-1.07829,1.09881,-0.90428,-0.17281,-0.96126,3.71052,0.11465,0.41888,0.10507,0.39332,-0.50082,-0.55741,-0.01491,0
peptide_nm_134,0.12861,-0.7064,-0.63081,-0.65388,-0.42846,-0.57537,-0.62828,0.31074,-0.4973,-0.90428,1.08042,-0.96126,-0.49469,0.60759,1.04184,-0.86606,-0.75343,-0.50082,1.73333,3.62029,0
peptide_nm_135,0.29879,-0.05347,1.83834,2.36247,-0.42846,-0.57537,1.07618,-0.27412,-0.4973,-0.90428,-0.69822,-0.96126,3.26787,0.01952,-0.7232,-0.86606,0.27261,1.38965,-0.55741,-0.12014,0
peptide_nm_136,-0.10235,1.06584,-0.63081,3.43974,-0.42846,-0.57537,-0.62828,0.01309,-0.4973,0.15396,-1.12354,-0.96126,2.05848,0.3083,-0.7232,0.31317,-0.75343,-0.50082,1.24246,1.4132,0
peptide_nm_137,-0.07099,-0.24693,1.97552,0.05366,-0.42846,0.27661,0.57115,-0.51239,0.50766,0.19315,-0.22563,-0.35822,2.15304,0.34895,-0.00411,-0.25461,0.69063,-0.50082,-0.55741,-1.01459,0
peptide_nm_138,-0.9492,-0.7064,1.17357,0.81562,-0.42846,1.19413,3.10842,-1.07829,-0.4973,0.23536,-1.12354,-0.33502,-0.49469,0.39272,0.77029,0.40388,2.24576,-0.50082,-0.55741,-1.01459,0
peptide_nm_139,1.46589,-0.47666,0.23796,0.05366,-0.42846,1.12859,0.57115,-0.51239,0.00518,-0.08121,-0.37528,-0.0567,-0.49469,0.06444,-0.00411,0.35684,-0.39241,-0.50082,-0.09078,-0.38516,0
peptide_nm_140,-0.2518,0.02335,-0.63081,-0.65388,-0.42846,-0.57537,0.32421,-1.07829,-0.4973,-0.03279,0.30255,-0.00349,-0.49469,0.11465,-0.7232,0.10507,3.83357,-0.50082,-0.55741,0.98477,0
peptide_nm_141,1.62817,0.37236,-0.63081,0.17671,-0.42846,-0.57537,0.07573,2.24329,-0.4973,-0.90428,-0.77219,-0.96126,-0.49469,-0.78908,0.9651,-0.86606,-0.75343,-0.50082,-0.55741,3.41877,0
peptide_nm_142,-0.9492,-0.7064,2.97795,0.81562,-0.42846,2.96363,-0.62828,0.09704,-0.4973,1.375,-0.50191,-0.33502,-0.49469,-0.78908,-0.7232,-0.86606,2.24576,-0.50082,-0.55741,0.29268,0
peptide_nm_143,0.53279,0.06896,-0.63081,2.92804,-0.42846,0.86235,-0.62828,-0.12334,2.89445,0.02168,-0.61847,0.05638,-0.49469,-0.78908,-0.7232,-0.86606,-0.75343,-0.50082,1.01748,0.04757,0
peptide_nm_144,-0.9492,-0.7064,-0.63081,-0.65388,-0.42846,-0.57537,-0.62828,-1.07829,-0.4973,-0.90428,0.89675,-0.96126,2.484,0.4912,0.89475,3.26124,0.87113,-0.50082,-0.55741,1.81783,0
peptide_nm_145,0.27727,-0.7064,-0.63081,1.98109,-0.42846,1.01108,1.04679,-0.55142,0.43835,0.62834,-0.56622,-0.68053,-0.49469,-0.25931,-0.0537,1.41107,-0.0812,-0.50082,-0.55741,0.15745,0
peptide_nm_146,0.7445,-0.7064,-0.63081,2.0752,-0.42846,2.71084,2.84151,0.01309,-0.4973,0.15396,0.03091,-0.96126,-0.49469,-0.78908,-0.7232,-0.86606,-0.75343,-0.50082,-0.55741,0.19931,0
peptide_nm_147,-0.9492,0.02335,0.74901,-0.65388,-0.42846,3.48407,-0.62828,0.71927,1.09881,-0.03279,-0.64818,-0.96126,-0.49469,-0.78908,0.41888,0.10507,-0.75343,0.55562,0.92484,1.98445,0
peptide_nm_148,-0.9492,0.06896,-0.63081,0.54009,-0.42846,0.86235,1.39576,-0.12334,-0.4973,1.8736,-1.12354,-0.96126,1.73933,0.17113,0.49026,0.16577,-0.75343,-0.50082,2.59236,0.04757,0
peptide_nm_149,0.87478,1.20217,-0.63081,0.81562,-0.42846,1.19413,-0.0055,0.09704,-0.4973,-0.90428,-0.1911,-0.64814,0.88009,-0.19818,0.02355,-0.23109,-0.75343,-0.50082,-0.55741,0.94632,0
peptide_nm_150,0.36812,-0.01719,-0.63081,1.46874,-0.42846,-0.57537,0.27129,0.61941,1.01014,-0.90428,-0.22563,-0.50898,1.49111,-0.78908,0.35543,0.05112,2.49569,-0.50082,-0.55741,-1.01459,0
peptide_nm_151,-0.9492,-0.7064,1.04469,0.71066,0.67421,-0.57537,-0.62828,0.01309,-0.4973,-0.90428,0.03091,-0.96126,2.05848,-0.78908,0.66361,1.4924,3.42402,-0.50082,-0.55741,0.19931,0
peptide_nm_152,-0.20821,0.06896,-0.63081,-0.65388,-0.42846,0.86235,0.38374,0.83162,-0.4973,0.02168,-0.61847,0.05638,-0.49469,-0.78908,-0.7232,1.19759,2.90183,-0.50082,-0.55741,0.04757,0
peptide_nm_153,0.68609,0.57695,-0.63081,1.32235,-0.42846,0.21785,-0.62828,0.50233,0.43835,0.62834,0.26977,-0.39981,-0.49469,-0.78908,-0.7232,0.27251,-0.75343,-0.50082,0.31149,-0.42857,0
peptide_nm_154,-0.29054,-0.01719,-0.63081,3.59135,-0.42846,-0.57537,-0.62828,-0.22944,-0.4973,-0.08121,-0.22563,-0.0567,-0.49469,0.06444,-0.7232,0.05112,0.32961,-0.50082,-0.55741,1.81783,0
peptide_nm_155,0.03879,0.84431,-0.63081,0.1421,-0.42846,3.25855,1.39576,-0.44165,-0.4973,-0.90428,-0.11339,-0.28284,-0.49469,-0.14894,0.08578,-0.17818,-0.75343,-0.50082,-0.55741,0.40162,0
peptide_nm_156,-0.9492,-0.7064,3.27868,1.46874,-0.42846,-0.57537,0.27129,-0.22944,-0.4973,2.38802,-0.67459,-0.0567,-0.49469,-0.78908,-0.7232,0.05112,1.41265,-0.50082,-0.55741,-0.07045,0
peptide_nm_157,-0.9492,-0.05347,1.83834,0.35157,0.38404,3.05676,0.22395,-1.07829,-0.4973,2.21474,-1.12354,-0.1043,-0.49469,-0.78908,0.29866,-0.86606,0.27261,-0.50082,2.09503,-1.01459,0
peptide_nm_158,-0.9492,-0.27861,0.98691,0.66361,-0.42846,0.21785,3.28022,0.50233,-0.4973,-0.90428,-0.0089,-0.39981,-0.49469,-0.25931,-0.7232,0.27251,-0.0812,-0.50082,0.31149,0.15745,0
peptide_nm_159,1.20642,0.04546,-0.63081,-0.07499,-0.42846,2.21293,0.35307,-0.61528,-0.4973,-0.45533,-0.63377,-0.96126,-0.49469,-0.32352,2.21853,-0.86606,1.01882,-0.50082,0.20617,1.04536,0
peptide_nm_160,0.96304,-0.30621,0.88254,0.57861,-0.42846,0.16668,0.41639,-0.09253,0.37799,0.52946,-0.60218,-0.17341,1.81139,-0.29349,0.52941,-0.86606,-0.75343,-0.50082,0.25543,-0.46638,0
peptide_nm_161,-0.9492,-0.7064,-0.63081,-0.65388,-0.42846,0.86235,11.51601,0.83162,-0.4973,-0.90428,-1.12354,-0.96126,-0.49469,-0.78908,0.49026,-0.86606,-0.75343,-0.50082,-0.55741,-1.01459,0
peptide_nm_162,0.03879,-0.7064,-0.63081,-0.65388,-0.42846,-0.57537,0.0464,2.10489,0.63328,2.18225,0.22332,0.05638,0.99466,-0.78908,-0.7232,-0.17818,0.05885,-0.50082,-0.55741,-1.01459,0
peptide_nm_163,0.41879,-0.22926,-0.63081,1.55038,-0.42846,-0.57537,1.24007,1.27237,1.58993,-0.33446,-0.50191,-0.64814,-0.49469,-0.19818,0.02355,-0.23109,0.74617,-0.50082,-0.55741,-0.36095,0
peptide_nm_164,1.62817,-0.16702,-0.63081,-0.65388,-0.42846,1.42493,0.07573,1.57898,0.68243,0.38401,-0.42083,-0.6073,-0.49469,-0.78908,0.12095,-0.14827,0.09417,-0.50082,-0.55741,-0.2757,0
peptide_nm_165,2.01477,-0.7064,1.32393,2.53004,-0.42846,-0.57537,0.72108,-1.07829,-0.4973,0.33033,0.22332,-0.96126,2.484,-0.78908,-0.7232,-0.86606,-0.75343,-0.50082,1.54244,-1.01459,0
peptide_nm_166,-0.9492,-0.7064,3.03434,0.54009,0.53638,-0.57537,1.39576,0.83162,-0.4973,-0.90428,-0.36593,-0.45244,-0.49469,0.65123,-0.11647,-0.35015,-0.14422,-0.50082,0.23003,0.57865,0
peptide_nm_167,-0.07099,-0.7064,1.97552,-0.65388,1.85856,-0.57537,0.57115,0.61941,0.50766,0.19315,-1.12354,0.24483,0.82917,-0.78908,1.43407,-0.86606,-0.75343,-0.50082,-0.55741,0.24427,0
peptide_nm_168,-0.10235,-0.26334,0.20694,1.39293,0.67421,1.06774,-0.62828,0.55878,-0.4973,0.15396,-0.2577,-0.67051,0.78189,-0.24039,0.66361,-0.86606,-0.75343,0.14059,0.34253,0.19931,0
peptide_nm_169,0.36812,-0.01719,3.27868,0.40743,-0.42846,-0.57537,1.17087,1.46826,-0.4973,-0.08121,-1.12354,-0.0567,1.49111,-0.78908,-0.7232,0.05112,-0.75343,0.49692,-0.55741,-1.01459,0
peptide_nm_170,-0.9492,0.42139,1.50164,-0.65388,-0.42846,1.51586,0.84375,0.31074,-0.4973,0.44257,-0.38889,-0.96126,-0.49469,2.00425,-0.7232,0.63478,1.01882,-0.50082,-0.55741,-1.01459,0
peptide_nm_171,1.59135,-0.7064,-0.63081,0.02839,0.12288,0.24618,0.52832,1.10446,0.47177,0.15396,-0.2577,-0.67051,-0.49469,-0.78908,0.66361,-0.86606,0.63905,-0.50082,0.34253,-0.40764,0
peptide_nm_172,2.4382,0.4751,0.48619,1.1655,-0.42846,1.61544,0.14278,-0.35071,-0.4973,0.50671,-0.35391,-0.96126,1.20742,-0.78908,-0.7232,-0.86606,-0.75343,-0.50082,-0.55741,-0.20532,0
peptide_nm_173,2.28423,-0.7064,-0.63081,-0.65388,-0.42846,1.51586,0.84375,0.31074,-0.4973,-0.90428,-0.38889,0.51894,-0.49469,-0.78908,-0.7232,-0.86606,-0.75343,-0.50082,-0.55741,2.07533,0
peptide_nm_174,0.87478,-0.22926,-0.63081,0.08087,0.16529,0.30938,-0.0055,0.09704,1.58993,-0.33446,-0.1911,-0.64814,0.88009,-0.19818,0.77029,0.40388,-0.75343,-0.50082,-0.55741,0.29268,0
peptide_nm_175,-0.2518,-0.7064,0.74901,1.5936,-0.42846,-0.57537,0.32421,-0.17951,-0.4973,2.58169,-0.17281,-0.00349,1.60792,-0.78908,-0.7232,-0.86606,0.39332,-0.50082,0.92484,-1.01459,0
peptide_nm_176,-0.17599,0.37236,-0.63081,0.592,-0.42846,-0.57537,1.48377,-0.41397,1.2723,-0.26014,0.63324,-0.96126,0.28236,-0.78908,0.54302,0.21063,0.09417,-0.50082,0.53816,-0.2757,0
peptide_nm_177,-0.9492,-0.7064,-0.63081,0.93808,2.14444,1.34159,-0.62828,-1.07829,-0.4973,-0.90428,0.89675,-0.96126,-0.49469,-0.78908,0.89475,1.88547,-0.75343,-0.50082,1.54244,0.40162,0
peptide_nm_178,2.01477,-0.7064,-0.63081,-0.65388,-0.42846,-0.57537,0.72108,0.19498,1.76386,0.33033,-0.45011,-0.96126,-0.49469,-0.78908,0.89475,0.50971,0.87113,-0.50082,-0.55741,0.40162,0
peptide_nm_179,-0.9492,1.06584,1.04469,0.71066,-0.42846,2.71084,0.52832,-1.07829,-0.4973,-0.90428,-1.12354,0.20175,-0.49469,-0.78908,-0.7232,1.4924,-0.75343,0.782,1.24246,0.19931,0
peptide_nm_180,0.36812,-0.24693,0.23796,1.46874,-0.42846,0.27661,0.87101,0.05351,0.00518,-0.08121,-0.22563,-0.65974,0.16724,-0.22006,-0.00411,-0.25461,1.05164,-0.16824,-0.09078,-0.69987,0
peptide_nm_181,-0.9492,-0.7064,-0.63081,-0.65388,0.85799,-0.57537,-0.62828,1.46826,-0.4973,5.26878,0.22332,-0.96126,2.484,-0.78908,0.89475,-0.86606,-0.75343,-0.50082,-0.55741,-1.01459,0
peptide_nm_182,-0.9492,-0.7064,0.83525,-0.65388,-0.42846,-0.57537,2.40779,-1.07829,-0.4973,0.02168,-0.11339,0.05638,-0.49469,0.17113,1.70372,0.16577,-0.75343,-0.50082,-0.55741,2.17189,0
peptide_nm_183,0.08175,-0.16702,-0.63081,-0.65388,-0.42846,3.42524,-0.62828,2.24329,0.68243,-0.90428,0.28188,-0.6073,1.05941,-0.12111,0.12095,-0.86606,-0.75343,-0.50082,0.53816,-0.2757,0
peptide_nm_184,0.53279,-0.18949,-0.63081,0.1421,0.21477,-0.57537,1.39576,0.19498,-0.4973,-0.90428,-0.11339,-0.96126,-0.49469,0.4912,0.08578,-0.17818,1.68341,0.24749,0.49251,-0.30648,0
peptide_nm_185,-0.49321,-0.22926,-0.63081,1.55038,1.35278,-0.57537,1.24007,0.09704,0.54631,0.23536,-1.12354,-0.64814,0.88009,-0.78908,-0.7232,0.40388,0.74617,-0.50082,0.41175,0.94632,0
peptide_nm_186,0.53279,0.06896,-0.63081,-0.65388,-0.42846,-0.57537,-0.62828,-0.12334,-0.4973,-0.90428,-1.12354,-0.45244,-0.49469,1.13134,0.49026,0.16577,6.5571,-0.50082,1.01748,-1.01459,0
peptide_nm_187,0.44561,0.02335,-0.63081,0.46986,-0.42846,0.77777,-0.62828,3.41562,-0.4973,-0.03279,-0.17281,-0.96126,-0.49469,-0.78908,0.41888,-0.86606,0.39332,-0.50082,-0.55741,0.98477,0
peptide_nm_188,0.36812,-0.01719,-0.63081,-0.65388,-0.42846,-0.57537,2.07045,0.61941,-0.4973,0.74187,-0.22563,-0.50898,-0.49469,0.91796,0.35543,0.05112,-0.75343,-0.50082,-0.55741,-0.07045,0
peptide_nm_189,0.66086,0.05939,-0.05163,0.52535,-0.42846,0.5606,0.77106,0.05351,-0.4973,0.01025,-0.12586,-0.55923,1.27046,-0.59941,-0.00411,-0.25461,-0.0314,-0.2791,0.06477,0.03446,0
peptide_nm_190,0.7445,1.06584,-0.63081,0.71066,-0.42846,-0.57537,-0.62828,0.01309,-0.4973,0.15396,0.03091,-0.37975,-0.49469,-0.78908,-0.7232,1.4924,-0.75343,-0.50082,-0.55741,1.4132,0
peptide_nm_191,-0.52578,0.62278,0.20694,0.02839,-0.42846,-0.57537,1.10661,-1.07829,-0.4973,0.68308,-0.83493,-0.37975,-0.49469,0.3083,1.35702,0.31317,1.33529,-0.50082,0.34253,0.19931,0
peptide_nm_192,0.44561,1.48284,0.74901,-0.65388,-0.42846,-0.57537,-0.62828,0.71927,-0.4973,-0.90428,-1.12354,1.43318,-0.49469,0.11465,0.41888,0.10507,0.39332,-0.50082,-0.55741,-1.01459,0
peptide_nm_193,-0.9492,0.84431,0.34656,0.1421,-0.42846,-0.57537,0.72108,-1.07829,-0.4973,1.56494,0.22332,0.05638,-0.49469,-0.78908,0.89475,-0.17818,-0.75343,0.24749,0.49251,-0.30648,0
peptide_nm_194,-0.38464,-0.11565,0.48619,2.0752,-0.42846,1.61544,3.22705,-0.35071,-0.4973,-0.19879,0.03091,-0.96126,1.20742,-0.78908,-0.7232,-0.07991,-0.75343,-0.50082,0.6425,-1.01459,0
peptide_nm_195,-0.9492,-0.24693,2.84429,0.05366,-0.42846,-0.57537,1.77059,-1.07829,-0.4973,-0.35556,-0.52494,0.24483,0.82917,-0.22006,-0.00411,-0.25461,0.69063,-0.50082,0.37586,0.87369,0
peptide_nm_196,-0.9492,-0.7064,1.97552,-0.65388,-0.42846,-0.57537,2.97002,-1.07829,2.51758,0.74187,-1.12354,-0.96126,-0.49469,2.62499,-0.7232,-0.86606,-0.75343,-0.50082,2.24239,0.87369,0
peptide_nm_197,-0.9492,0.84431,-0.63081,0.54009,-0.42846,0.86235,0.38374,-1.07829,1.19857,-0.90428,0.39168,0.05638,-0.49469,1.13134,-0.7232,0.16577,-0.75343,-0.50082,-0.55741,1.10973,0
peptide_nm_198,-0.9492,-0.7064,-0.63081,-0.65388,-0.42846,2.71084,0.52832,0.01309,-0.4973,-0.90428,0.60814,0.20175,-0.49469,0.3083,2.05043,-0.86606,-0.75343,-0.50082,1.24246,0.19931,0
peptide_nm_199,0.12861,-0.1425,0.43541,0.21446,0.97494,-0.57537,2.31579,-1.07829,0.73606,-0.90428,0.71309,-0.96126,-0.49469,-0.09074,-0.7232,-0.11564,0.1327,-0.50082,-0.55741,0.53037,0
peptide_nm_200,-0.9492,0.32741,-0.63081,-0.65388,-0.42846,-0.57537,2.07045,0.19498,-0.4973,0.33033,0.89675,-0.96126,-0.49469,-0.78908,-0.7232,1.88547,2.49569,-0.50082,-0.55741,-1.01459,0
peptide_nm_201,-0.32521,1.25239,0.60376,0.35157,-0.42846,0.63534,-0.62828,0.53006,-0.4973,0.65523,-0.69822,-0.1043,1.38659,-0.78908,-0.7232,0.00285,-0.75343,-0.50082,0.76881,0.77431,0
peptide_nm_202,1.02678,-0.7064,-0.63081,-0.65388,-0.42846,1.34159,-0.62828,1.46826,-0.4973,-0.90428,0.89675,-0.96126,-0.49469,0.4912,2.5127,-0.86606,-0.75343,-0.50082,-0.55741,0.40162,0
peptide_nm_203,0.27727,-0.27861,1.79577,0.66361,-0.42846,-0.57537,-0.62828,-0.02455,-0.4973,3.18271,-0.84488,-0.68053,-0.49469,-0.25931,-0.0537,-0.29678,2.60773,-0.50082,-0.55741,-1.01459,0
peptide_nm_204,-0.10235,1.06584,-0.63081,2.0752,-0.42846,1.06774,-0.62828,0.01309,-0.4973,-0.90428,0.03091,-0.37975,-0.49469,-0.78908,-0.7232,1.4924,-0.75343,-0.50082,-0.55741,1.4132,0
peptide_nm_205,-0.9492,0.75309,-0.63081,1.5936,-0.42846,-0.57537,1.2767,-0.17951,-0.4973,-0.90428,-1.12354,0.4754,1.60792,0.11465,-0.7232,-0.86606,1.54007,-0.50082,3.88932,-1.01459,0
peptide_nm_206,-0.03721,-0.7064,-0.63081,2.28513,-0.42846,1.19413,0.61728,-1.07829,-0.4973,1.375,-0.50191,-0.33502,-0.49469,0.39272,0.77029,-0.86606,0.74617,-0.50082,-0.55741,0.29268,0
peptide_nm_207,-0.45521,0.32741,4.25606,-0.65388,-0.42846,0.38311,-0.62828,-0.44165,0.63328,0.33033,-0.45011,-0.62205,-0.49469,-0.78908,0.89475,-0.86606,0.05885,0.9958,0.49251,0.40162,0
peptide_nm_208,-0.10235,-0.7064,-0.63081,-0.65388,-0.42846,2.71084,0.52832,0.01309,-0.4973,-0.90428,-1.12354,-0.37975,-0.49469,0.3083,2.05043,-0.86606,3.42402,-0.50082,-0.55741,1.4132,0
peptide_nm_209,-0.2518,0.02335,-0.63081,0.46986,0.47962,0.77777,0.32421,-1.07829,-0.4973,-0.03279,-0.64818,0.4754,3.71052,-0.78908,1.56096,-0.86606,-0.75343,-0.50082,2.40708,-1.01459,0
peptide_nm_210,0.41879,-0.22926,-0.63081,0.08087,-0.42846,-0.57537,-0.0055,0.09704,-0.4973,-0.33446,0.11972,-0.64814,0.88009,-0.78908,0.77029,0.40388,-0.00363,0.88067,-0.55741,1.59996,0
peptide_nm_211,0.41879,-0.7064,0.27138,0.08087,0.16529,-0.57537,1.24007,0.09704,0.54631,1.375,-0.81273,0.29121,0.88009,-0.78908,-0.7232,-0.23109,-0.75343,-0.50082,0.41175,0.29268,0
peptide_nm_212,-0.13155,0.57695,3.41349,-0.65388,-0.42846,1.01108,-0.06993,-1.07829,-0.4973,-0.39341,-0.56622,-0.39981,-0.49469,1.33,-0.0537,-0.29678,0.59104,-0.50082,1.18039,-0.42857,0
peptide_nm_213,-0.14813,-0.37111,0.00316,0.12059,-0.01123,0.04634,0.02816,0.36705,-0.13063,0.29696,-0.46831,0.13889,0.47137,-0.16624,0.06391,0.91872,-0.22654,-0.50082,-0.21689,0.36335,0
peptide_nm_214,0.7445,1.06584,2.72018,-0.65388,-0.42846,-0.57537,3.99811,-1.07829,-0.4973,-0.90428,0.03091,-0.96126,-0.49469,1.40568,-0.7232,-0.86606,-0.75343,-0.50082,-0.55741,-1.01459,0
peptide_nm_215,0.03879,-0.7064,-0.63081,0.93808,-0.42846,1.34159,0.72108,-1.07829,-0.4973,0.33033,0.89675,-0.96126,-0.49469,-0.78908,-0.7232,3.26124,-0.75343,-0.50082,1.54244,-1.01459,0
peptide_nm_216,0.92278,-0.05347,1.83834,2.36247,-0.42846,-0.57537,-0.62828,-1.07829,-0.4973,-0.12453,0.57776,-0.53278,-0.49469,-0.78908,-0.7232,0.87175,0.27261,-0.50082,-0.55741,-0.12014,0
peptide_nm_217,-0.56676,0.09397,0.88254,0.57861,-0.42846,0.90872,-0.10595,-0.09253,-0.4973,0.05155,-0.08081,0.35182,-0.49469,-0.78908,0.52941,-0.86606,-0.75343,-0.50082,1.88112,0.63004,0
peptide_nm_218,-0.9492,0.24789,4.78233,0.81562,-0.42846,2.96363,0.61728,-1.07829,-0.4973,0.23536,-1.12354,-0.96126,2.25487,-0.78908,0.77029,0.40388,0.74617,-0.50082,-0.55741,-1.01459,0
peptide_nm_219,-0.9492,-0.05347,-0.63081,2.36247,-0.42846,0.63534,0.22395,-0.27412,0.9308,-0.90428,0.15243,-0.1043,-0.49469,-0.78908,0.29866,2.60956,0.27261,-0.50082,-0.55741,-1.01459,0
peptide_nm_220,0.08175,0.37236,-0.63081,2.66848,-0.42846,0.42478,-0.62828,0.25034,0.68243,-0.26014,-0.06947,-0.6073,1.05941,-0.78908,0.12095,-0.86606,0.94177,-0.50082,0.53816,-0.2757,0
peptide_nm_221,0.7445,-0.7064,-0.63081,-0.65388,0.67421,-0.57537,3.99811,-1.07829,1.44084,-0.90428,-1.12354,-0.37975,2.05848,0.3083,-0.7232,0.31317,-0.75343,-0.50082,1.24246,0.19931,0
peptide_nm_222,0.12861,-0.7064,-0.63081,-0.65388,-0.42846,0.47024,0.10773,-1.07829,-0.4973,-0.90428,-1.12354,1.99914,-0.49469,-0.78908,0.15932,2.13561,1.01882,-0.50082,-0.55741,1.30285,0
peptide_nm_223,-0.29054,-0.01719,-0.63081,-0.65388,-0.42846,0.7026,0.27129,-0.22944,-0.4973,0.74187,-0.22563,-0.0567,1.49111,1.77147,-0.7232,0.9683,-0.75343,-0.50082,0.84249,-1.01459,0
peptide_nm_224,-0.9492,-0.7064,1.50164,-0.65388,-0.42846,4.6527,-0.62828,2.39427,0.73606,-0.90428,-1.12354,-0.96126,2.75479,-0.78908,0.15932,2.13561,-0.75343,-0.50082,1.73333,-1.01459,0
peptide_nm_225,-0.45521,0.32741,-0.63081,0.1421,-0.42846,-0.57537,0.0464,-0.44165,2.89445,-0.28697,-0.78683,-0.62205,-0.49469,-0.14894,0.89475,2.57335,0.05885,-0.50082,-0.55741,1.10973,0
peptide_nm_226,-0.9492,-0.7064,1.17357,-0.65388,0.75903,-0.57537,1.86285,0.09704,-0.4973,0.23536,0.74135,-0.96126,-0.49469,1.57451,-0.7232,0.40388,0.74617,-0.50082,-0.55741,-1.01459,0
