,DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,y
Neg_2530,18.73,23.72,28.68,27.29,18.55,13.52,26.86,21.26,21.27,0.0,14.47,62.08,0.0,19.97,14.63,15.25,22.35,32.99,31.68,32.54,0
Neg_2094,12.06,19.19,35.03,0.0,32.34,19.64,5.81,29.57,19.61,18.34,10.97,0.0,0.0,16.8,17.43,20.97,19.08,0.0,21.82,0.0,0
Neg_321,7.88,10.28,8.28,0.0,0.0,0.0,4.44,5.07,0.0,0.0,0.0,0.0,0.0,0.0,9.39,3.93,0.0,9.39,0.0,0.0,0
Neg_2126,18.0,15.44,13.52,10.88,0.0,23.04,0.0,6.7,18.54,0.0,7.54,0.0,11.52,8.12,7.48,18.46,15.44,0.0,16.64,8.21,0
Neg_15,0.0,0.0,28.03,17.77,0.0,4.96,21.37,18.18,0.0,14.37,14.83,6.52,0.0,0.0,14.03,6.0,0.0,0.0,0.0,9.17,0
Neg_1360,14.65,9.9,0.0,0.0,0.0,9.62,0.0,0.0,0.0,0.0,10.38,0.0,11.05,6.42,5.16,8.05,3.31,0.0,0.0,17.24,0
Neg_2640,22.88,61.43,31.59,39.69,36.06,37.16,25.65,24.54,48.88,43.58,29.68,44.74,0.0,38.09,18.73,16.11,22.17,27.78,41.64,11.1,0
Neg_1251,6.76,11.86,11.14,14.55,15.14,20.05,9.24,9.81,0.0,0.0,18.23,12.77,10.59,0.0,14.0,7.52,0.0,0.0,11.86,10.05,0
Neg_830,0.0,0.0,13.25,10.38,15.62,8.55,17.24,6.42,12.95,11.05,0.0,0.0,0.0,8.05,9.52,17.24,7.65,9.9,11.9,0.0,0
Neg_782,0.0,13.07,0.0,0.0,0.0,4.0,0.0,0.0,6.36,0.0,6.53,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0
Neg_2913,11.76,5.38,20.52,0.0,0.0,0.0,29.52,7.41,0.0,0.0,0.0,0.0,0.0,28.26,3.77,7.85,16.97,0.0,0.0,25.9,0
Neg_794,18.71,19.71,35.68,35.23,31.26,19.33,27.86,16.14,34.19,31.55,16.29,60.1,0.0,32.02,19.4,13.8,22.25,53.81,61.11,36.12,0
Neg_1435,50.13,13.39,42.99,26.58,59.36,7.64,7.36,67.01,29.79,23.84,9.04,14.58,32.32,0.0,51.63,37.79,31.46,0.0,0.0,13.67,0
Neg_520,20.58,39.26,28.71,21.88,30.17,24.98,13.4,14.65,21.19,12.0,11.94,15.73,28.64,14.95,34.24,28.81,20.7,0.0,48.03,20.51,0
Neg_4,25.64,0.0,11.07,23.29,0.0,16.51,6.66,18.8,22.89,25.98,10.79,11.84,21.2,22.28,0.0,12.84,23.51,22.02,0.0,14.34,0
Neg_228,24.43,18.3,15.58,22.21,0.0,29.82,10.19,26.12,56.56,44.24,14.42,6.44,34.12,39.14,39.76,19.96,0.0,0.0,29.76,51.66,0
Neg_977,21.58,22.11,27.28,23.07,0.0,25.22,17.02,19.13,49.79,41.79,10.69,17.94,0.0,31.97,24.81,17.3,28.84,0.0,29.91,17.64,0
Neg_618,32.16,18.62,17.32,33.33,33.12,10.35,18.31,12.8,0.0,29.73,17.31,22.08,31.15,25.74,80.46,20.97,15.18,0.0,34.07,38.45,0
Neg_1278,31.65,29.54,20.75,33.48,54.14,22.8,74.71,34.96,49.13,18.17,12.91,42.99,28.04,11.88,29.39,16.56,23.94,0.0,20.67,21.01,0
Neg_1858,54.74,29.91,28.16,29.29,53.11,22.86,34.31,8.41,0.0,47.09,34.49,12.25,0.0,46.67,8.21,30.56,35.89,0.0,0.0,57.91,0
Neg_479,21.73,0.0,19.73,23.85,44.02,21.69,0.0,0.0,35.33,8.15,7.53,21.69,23.07,16.7,17.49,30.22,32.46,23.78,9.36,22.54,0
Neg_957,9.87,0.0,0.0,7.07,0.0,0.0,4.07,4.93,0.0,0.0,0.0,7.07,13.07,11.33,7.79,5.21,6.67,0.0,0.0,8.67,0
Neg_2917,25.99,0.0,43.46,31.79,29.74,21.01,9.93,45.37,53.53,27.33,25.47,47.01,49.54,17.83,16.97,8.96,11.06,57.64,87.26,29.29,0
Neg_1765,11.05,16.02,38.43,32.28,44.7,18.58,59.2,7.48,41.48,38.43,13.93,31.63,37.54,24.7,43.83,26.05,46.58,31.63,17.31,19.9,0
Neg_1991,18.66,22.92,29.08,0.0,13.19,12.38,33.14,9.49,19.75,0.0,8.63,19.08,28.69,0.0,7.79,11.62,0.0,0.0,32.34,15.3,0
Neg_526,51.24,32.18,0.0,7.85,0.0,66.08,11.57,18.86,55.62,13.89,19.73,24.01,50.76,41.4,33.62,29.59,20.67,44.99,43.47,55.62,0
Neg_1715,25.55,38.69,14.94,16.55,20.17,15.96,30.53,9.1,18.56,32.76,21.06,11.18,30.91,14.71,27.92,8.86,0.0,0.0,50.09,19.81,0
Neg_722,38.18,45.37,24.75,27.29,0.0,13.64,10.95,49.28,41.01,25.64,9.82,15.62,33.07,43.07,18.25,10.02,36.03,0.0,33.01,14.86,0
Neg_747,10.23,11.66,0.0,25.9,28.56,14.18,17.58,9.19,23.82,0.0,6.85,0.0,0.0,22.67,19.46,21.03,25.9,0.0,18.72,19.79,0
Neg_2498,0.0,0.0,0.0,0.0,7.45,0.0,0.0,9.09,0.0,0.0,2.44,0.0,8.1,0.0,4.55,2.9,0.0,0.0,0.0,5.27,0
Neg_2636,35.66,44.76,15.5,17.25,19.51,32.76,16.41,17.37,13.56,25.66,10.54,28.09,0.0,21.62,27.21,8.24,23.4,29.13,14.87,18.83,0
Neg_1015,12.45,10.9,0.0,9.97,21.91,8.57,14.39,10.52,0.0,19.53,12.03,18.53,0.0,7.9,24.78,28.16,12.77,16.91,15.03,15.1,0
Neg_785,25.36,31.42,31.95,22.26,39.64,14.74,20.32,15.31,41.37,16.84,15.18,17.34,74.76,27.38,81.79,23.7,38.35,0.0,21.14,26.83,0
Neg_560,15.06,5.76,11.39,12.72,14.28,0.0,9.06,0.0,0.0,0.0,5.29,0.0,0.0,8.72,10.24,0.0,8.72,6.24,0.0,8.28,0
Neg_1254,16.78,17.02,16.6,16.6,34.91,46.46,18.6,23.88,16.37,20.78,15.75,11.3,22.02,26.09,37.13,16.53,19.21,48.24,30.38,23.81,0
Neg_1430,8.75,18.83,0.0,17.77,16.03,7.96,11.27,22.83,0.0,12.48,6.74,22.46,0.0,24.43,16.03,8.81,0.0,0.0,0.0,0.0,0
Neg_1253,28.94,26.37,25.34,21.87,23.6,0.0,38.0,14.86,42.65,31.78,12.88,37.21,40.36,29.71,16.89,10.17,52.01,27.77,26.82,11.5,0
Neg_2909,17.6,13.33,14.2,29.19,0.0,17.42,24.0,21.93,18.37,34.15,7.66,32.16,0.0,21.8,17.19,51.67,59.02,0.0,42.62,9.67,0
Neg_1540,30.82,16.94,24.99,95.01,20.69,23.25,14.37,25.95,44.18,26.84,13.42,20.19,48.52,61.43,35.57,17.08,24.71,32.22,19.03,25.27,0
Neg_997,14.26,48.03,66.07,51.62,12.89,0.0,35.21,11.44,23.83,25.94,11.56,27.93,33.49,24.27,40.93,27.49,30.0,42.76,68.01,12.3,0
Neg_2812,18.18,0.0,0.0,15.52,0.0,16.03,5.79,12.48,24.43,21.37,10.89,0.0,22.83,0.0,7.78,16.03,14.43,0.0,0.0,13.17,0
Neg_2694,15.76,16.28,12.34,0.0,5.93,0.0,27.39,0.0,15.16,0.0,31.03,10.28,0.0,17.7,14.34,7.89,13.43,0.0,0.0,9.57,0
Neg_420,0.0,0.0,0.0,13.88,44.48,21.1,19.57,7.24,10.19,24.69,0.0,23.41,13.76,25.48,10.71,20.48,24.04,0.0,0.0,23.29,0
Neg_92,21.5,24.5,27.22,47.02,46.1,0.0,29.3,6.79,24.02,27.06,24.98,23.88,0.0,26.12,12.76,9.56,17.19,0.0,26.61,0.0,0
Neg_1822,14.51,19.89,28.45,19.68,40.63,31.56,13.96,24.72,0.0,20.18,30.84,30.49,45.48,32.89,24.28,20.38,28.63,0.0,13.73,33.95,0
Neg_678,37.75,45.79,42.33,18.66,73.84,24.55,14.11,71.8,45.94,45.23,13.81,12.76,45.79,16.97,25.34,29.71,35.03,82.89,92.05,13.93,0
Neg_952,14.43,10.09,29.02,58.02,0.0,33.42,56.08,6.69,0.0,0.0,12.52,0.0,33.42,26.95,12.2,8.9,0.0,0.0,0.0,22.43,0
Neg_1067,18.11,13.66,30.97,21.37,67.32,18.1,58.45,13.04,46.28,26.54,15.99,34.73,39.93,51.17,49.72,16.96,68.97,24.22,20.24,22.67,0
Neg_1023,25.89,18.4,17.57,0.0,31.35,0.0,0.0,35.03,17.81,11.69,6.79,12.31,24.05,11.86,8.0,9.56,8.44,0.0,18.86,0.0,0
Neg_94,20.26,55.73,16.62,36.37,0.0,27.7,8.09,19.56,57.73,16.91,17.37,13.23,38.84,38.19,38.87,31.16,38.99,0.0,0.0,18.94,0
Neg_1575,15.37,9.39,16.03,28.03,0.0,24.18,16.03,14.83,0.0,0.0,11.52,11.54,26.17,16.83,12.25,6.04,14.03,0.0,17.77,12.21,0
Neg_2350,33.42,22.08,20.85,0.0,31.11,10.31,10.55,26.05,25.8,27.95,8.87,15.28,0.0,24.72,29.32,34.07,24.67,0.0,0.0,29.64,0
Neg_2445,40.54,14.47,38.91,24.78,0.0,37.45,10.21,19.65,38.53,51.24,20.68,18.26,75.06,30.78,64.86,48.35,33.43,43.04,26.26,8.99,0
Neg_2226,36.29,21.33,83.88,29.41,13.78,44.8,22.95,38.97,36.95,31.12,11.63,17.86,48.01,0.0,18.68,19.01,49.48,39.48,36.97,16.01,0
Neg_568,11.85,12.97,0.0,19.8,24.57,36.15,19.82,29.48,38.14,58.01,12.8,0.0,65.8,44.67,11.01,20.64,55.01,45.74,47.23,43.05,0
Neg_2515,38.79,33.78,20.99,12.85,31.7,38.53,20.54,10.6,31.79,15.47,39.05,48.35,0.0,23.37,14.76,21.42,11.32,84.44,44.65,15.21,0
Neg_1334,32.23,23.09,80.06,16.86,0.0,34.82,28.6,20.34,26.57,31.06,18.64,14.28,67.73,19.34,10.13,19.37,28.45,28.19,33.38,10.3,0
Neg_930,20.98,33.61,18.88,11.03,0.0,20.02,20.31,37.12,0.0,25.95,7.69,22.15,0.0,13.8,16.62,15.64,34.6,24.31,20.6,10.62,0
Neg_354,10.36,0.0,8.93,12.07,0.0,6.36,4.77,0.0,0.0,0.0,0.0,4.31,12.07,0.0,4.77,6.36,6.93,0.0,0.0,7.79,0
Neg_2604,0.0,18.96,10.64,13.04,9.2,11.54,24.04,8.4,12.5,11.6,12.24,16.35,12.19,18.96,22.19,8.72,14.35,0.0,20.5,0.0,0
Neg_69,12.05,9.9,0.0,7.26,0.0,0.0,6.21,11.17,0.0,0.0,7.65,0.0,11.9,0.0,19.05,13.05,0.0,0.0,0.0,9.65,0
Neg_2782,61.97,19.7,43.36,36.21,68.51,17.65,30.8,22.06,27.18,31.43,13.53,31.13,33.91,0.0,25.23,7.23,21.15,37.46,0.0,0.0,0
Neg_1205,12.42,32.03,21.09,15.58,17.79,10.59,23.79,10.3,0.0,0.0,19.23,11.03,0.0,0.0,11.09,16.42,10.97,16.15,22.5,16.38,0
Neg_1269,10.81,14.06,7.06,5.07,0.0,8.56,4.79,9.73,0.0,0.0,8.56,7.81,7.31,0.0,7.81,14.06,0.0,0.0,0.0,0.0,0
Neg_1188,26.83,41.14,16.67,14.03,44.88,33.58,14.07,22.73,35.69,22.52,14.68,14.22,31.4,19.2,20.17,31.88,29.5,56.96,22.62,26.48,0
Neg_2705,19.5,43.52,24.98,24.8,0.0,15.56,9.94,9.71,45.09,28.18,9.63,16.28,0.0,27.09,16.98,9.29,11.88,0.0,27.02,52.09,0
Neg_2896,17.2,9.06,52.92,30.3,0.0,28.0,34.36,21.94,0.0,0.0,8.71,20.48,43.6,46.22,20.14,30.74,25.77,56.45,0.0,19.6,0
Neg_2890,23.68,15.96,37.19,34.24,0.0,20.95,18.88,6.65,26.84,32.62,10.45,19.51,28.64,55.08,29.73,20.02,26.36,28.71,42.07,16.13,0
Neg_2813,13.34,37.11,0.0,0.0,0.0,26.1,37.6,30.1,29.65,32.12,10.22,70.74,45.87,21.55,22.1,18.27,23.38,74.3,47.53,14.25,0
Neg_483,15.43,28.61,47.43,25.48,44.0,23.52,10.15,22.86,50.47,19.21,32.81,17.37,37.8,20.34,47.7,21.19,19.89,0.0,46.64,26.76,0
Neg_2333,12.21,18.0,0.0,10.38,0.0,8.54,18.54,8.54,0.0,11.88,5.95,8.71,20.21,11.84,11.6,11.6,0.0,0.0,12.24,0.0,0
Neg_1243,18.46,16.33,59.18,0.0,13.68,64.35,17.54,18.15,31.76,32.87,16.03,12.66,56.01,16.78,15.42,10.75,18.84,0.0,36.18,21.67,0
Neg_2268,16.28,13.81,19.74,0.0,10.83,0.0,28.16,19.53,0.0,6.55,7.19,23.28,0.0,30.03,0.0,15.5,30.03,15.68,16.65,16.91,0
Neg_2001,18.25,34.26,29.23,36.46,66.05,50.79,19.31,24.67,26.04,24.14,23.44,20.39,39.85,44.86,22.94,13.72,25.9,23.81,23.68,8.62,0
Neg_783,13.64,11.34,18.0,12.78,0.0,10.97,14.03,8.22,0.0,18.5,9.34,28.38,0.0,16.38,16.15,17.15,12.03,0.0,22.5,20.34,0
Neg_1611,12.95,0.0,0.0,16.59,0.0,12.77,6.38,7.95,10.59,14.0,9.25,6.86,0.0,7.9,0.0,0.0,7.9,10.23,0.0,0.0,0
Neg_2424,11.1,12.41,6.37,0.0,0.0,13.04,5.42,0.0,0.0,13.52,7.68,7.46,17.93,22.83,14.43,27.03,0.0,0.0,0.0,0.0,0
Neg_472,13.35,25.3,52.22,33.4,17.34,20.55,16.06,10.68,30.5,47.05,18.69,8.73,37.4,18.45,18.07,26.62,28.22,0.0,16.41,0.0,0
Neg_1791,19.78,21.48,10.35,14.46,0.0,20.42,13.18,9.85,0.0,10.42,0.0,0.0,0.0,0.0,13.46,7.52,18.18,15.18,15.18,7.35,0
Neg_645,0.0,0.0,0.0,7.65,5.81,0.0,7.06,8.59,0.0,0.0,9.41,4.4,0.0,0.0,7.06,6.07,0.0,0.0,10.47,0.0,0
Neg_1781,21.32,0.0,11.39,0.0,0.0,23.79,0.0,0.0,0.0,11.22,11.22,0.0,0.0,16.73,10.22,6.9,4.65,0.0,0.0,10.13,0
Neg_205,25.26,14.32,20.93,16.2,24.31,27.46,13.08,14.24,15.32,16.57,22.02,14.12,20.31,0.0,32.62,10.41,19.46,28.69,15.66,23.45,0
Neg_2771,11.04,9.04,0.0,44.53,0.0,25.01,7.36,22.9,0.0,37.05,8.5,15.91,0.0,0.0,84.23,24.05,50.34,0.0,74.95,25.36,0
Neg_1957,0.0,14.58,18.3,21.45,0.0,12.98,26.18,29.29,26.87,18.5,13.61,16.75,29.28,16.94,12.73,20.27,34.71,0.0,0.0,20.25,0
Neg_2408,4.15,0.0,0.0,0.0,6.36,8.93,0.0,6.07,6.93,0.0,9.38,0.0,0.0,0.0,0.0,5.69,5.69,6.93,0.0,12.07,0
Neg_2298,20.54,16.05,31.92,0.0,56.01,16.61,16.03,0.0,33.86,16.24,25.89,22.15,35.01,36.57,34.11,19.22,15.31,25.66,56.01,17.78,0
Neg_2301,4.06,0.0,0.0,0.0,0.0,12.71,14.54,0.0,12.04,22.04,7.5,0.0,11.04,17.04,20.21,12.04,13.54,0.0,0.0,7.15,0
Neg_2235,8.93,25.96,13.35,12.93,29.59,22.55,22.55,19.5,34.81,9.43,12.56,0.0,29.7,22.89,16.31,16.71,16.28,0.0,24.98,21.11,0
Neg_2056,8.5,15.67,31.77,21.91,38.85,21.46,18.72,27.19,0.0,31.77,10.1,23.02,46.02,22.04,16.13,17.07,28.52,20.68,35.77,34.6,0
Neg_803,18.78,13.7,13.23,19.88,0.0,16.78,26.82,17.18,42.5,17.57,7.39,0.0,0.0,16.69,31.19,21.85,10.89,0.0,29.27,12.15,0
Neg_2461,27.92,18.71,17.33,20.51,29.28,19.65,13.45,11.98,13.02,30.35,21.39,33.33,0.0,19.71,9.59,26.87,34.0,22.37,0.0,0.0,0
Neg_1185,12.62,33.73,87.42,27.91,46.53,42.47,62.47,22.64,30.24,95.01,25.92,48.25,64.85,27.16,8.0,13.13,23.18,37.47,44.69,20.73,0
Neg_1794,11.42,21.72,45.1,35.92,25.38,24.26,76.94,27.29,44.14,19.95,9.35,51.61,36.22,35.92,21.66,37.15,21.79,45.61,23.98,17.87,0
Neg_970,11.1,0.0,25.79,15.02,0.0,25.88,30.09,8.56,0.0,9.63,11.88,14.82,14.63,27.43,0.0,22.15,12.2,0.0,0.0,36.42,0
Neg_1479,15.11,24.2,33.63,21.66,41.29,39.17,18.6,17.08,0.0,0.0,18.48,11.13,22.77,0.0,27.05,37.49,42.27,0.0,25.88,21.36,0
Neg_775,8.93,31.39,0.0,12.31,19.36,23.57,13.67,16.4,0.0,0.0,18.07,0.0,23.02,23.27,27.46,7.44,23.57,12.02,0.0,42.27,0
Neg_748,17.63,27.73,44.73,43.01,0.0,35.73,23.18,12.03,0.0,26.53,14.1,9.41,0.0,81.06,57.01,10.53,59.78,0.0,42.66,13.14,0
Neg_1293,15.59,42.92,32.9,35.17,60.81,48.97,14.47,21.37,19.71,14.53,6.91,19.53,62.66,33.57,32.72,23.6,15.59,0.0,62.37,14.2,0
Neg_2907,9.21,11.51,0.0,51.66,52.57,20.49,46.11,15.88,58.86,43.68,14.07,25.77,39.6,43.06,16.96,18.51,27.35,0.0,37.24,39.11,0
Neg_626,9.36,17.58,9.96,14.37,13.19,0.0,9.27,0.0,14.37,12.81,7.88,11.58,16.15,14.88,0.0,19.93,17.26,23.19,9.35,0.0,0
Neg_1211,16.82,38.29,14.25,30.15,30.91,27.44,7.79,44.76,26.84,20.31,12.94,14.15,26.72,28.29,20.68,0.0,38.13,0.0,21.89,19.81,0
Neg_2029,10.17,19.02,11.3,14.48,0.0,0.0,11.07,10.44,0.0,16.75,25.96,21.91,0.0,39.29,26.07,7.03,19.21,0.0,0.0,21.3,0
Neg_2484,15.68,13.78,40.13,46.71,34.88,28.18,69.52,25.64,25.51,53.09,5.08,34.05,25.88,43.47,18.53,13.21,53.92,69.52,41.91,39.25,0
Neg_737,26.15,22.38,15.02,0.0,12.9,24.78,24.91,26.46,0.0,18.12,14.47,14.3,0.0,0.0,11.15,6.93,18.56,31.8,33.09,0.0,0
Neg_2637,12.89,9.93,18.1,45.25,0.0,16.08,0.0,9.07,28.43,0.0,24.55,41.8,0.0,34.55,7.21,15.79,0.0,32.06,0.0,17.78,0
Neg_493,14.62,17.12,0.0,20.67,18.93,22.26,28.47,10.75,36.99,0.0,31.55,61.29,0.0,26.16,8.38,16.8,46.73,0.0,0.0,23.99,0
Neg_1851,18.65,6.52,0.0,18.65,14.52,11.93,7.79,16.37,16.03,0.0,0.0,0.0,11.5,15.55,15.37,5.96,22.32,0.0,19.63,19.74,0
Neg_275,15.29,21.82,32.16,22.22,38.98,22.58,46.85,20.57,57.08,20.54,11.34,28.58,0.0,38.34,8.61,15.67,19.9,21.46,30.15,11.43,0
Neg_606,0.0,0.0,19.46,17.93,0.0,9.32,16.0,7.65,12.11,12.18,15.33,16.04,13.04,0.0,13.79,0.0,21.86,13.79,11.46,11.41,0
Neg_1681,16.41,23.79,22.58,45.1,0.0,25.39,23.7,22.7,37.98,22.6,12.27,46.7,38.02,22.22,37.51,21.89,20.28,55.14,22.67,36.11,0
Neg_861,24.29,10.54,61.23,58.45,49.28,21.69,27.41,20.86,27.79,25.01,13.7,22.09,0.0,37.16,27.43,16.18,23.82,31.7,0.0,48.67,0
Neg_2800,12.56,18.39,0.0,47.48,0.0,48.91,35.86,7.88,0.0,45.57,14.78,31.13,48.35,0.0,7.67,32.1,15.76,0.0,34.0,22.94,0
Neg_390,13.81,26.65,18.03,18.86,0.0,14.36,0.0,9.09,20.97,19.46,14.08,10.32,0.0,30.36,15.36,16.58,14.03,17.81,18.81,16.92,0
Neg_950,5.56,0.0,0.0,0.0,0.0,7.33,0.0,5.56,0.0,7.65,0.0,7.65,13.29,0.0,7.33,6.31,8.59,0.0,0.0,15.06,0
Neg_2285,0.0,8.72,0.0,0.0,0.0,11.39,10.47,7.65,8.28,14.28,8.94,16.06,0.0,0.0,0.0,7.41,8.28,0.0,10.28,5.06,0
Neg_1066,17.49,22.06,43.36,26.79,0.0,56.45,16.27,21.89,36.07,21.85,14.16,42.0,30.79,21.66,18.49,43.8,16.11,36.07,35.95,18.56,0
Neg_1485,13.73,17.17,58.55,0.0,63.56,29.24,13.97,55.48,53.07,36.85,8.25,0.0,35.95,48.24,14.07,36.04,27.75,0.0,35.62,9.38,0
Neg_2718,16.38,13.41,16.57,24.74,6.06,21.14,8.85,8.97,18.57,0.0,11.91,27.71,0.0,15.62,21.14,23.43,12.97,20.17,0.0,17.21,0
Neg_107,23.14,9.71,0.0,17.94,0.0,0.0,14.58,18.86,0.0,12.86,21.89,7.34,25.3,0.0,31.35,20.97,15.71,11.26,25.3,6.66,0
Neg_2560,0.0,23.45,12.73,21.29,0.0,9.93,7.59,18.08,49.09,15.25,23.63,0.0,0.0,0.0,12.06,15.42,22.47,0.0,0.0,13.92,0
Neg_1520,22.0,7.88,22.38,14.59,15.69,43.82,23.89,11.72,30.27,13.11,10.34,40.45,0.0,45.08,0.0,27.63,32.33,31.63,40.17,14.72,0
Neg_951,0.0,23.06,9.66,25.09,0.0,44.11,13.81,0.0,28.84,22.61,8.49,12.2,20.42,15.55,17.09,17.8,19.36,49.24,14.75,15.22,0
Neg_2753,20.95,11.49,20.06,19.66,0.0,31.48,16.55,44.45,34.74,24.38,22.68,16.41,22.67,18.45,23.17,39.66,20.22,32.51,29.29,9.61,0
Neg_2737,20.46,49.66,71.57,23.83,20.31,18.37,26.5,38.31,22.94,28.52,11.63,20.0,27.1,32.6,11.63,29.91,23.46,43.34,83.27,15.27,0
Neg_2449,35.84,29.41,35.51,26.36,0.0,17.2,19.77,19.3,29.62,32.0,20.1,18.73,43.36,12.67,13.43,13.22,24.68,0.0,35.75,53.58,0
Neg_1538,16.51,14.59,54.28,30.26,59.36,23.98,21.91,15.43,28.74,49.66,18.07,16.96,56.13,44.86,11.54,40.71,29.4,0.0,54.2,46.9,0
Neg_1588,30.91,17.94,17.25,43.66,0.0,10.31,8.35,19.98,16.13,25.2,23.21,10.26,0.0,26.31,48.2,23.28,18.08,32.65,0.0,13.83,0
Neg_1070,5.81,0.0,10.3,20.41,0.0,10.68,13.52,0.0,13.79,19.25,12.4,0.0,9.63,15.24,14.62,0.0,9.61,0.0,9.54,17.93,0
Neg_1907,21.05,50.0,24.08,13.65,0.0,17.12,23.82,20.67,0.0,18.11,0.0,8.69,0.0,0.0,22.22,9.29,9.55,29.64,0.0,11.89,0
Neg_1444,12.11,19.33,0.0,23.55,21.69,34.35,17.12,10.76,0.0,18.35,16.09,29.39,27.59,19.35,30.41,11.73,24.77,0.0,26.82,18.85,0
Neg_2536,71.38,28.99,33.26,14.75,31.83,34.55,25.22,17.08,29.01,11.81,21.8,17.86,0.0,0.0,28.73,17.41,42.33,42.06,36.25,12.53,0
Neg_1336,0.0,0.0,9.65,11.16,0.0,9.25,0.0,10.25,0.0,14.65,11.05,0.0,0.0,0.0,8.63,10.84,9.65,0.0,9.05,4.07,0
Neg_1125,19.26,47.1,33.33,26.43,15.55,24.55,25.18,12.4,0.0,29.3,7.93,27.86,0.0,23.38,24.55,22.82,18.9,24.86,42.5,7.53,0
Neg_1238,17.19,27.52,40.23,17.97,23.53,29.91,21.85,25.75,39.26,30.69,14.47,20.73,22.3,16.59,20.81,15.95,50.0,0.0,44.56,16.91,0
Neg_2438,19.32,16.32,21.32,7.55,0.0,13.43,0.0,8.16,23.79,13.15,10.77,0.0,0.0,0.0,8.0,17.79,13.76,0.0,16.74,22.5,0
Neg_2869,0.0,25.88,18.5,34.74,19.27,13.08,18.76,17.24,18.29,15.43,24.05,12.38,0.0,20.45,29.3,10.95,25.73,0.0,23.23,41.29,0
Neg_734,23.18,0.0,10.59,8.57,0.0,11.5,37.03,11.51,0.0,0.0,5.85,22.67,0.0,28.56,0.0,7.71,9.42,0.0,0.0,12.5,0
Neg_2747,14.2,29.19,41.05,17.45,30.02,49.37,9.96,21.55,0.0,24.03,11.13,25.12,60.02,31.61,0.0,13.48,30.85,39.89,22.85,11.88,0
Neg_2767,13.04,11.42,0.0,0.0,12.96,14.35,0.0,10.65,12.59,25.04,8.73,0.0,15.19,0.0,10.58,10.08,12.46,12.59,19.93,0.0,0
Neg_347,18.65,0.0,0.0,16.78,0.0,11.24,16.85,11.11,0.0,24.5,25.54,11.56,18.81,20.1,0.0,18.26,39.22,26.26,24.5,16.98,0
Neg_1890,15.85,27.56,35.04,35.89,44.68,14.05,12.49,21.13,24.09,19.93,28.07,14.89,36.79,24.07,20.34,28.36,29.96,0.0,21.07,12.86,0
Neg_2457,36.34,12.99,25.55,13.79,63.93,13.8,23.45,30.97,53.03,32.51,9.55,36.67,29.1,51.41,36.24,48.18,78.99,29.35,0.0,12.69,0
Neg_2919,11.49,23.98,25.9,43.76,30.71,30.27,20.79,16.88,32.75,14.06,15.67,54.09,49.34,82.65,26.97,13.01,34.84,0.0,69.88,13.04,0
Neg_2764,10.57,11.91,0.0,31.49,18.99,23.94,77.69,14.12,49.26,67.98,10.51,0.0,0.0,46.74,15.42,10.65,49.31,0.0,0.0,39.6,0
Neg_834,14.65,16.43,26.02,32.23,0.0,24.57,21.52,22.59,54.15,11.09,26.42,18.33,25.26,18.68,61.73,23.9,19.33,29.41,41.73,50.07,0
Neg_1570,13.52,20.09,16.92,14.77,0.0,27.29,15.4,26.49,50.66,13.27,6.72,15.43,0.0,0.0,22.78,40.2,15.69,0.0,56.9,19.17,0
Neg_2750,22.19,26.3,0.0,19.02,16.9,30.1,43.13,26.52,15.41,30.91,18.24,18.63,0.0,9.47,23.63,20.98,14.43,0.0,22.53,21.79,0
Neg_290,44.37,24.92,14.71,21.44,44.51,29.37,28.26,32.21,36.53,55.14,14.49,21.66,37.01,18.62,19.72,28.2,38.85,18.54,43.17,68.32,0
Neg_862,11.8,39.13,0.0,18.08,42.05,29.16,37.24,27.19,42.92,24.41,13.28,22.63,59.16,38.16,35.01,28.37,27.42,34.3,35.06,14.54,0
Neg_2654,6.69,13.29,11.76,7.31,0.0,0.0,13.29,0.0,0.0,0.0,10.47,7.53,9.41,0.0,5.2,4.93,0.0,0.0,15.06,0.0,0
Neg_597,45.47,20.38,29.05,9.18,30.5,29.95,22.44,23.96,31.12,15.02,11.02,13.13,28.09,14.29,23.4,18.84,48.71,0.0,29.89,11.13,0
Neg_353,0.0,0.0,0.0,4.55,0.0,5.27,0.0,7.45,9.09,0.0,9.09,0.0,0.0,6.18,0.0,2.9,7.45,0.0,0.0,4.1,0
Neg_2500,16.75,45.41,93.01,47.03,66.74,26.14,29.05,15.66,33.31,0.0,18.02,59.66,0.0,32.01,15.69,15.74,16.58,78.53,0.0,27.58,0
Neg_1446,8.35,13.7,0.0,21.48,0.0,13.19,12.59,0.0,0.0,0.0,8.24,0.0,23.19,0.0,7.92,13.7,7.88,14.35,8.19,6.87,0
Neg_842,5.32,10.86,16.64,11.84,0.0,13.52,8.09,21.2,14.78,0.0,11.04,14.04,0.0,21.2,0.0,0.0,0.0,0.0,0.0,11.71,0
Neg_53,18.12,20.59,32.87,37.72,49.85,14.77,20.31,19.62,0.0,51.13,11.94,47.21,0.0,12.0,25.74,22.59,56.97,51.21,94.13,21.16,0
