,SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y,y
peptide_nm_136,-0.272,0.0,-0.476,0.0,-0.272,-0.272,0.0,-0.272,0.0,0.0,-0.272,0.0,0.0,0.0,-0.401,-0.272,0.0,-0.401,0.0,-0.272,0
peptide_nm_137,-0.278,0.0,-0.176,-0.278,-0.278,-0.176,-0.176,-0.278,-0.278,-0.352,-0.278,-0.352,-0.176,-0.176,-0.176,-0.176,-0.278,0.0,0.0,0.0,0
peptide_nm_138,0.0,0.0,-0.285,-0.488,-0.285,0.0,0.0,-0.285,-0.285,0.0,0.0,-0.285,-0.285,-0.285,0.0,-0.285,-0.415,0.0,0.0,0.0,0
peptide_nm_139,-0.468,0.0,-0.176,-0.278,-0.232,-0.176,-0.107,-0.232,-0.352,-0.318,0.0,-0.176,-0.176,-0.278,-0.107,-0.278,-0.107,-0.176,0.0,-0.107,0
peptide_nm_140,-0.24,0.0,0.0,-0.24,-0.24,0.0,0.0,-0.24,-0.363,-0.442,0.0,0.0,0.0,0.0,-0.24,-0.24,-0.491,-0.363,0.0,0.0,0
peptide_nm_141,-0.479,0.0,-0.197,-0.197,0.0,-0.479,0.0,0.0,0.0,-0.197,0.0,0.0,-0.306,0.0,-0.306,0.0,0.0,-0.506,0.0,0.0,0
peptide_nm_142,0.0,0.0,-0.285,0.0,0.0,-0.285,0.0,-0.415,-0.285,-0.285,0.0,-0.415,0.0,-0.415,0.0,0.0,-0.415,-0.285,0.0,0.0,0
peptide_nm_143,-0.375,0.0,-0.453,0.0,0.0,-0.25,-0.375,-0.25,-0.375,-0.25,0.0,0.0,0.0,-0.25,-0.25,0.0,0.0,-0.25,0.0,-0.25,0
peptide_nm_144,0.0,0.0,0.0,0.0,-0.299,0.0,0.0,0.0,0.0,-0.5,-0.299,0.0,-0.299,0.0,0.0,-0.5,-0.299,-0.431,0.0,0.0,0
peptide_nm_145,-0.339,0.0,-0.394,-0.339,-0.168,-0.168,-0.168,-0.339,-0.168,-0.266,0.0,0.0,-0.168,-0.266,0.0,-0.394,-0.168,-0.266,0.0,0.0,0
peptide_nm_146,-0.401,0.0,-0.401,-0.476,0.0,-0.272,0.0,-0.272,0.0,-0.401,0.0,0.0,0.0,-0.401,0.0,0.0,0.0,-0.272,0.0,0.0,0
peptide_nm_147,0.0,0.0,0.0,0.0,0.0,-0.363,-0.24,-0.24,0.0,-0.24,0.0,-0.24,-0.24,-0.442,-0.24,-0.24,0.0,-0.442,-0.24,-0.24,0
peptide_nm_148,0.0,0.0,-0.25,-0.375,-0.25,-0.25,0.0,-0.453,0.0,0.0,-0.25,0.0,-0.25,-0.25,-0.25,-0.25,0.0,-0.25,0.0,-0.375,0
peptide_nm_149,-0.415,0.0,-0.285,-0.181,-0.181,-0.285,0.0,0.0,-0.181,-0.359,-0.181,0.0,-0.181,-0.285,-0.415,-0.181,0.0,-0.359,0.0,0.0,0
peptide_nm_150,-0.352,0.0,-0.352,-0.232,0.0,-0.352,-0.232,0.0,-0.232,-0.352,-0.232,0.0,-0.232,0.0,-0.232,-0.232,-0.431,0.0,0.0,0.0,0
peptide_nm_151,0.0,-0.272,-0.272,0.0,0.0,-0.272,0.0,0.0,0.0,-0.401,-0.272,-0.272,-0.272,0.0,0.0,-0.401,-0.476,-0.272,0.0,0.0,0
peptide_nm_152,-0.25,0.0,0.0,-0.25,0.0,-0.375,0.0,-0.25,-0.375,-0.25,0.0,0.0,0.0,-0.25,-0.25,-0.375,-0.453,-0.25,0.0,0.0,0
peptide_nm_153,-0.394,0.0,-0.339,0.0,0.0,-0.339,-0.168,-0.339,-0.266,-0.437,0.0,0.0,0.0,-0.168,-0.339,-0.266,0.0,-0.168,0.0,-0.168,0
peptide_nm_154,-0.232,0.0,-0.482,0.0,-0.232,-0.232,0.0,-0.232,-0.352,-0.352,0.0,0.0,0.0,0.0,-0.232,-0.232,-0.232,-0.431,0.0,0.0,0
peptide_nm_155,-0.299,0.0,-0.191,-0.375,-0.191,-0.191,0.0,0.0,-0.299,-0.375,0.0,0.0,-0.191,-0.431,-0.375,-0.191,0.0,-0.299,0.0,0.0,0
peptide_nm_156,0.0,0.0,-0.352,-0.232,0.0,-0.232,0.0,-0.482,-0.352,-0.232,0.0,-0.431,0.0,0.0,0.0,-0.232,-0.352,-0.232,0.0,0.0,0
peptide_nm_157,0.0,-0.224,-0.224,-0.224,0.0,0.0,0.0,-0.473,-0.342,0.0,0.0,-0.342,-0.224,-0.42,-0.224,0.0,-0.224,0.0,0.0,-0.342,0
peptide_nm_158,0.0,0.0,-0.266,-0.495,-0.168,-0.339,0.0,0.0,-0.266,-0.394,0.0,-0.266,0.0,-0.168,-0.168,-0.266,-0.168,-0.266,0.0,-0.168,0
peptide_nm_159,-0.447,0.0,-0.153,-0.245,-0.153,-0.153,0.0,-0.153,0.0,-0.245,0.0,0.0,-0.412,-0.369,-0.245,0.0,-0.314,-0.369,0.0,-0.153,0
peptide_nm_160,-0.425,0.0,-0.255,-0.255,-0.16,-0.255,-0.16,-0.326,-0.326,-0.255,-0.255,-0.255,-0.255,-0.16,-0.16,0.0,0.0,-0.16,0.0,-0.16,0
peptide_nm_161,0.0,0.0,0.0,-0.311,0.0,-0.375,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_162,-0.299,0.0,0.0,-0.191,0.0,-0.471,-0.191,-0.471,-0.375,-0.431,-0.191,0.0,0.0,0.0,0.0,-0.191,-0.191,0.0,0.0,0.0,0
peptide_nm_163,-0.359,0.0,-0.359,-0.359,-0.181,-0.415,-0.285,-0.181,-0.181,-0.285,0.0,0.0,-0.181,0.0,-0.181,-0.181,-0.285,-0.181,0.0,0.0,0
peptide_nm_164,-0.479,0.0,0.0,-0.197,0.0,-0.439,-0.197,-0.306,-0.197,-0.306,0.0,0.0,-0.197,-0.306,-0.197,-0.197,-0.197,-0.197,0.0,0.0,0
peptide_nm_165,-0.5,0.0,-0.431,-0.299,0.0,0.0,0.0,-0.299,0.0,-0.431,-0.299,-0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.299,0
peptide_nm_166,0.0,-0.25,-0.25,-0.375,-0.32,-0.375,0.0,0.0,-0.25,-0.32,0.0,-0.418,-0.156,0.0,0.0,-0.156,-0.156,-0.32,0.0,-0.156,0
peptide_nm_167,-0.278,-0.408,0.0,-0.278,0.0,-0.352,-0.176,-0.278,-0.408,0.0,-0.176,-0.352,-0.352,0.0,0.0,0.0,0.0,-0.278,0.0,0.0,0
peptide_nm_168,-0.272,-0.272,-0.345,0.0,-0.172,-0.345,0.0,-0.272,-0.172,-0.345,-0.172,-0.172,-0.272,-0.272,-0.172,0.0,0.0,-0.272,-0.172,-0.172,0
peptide_nm_169,-0.352,0.0,-0.232,-0.352,0.0,-0.431,0.0,-0.232,-0.352,0.0,-0.232,-0.431,0.0,0.0,-0.232,-0.232,0.0,0.0,-0.232,0.0,0
peptide_nm_170,0.0,0.0,0.0,-0.314,-0.447,-0.314,0.0,-0.314,0.0,-0.314,0.0,-0.314,0.0,-0.314,-0.314,-0.314,-0.314,0.0,0.0,0.0,0
peptide_nm_171,-0.476,-0.172,-0.172,-0.272,0.0,-0.401,-0.172,-0.272,-0.172,-0.345,0.0,0.0,-0.272,-0.172,0.0,0.0,-0.272,-0.172,0.0,-0.172,0
peptide_nm_172,-0.516,0.0,-0.323,-0.209,0.0,-0.209,0.0,-0.323,0.0,-0.323,-0.209,-0.209,0.0,-0.323,-0.323,0.0,0.0,-0.209,0.0,0.0,0
peptide_nm_173,-0.511,0.0,0.0,-0.314,0.0,-0.314,0.0,0.0,-0.447,-0.314,0.0,0.0,0.0,-0.314,0.0,0.0,0.0,-0.447,0.0,0.0,0
peptide_nm_174,-0.415,-0.181,-0.181,-0.181,-0.181,-0.285,-0.285,-0.181,-0.181,-0.359,-0.181,0.0,-0.285,-0.181,-0.181,-0.285,0.0,-0.285,0.0,0.0,0
peptide_nm_175,-0.24,0.0,-0.363,-0.24,0.0,-0.24,0.0,-0.491,-0.363,-0.363,-0.24,-0.24,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,-0.24,0
peptide_nm_176,-0.257,0.0,-0.257,-0.383,0.0,-0.197,-0.257,-0.197,0.0,-0.479,-0.12,0.0,-0.257,0.0,-0.306,-0.257,-0.197,-0.197,0.0,-0.197,0
peptide_nm_177,0.0,-0.431,-0.299,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-0.299,-0.299,0.0,-0.431,0.0,-0.299,0.0,-0.299,0
peptide_nm_178,-0.5,0.0,0.0,-0.299,0.0,-0.299,-0.299,-0.299,0.0,-0.299,0.0,0.0,-0.299,0.0,0.0,-0.299,-0.299,-0.299,0.0,0.0,0
peptide_nm_179,0.0,0.0,-0.272,-0.272,0.0,0.0,0.0,0.0,-0.401,0.0,0.0,-0.272,0.0,-0.401,-0.401,-0.401,0.0,-0.272,-0.272,-0.272,0
peptide_nm_180,-0.352,0.0,-0.352,-0.318,-0.176,-0.278,-0.107,-0.232,-0.176,-0.352,-0.107,-0.176,-0.176,-0.176,-0.176,-0.176,-0.318,-0.107,-0.107,-0.107,0
peptide_nm_181,0.0,-0.299,0.0,0.0,0.0,-0.431,0.0,-0.526,0.0,-0.431,-0.299,0.0,-0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_182,0.0,0.0,0.0,-0.453,-0.25,0.0,0.0,-0.25,-0.375,-0.375,0.0,-0.25,-0.375,0.0,0.0,-0.25,0.0,-0.453,0.0,0.0,0
peptide_nm_183,-0.306,0.0,0.0,0.0,-0.197,-0.479,-0.197,0.0,-0.197,-0.439,-0.197,0.0,-0.197,-0.439,-0.197,0.0,0.0,-0.197,0.0,-0.197,0
peptide_nm_184,-0.375,-0.191,-0.191,-0.375,-0.299,-0.299,0.0,0.0,0.0,-0.375,0.0,0.0,-0.191,0.0,-0.191,-0.191,-0.375,-0.191,-0.191,-0.191,0
peptide_nm_185,-0.181,-0.359,-0.359,-0.359,0.0,-0.285,-0.181,-0.285,-0.181,0.0,-0.181,0.0,0.0,0.0,-0.181,-0.285,-0.285,-0.359,0.0,-0.181,0
peptide_nm_186,-0.375,0.0,0.0,0.0,-0.375,-0.25,0.0,0.0,-0.25,0.0,0.0,0.0,-0.25,0.0,-0.25,-0.25,-0.531,0.0,0.0,-0.25,0
peptide_nm_187,-0.363,0.0,-0.24,0.0,0.0,-0.519,0.0,-0.24,0.0,-0.363,0.0,0.0,-0.24,-0.24,-0.24,0.0,-0.24,-0.363,0.0,0.0,0
peptide_nm_188,-0.352,0.0,0.0,-0.431,-0.352,-0.352,0.0,-0.352,-0.232,-0.352,0.0,0.0,-0.232,0.0,-0.232,-0.232,0.0,-0.232,0.0,0.0,0
peptide_nm_189,-0.391,0.0,-0.248,-0.305,-0.078,-0.278,0.0,-0.248,-0.214,-0.373,-0.214,-0.132,-0.176,-0.214,-0.248,-0.176,-0.176,-0.248,-0.078,-0.132,0
peptide_nm_190,-0.401,0.0,-0.272,0.0,0.0,-0.272,0.0,-0.272,-0.272,-0.401,0.0,0.0,0.0,0.0,-0.401,-0.401,0.0,-0.401,0.0,0.0,0
peptide_nm_191,-0.172,0.0,-0.172,-0.345,-0.272,0.0,0.0,-0.345,-0.272,-0.172,0.0,-0.172,-0.345,0.0,-0.345,-0.272,-0.345,-0.272,0.0,-0.172,0
peptide_nm_192,-0.363,0.0,0.0,0.0,-0.24,-0.363,0.0,0.0,-0.519,0.0,0.0,-0.24,-0.24,0.0,-0.442,-0.24,-0.24,0.0,0.0,0.0,0
peptide_nm_193,0.0,0.0,-0.191,-0.299,0.0,0.0,0.0,-0.431,-0.375,-0.431,0.0,-0.191,-0.299,0.0,-0.375,-0.191,0.0,-0.191,-0.191,-0.191,0
peptide_nm_194,-0.209,0.0,-0.401,-0.493,0.0,-0.209,0.0,-0.209,0.0,-0.401,-0.209,-0.209,0.0,-0.323,-0.209,-0.209,0.0,0.0,0.0,-0.209,0
peptide_nm_195,0.0,0.0,-0.176,-0.408,-0.176,0.0,0.0,-0.176,-0.408,-0.278,-0.176,-0.408,-0.176,0.0,-0.176,-0.176,-0.278,-0.352,0.0,-0.176,0
peptide_nm_196,0.0,0.0,0.0,-0.482,-0.482,0.0,-0.352,-0.352,0.0,0.0,0.0,-0.352,0.0,0.0,0.0,0.0,0.0,-0.352,0.0,-0.352,0
peptide_nm_197,0.0,0.0,-0.25,-0.25,-0.375,0.0,-0.25,0.0,-0.375,-0.453,0.0,0.0,0.0,-0.25,-0.375,-0.25,0.0,-0.375,0.0,0.0,0
peptide_nm_198,0.0,0.0,0.0,-0.272,-0.272,-0.272,0.0,0.0,-0.401,-0.476,0.0,0.0,-0.401,-0.401,0.0,0.0,0.0,-0.272,0.0,-0.272,0
peptide_nm_199,-0.314,-0.314,-0.203,-0.447,-0.203,0.0,-0.203,0.0,0.0,-0.486,0.0,-0.203,0.0,0.0,-0.203,-0.203,-0.203,-0.314,0.0,0.0,0
peptide_nm_200,0.0,0.0,0.0,-0.431,0.0,-0.299,0.0,-0.299,0.0,-0.5,0.0,0.0,0.0,0.0,-0.299,-0.431,-0.431,0.0,0.0,0.0,0
peptide_nm_201,-0.224,0.0,-0.224,0.0,0.0,-0.342,0.0,-0.342,-0.342,-0.224,-0.224,-0.224,0.0,-0.224,-0.42,-0.224,0.0,-0.342,0.0,-0.224,0
peptide_nm_202,-0.431,0.0,0.0,0.0,-0.299,-0.431,0.0,0.0,0.0,-0.5,0.0,0.0,-0.431,-0.299,0.0,0.0,0.0,-0.299,0.0,0.0,0
peptide_nm_203,-0.339,0.0,-0.266,0.0,-0.168,-0.266,0.0,-0.513,-0.168,-0.168,0.0,-0.339,-0.168,0.0,-0.168,-0.168,-0.437,0.0,0.0,0.0,0
peptide_nm_204,-0.272,0.0,-0.401,0.0,0.0,-0.272,0.0,0.0,-0.272,-0.401,0.0,0.0,0.0,-0.272,-0.401,-0.401,0.0,-0.401,0.0,0.0,0
peptide_nm_205,0.0,0.0,-0.363,-0.363,-0.24,-0.24,0.0,0.0,-0.442,0.0,-0.24,0.0,0.0,0.0,-0.363,0.0,-0.363,0.0,0.0,-0.442,0
peptide_nm_206,-0.285,0.0,-0.415,-0.285,-0.285,0.0,0.0,-0.415,-0.285,-0.285,0.0,0.0,-0.285,-0.285,0.0,0.0,-0.285,-0.285,0.0,0.0,0
peptide_nm_207,-0.191,0.0,0.0,0.0,0.0,-0.191,-0.191,-0.299,-0.191,-0.299,0.0,-0.471,-0.299,-0.191,-0.299,0.0,-0.191,-0.299,-0.299,-0.191,0
peptide_nm_208,-0.272,0.0,0.0,-0.272,-0.272,-0.272,0.0,0.0,-0.272,0.0,0.0,0.0,-0.401,-0.401,0.0,0.0,-0.476,-0.401,0.0,0.0,0
peptide_nm_209,-0.24,-0.24,-0.24,-0.24,0.0,0.0,0.0,-0.24,-0.442,-0.24,-0.363,0.0,-0.363,-0.24,-0.24,0.0,0.0,0.0,0.0,-0.363,0
peptide_nm_210,-0.359,0.0,-0.181,-0.181,0.0,-0.285,0.0,-0.181,-0.181,-0.415,-0.181,0.0,-0.285,0.0,-0.181,-0.285,-0.181,-0.415,-0.285,0.0,0
peptide_nm_211,-0.359,-0.181,-0.181,-0.359,0.0,-0.285,-0.181,-0.415,-0.415,-0.181,-0.181,-0.181,0.0,0.0,0.0,-0.181,0.0,-0.285,0.0,-0.181,0
peptide_nm_212,-0.266,0.0,0.0,-0.168,-0.394,0.0,0.0,-0.168,-0.266,-0.266,0.0,-0.437,-0.168,-0.266,-0.339,-0.168,-0.266,-0.168,0.0,-0.266,0
peptide_nm_213,-0.263,-0.141,-0.187,-0.187,-0.187,-0.322,-0.084,-0.294,-0.39,-0.294,-0.141,-0.141,-0.187,-0.141,-0.141,-0.347,-0.141,-0.294,0.0,-0.084,0
peptide_nm_214,-0.401,0.0,0.0,-0.516,-0.401,0.0,0.0,0.0,0.0,-0.401,0.0,-0.401,0.0,0.0,-0.401,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_215,-0.299,0.0,-0.299,-0.299,0.0,0.0,0.0,-0.299,0.0,-0.5,0.0,0.0,0.0,-0.299,0.0,-0.5,0.0,0.0,0.0,-0.299,0
peptide_nm_216,-0.42,0.0,-0.42,0.0,0.0,0.0,0.0,-0.224,-0.224,-0.473,0.0,-0.342,0.0,0.0,-0.224,-0.342,-0.224,-0.224,0.0,0.0,0
peptide_nm_217,-0.16,0.0,-0.255,-0.16,0.0,-0.255,0.0,-0.255,-0.425,-0.381,0.0,-0.255,-0.255,-0.255,-0.255,0.0,0.0,-0.326,0.0,-0.326,0
peptide_nm_218,0.0,0.0,-0.285,-0.285,0.0,0.0,0.0,-0.285,0.0,0.0,-0.285,-0.488,-0.285,-0.415,-0.285,-0.285,-0.285,0.0,0.0,0.0,0
peptide_nm_219,0.0,0.0,-0.42,-0.224,0.0,-0.224,-0.224,0.0,-0.342,-0.42,0.0,0.0,-0.224,-0.224,-0.224,-0.473,-0.224,0.0,0.0,0.0,0
peptide_nm_220,-0.306,0.0,-0.439,0.0,0.0,-0.306,-0.197,-0.197,-0.197,-0.383,-0.197,0.0,-0.197,-0.197,-0.306,0.0,-0.306,-0.197,0.0,-0.197,0
peptide_nm_221,-0.401,-0.272,0.0,-0.516,-0.272,0.0,-0.272,0.0,-0.272,0.0,-0.272,0.0,0.0,0.0,0.0,-0.272,0.0,-0.272,0.0,-0.272,0
peptide_nm_222,-0.314,0.0,0.0,-0.203,0.0,0.0,0.0,0.0,-0.531,0.0,0.0,0.0,-0.203,-0.203,0.0,-0.447,-0.314,-0.392,0.0,0.0,0
peptide_nm_223,-0.232,0.0,0.0,-0.232,-0.431,-0.232,0.0,-0.352,-0.352,-0.352,-0.232,0.0,0.0,-0.232,-0.232,-0.352,0.0,0.0,0.0,-0.232,0
peptide_nm_224,0.0,0.0,0.0,0.0,0.0,-0.486,-0.203,0.0,0.0,0.0,-0.314,-0.314,-0.203,-0.486,0.0,-0.447,0.0,0.0,0.0,-0.314,0
peptide_nm_225,-0.191,0.0,-0.191,-0.191,-0.191,-0.191,-0.375,-0.191,-0.191,-0.191,0.0,0.0,-0.299,0.0,-0.299,-0.471,-0.191,-0.375,0.0,0.0,0
peptide_nm_226,0.0,-0.285,0.0,-0.415,-0.415,-0.285,0.0,-0.285,0.0,-0.488,0.0,-0.285,0.0,0.0,0.0,-0.285,-0.285,0.0,0.0,0.0,0
peptide_nm_227,-0.401,0.0,0.0,-0.272,0.0,0.0,0.0,-0.272,-0.272,-0.401,-0.401,0.0,0.0,0.0,-0.272,-0.272,0.0,-0.272,-0.272,-0.272,0
peptide_nm_228,-0.352,-0.232,-0.352,0.0,0.0,-0.352,0.0,-0.431,-0.232,0.0,-0.232,-0.232,-0.232,0.0,-0.352,0.0,0.0,-0.232,0.0,-0.232,0
peptide_nm_229,0.0,0.0,0.0,-0.401,-0.272,0.0,0.0,-0.401,-0.401,-0.516,0.0,0.0,0.0,0.0,0.0,-0.272,-0.272,-0.272,0.0,0.0,0
peptide_nm_230,0.0,0.0,-0.299,0.0,0.0,-0.299,-0.299,-0.431,0.0,-0.431,0.0,-0.431,0.0,0.0,0.0,-0.299,-0.299,0.0,0.0,-0.299,0
peptide_nm_231,0.0,-0.299,-0.431,-0.431,-0.299,0.0,0.0,-0.299,-0.299,-0.299,-0.299,0.0,0.0,0.0,0.0,0.0,-0.299,0.0,0.0,-0.299,0
peptide_nm_232,-0.394,0.0,-0.437,-0.266,-0.168,-0.168,0.0,-0.266,-0.168,-0.339,-0.168,0.0,-0.168,0.0,-0.168,-0.339,-0.168,-0.339,0.0,0.0,0
peptide_nm_233,-0.25,0.0,-0.32,-0.25,-0.25,-0.375,0.0,-0.375,-0.25,-0.156,0.0,-0.156,-0.156,-0.156,-0.25,0.0,-0.25,-0.375,0.0,-0.156,0
peptide_nm_234,-0.323,-0.209,-0.209,-0.323,-0.209,-0.209,0.0,-0.209,0.0,-0.401,0.0,0.0,0.0,-0.209,-0.323,0.0,-0.209,-0.456,0.0,-0.209,0
peptide_nm_235,0.0,0.0,-0.491,-0.24,0.0,-0.24,0.0,-0.24,0.0,-0.363,-0.363,0.0,-0.363,0.0,-0.24,0.0,-0.24,-0.363,0.0,0.0,0
peptide_nm_236,-0.444,0.0,0.0,-0.345,0.0,-0.401,-0.272,-0.272,-0.172,-0.172,-0.172,-0.345,-0.172,-0.172,0.0,-0.172,-0.172,0.0,0.0,-0.272,0
peptide_nm_237,0.0,0.0,0.0,-0.24,0.0,-0.519,0.0,-0.363,0.0,-0.442,0.0,0.0,-0.363,-0.24,0.0,0.0,-0.363,-0.24,0.0,0.0,0
peptide_nm_238,-0.299,0.0,-0.299,0.0,-0.431,0.0,0.0,0.0,-0.5,-0.299,-0.299,0.0,-0.299,0.0,0.0,-0.299,0.0,0.0,0.0,-0.299,0
peptide_nm_239,-0.176,0.0,-0.352,0.0,0.0,-0.278,-0.278,0.0,0.0,-0.451,0.0,-0.176,-0.278,-0.451,-0.176,0.0,-0.176,-0.278,0.0,-0.278,0
peptide_nm_240,-0.168,0.0,0.0,0.0,-0.266,-0.168,0.0,-0.266,-0.339,-0.266,-0.266,-0.168,-0.266,-0.266,-0.394,0.0,-0.266,-0.266,-0.168,-0.266,0
peptide_nm_241,-0.203,0.0,-0.314,-0.526,-0.203,-0.314,0.0,0.0,-0.203,-0.392,0.0,0.0,-0.203,0.0,-0.203,0.0,-0.203,-0.314,0.0,0.0,0
peptide_nm_242,0.0,0.0,-0.172,0.0,-0.272,0.0,-0.272,-0.272,0.0,-0.401,-0.172,0.0,0.0,-0.172,-0.172,-0.444,-0.401,-0.272,0.0,-0.345,0
peptide_nm_243,-0.278,-0.176,-0.352,-0.176,-0.176,-0.278,0.0,-0.278,-0.352,0.0,0.0,-0.176,-0.176,0.0,-0.176,-0.176,-0.278,-0.451,0.0,-0.176,0
peptide_nm_244,0.0,0.0,-0.314,0.0,-0.314,-0.314,0.0,0.0,-0.447,-0.447,0.0,-0.447,0.0,0.0,-0.314,0.0,-0.314,0.0,0.0,0.0,0
peptide_nm_245,-0.285,0.0,-0.285,-0.285,0.0,0.0,-0.285,0.0,-0.415,-0.285,-0.285,0.0,-0.415,0.0,-0.285,0.0,-0.285,-0.285,0.0,0.0,0
peptide_nm_246,-0.42,0.0,-0.224,-0.342,0.0,-0.224,0.0,-0.342,-0.342,-0.473,-0.342,-0.224,-0.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_247,-0.285,0.0,0.0,0.0,0.0,-0.285,0.0,-0.285,-0.285,0.0,0.0,-0.285,-0.285,-0.285,-0.285,0.0,-0.285,-0.488,-0.285,0.0,0
peptide_nm_248,-0.285,0.0,-0.285,-0.285,0.0,-0.285,-0.285,-0.415,-0.285,-0.415,-0.415,0.0,0.0,0.0,-0.285,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_249,-0.314,-0.314,-0.203,-0.314,0.0,-0.314,-0.314,-0.203,0.0,-0.447,-0.203,0.0,-0.203,-0.203,0.0,-0.203,0.0,-0.314,0.0,0.0,0
peptide_nm_250,-0.375,0.0,0.0,-0.191,0.0,-0.375,-0.191,0.0,-0.299,-0.375,0.0,-0.191,-0.299,0.0,-0.299,0.0,-0.299,-0.375,-0.191,0.0,0
peptide_nm_251,-0.285,0.0,0.0,-0.415,0.0,-0.415,0.0,-0.285,-0.285,-0.285,0.0,0.0,0.0,-0.285,0.0,-0.285,0.0,-0.488,0.0,0.0,0
peptide_nm_252,-0.299,0.0,-0.528,0.0,0.0,0.0,0.0,0.0,0.0,-0.299,-0.299,0.0,-0.299,-0.431,0.0,-0.299,-0.299,0.0,0.0,0.0,0
peptide_nm_253,0.0,0.0,0.0,-0.488,-0.285,-0.488,0.0,0.0,0.0,-0.488,-0.285,0.0,0.0,0.0,-0.285,0.0,0.0,-0.285,0.0,0.0,0
peptide_nm_254,-0.285,-0.11,-0.325,-0.285,-0.325,-0.285,0.0,-0.181,-0.11,-0.325,0.0,-0.181,-0.181,0.0,-0.237,-0.181,-0.181,-0.389,0.0,-0.237,0
peptide_nm_255,-0.363,0.0,0.0,-0.24,-0.24,-0.24,-0.363,0.0,-0.24,0.0,0.0,-0.24,0.0,-0.24,-0.363,0.0,-0.24,-0.363,-0.24,-0.24,0
peptide_nm_256,0.0,0.0,-0.314,-0.447,-0.314,-0.314,0.0,-0.314,-0.447,-0.447,-0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_257,-0.285,-0.285,0.0,-0.415,0.0,-0.285,0.0,0.0,-0.285,-0.285,0.0,-0.285,-0.285,0.0,0.0,-0.285,0.0,-0.285,-0.285,-0.285,0
peptide_nm_258,0.0,0.0,-0.24,-0.442,-0.24,-0.24,0.0,-0.24,-0.24,-0.442,0.0,-0.24,-0.24,-0.363,0.0,0.0,0.0,-0.24,-0.24,0.0,0
peptide_nm_259,-0.172,0.0,-0.272,-0.272,0.0,0.0,0.0,-0.444,-0.172,-0.345,-0.172,0.0,-0.345,-0.172,-0.272,0.0,-0.272,-0.345,-0.172,-0.172,0
peptide_nm_260,-0.431,0.0,-0.352,-0.232,0.0,-0.352,0.0,-0.232,0.0,-0.352,0.0,0.0,-0.232,0.0,-0.431,-0.352,0.0,-0.232,0.0,0.0,0
peptide_nm_261,-0.444,-0.172,-0.272,-0.401,0.0,-0.345,0.0,-0.172,-0.172,-0.345,0.0,0.0,0.0,0.0,0.0,-0.272,0.0,-0.444,0.0,-0.172,0
peptide_nm_262,0.0,0.0,-0.181,0.0,-0.415,0.0,0.0,-0.415,-0.181,-0.359,-0.359,-0.181,-0.285,0.0,0.0,-0.488,0.0,0.0,0.0,-0.181,0
peptide_nm_263,-0.278,-0.176,-0.278,-0.176,-0.176,-0.352,-0.176,-0.352,-0.352,-0.352,0.0,0.0,0.0,-0.176,0.0,-0.176,-0.278,-0.176,0.0,-0.278,0
peptide_nm_264,-0.375,0.0,-0.299,-0.431,0.0,-0.299,0.0,-0.375,-0.191,-0.375,0.0,0.0,-0.191,0.0,-0.299,-0.191,-0.191,0.0,-0.191,0.0,0
peptide_nm_265,-0.447,0.0,0.0,0.0,0.0,-0.314,0.0,-0.314,-0.511,-0.314,0.0,0.0,0.0,-0.314,0.0,-0.447,0.0,0.0,0.0,0.0,0
peptide_nm_266,-0.314,0.0,0.0,0.0,0.0,-0.447,0.0,0.0,-0.314,0.0,-0.314,0.0,-0.314,-0.314,-0.314,-0.314,0.0,-0.314,-0.314,0.0,0
peptide_nm_267,0.0,0.0,0.0,-0.352,-0.232,-0.232,0.0,-0.431,0.0,-0.352,0.0,0.0,-0.431,0.0,0.0,-0.431,0.0,-0.431,0.0,0.0,0
peptide_nm_268,0.0,0.0,-0.375,-0.524,0.0,-0.25,0.0,-0.25,-0.375,0.0,0.0,-0.375,0.0,0.0,0.0,-0.453,0.0,0.0,0.0,0.0,0
peptide_nm_269,-0.359,0.0,-0.181,-0.181,0.0,-0.285,0.0,-0.285,-0.181,-0.415,-0.181,-0.181,0.0,0.0,-0.285,-0.285,-0.285,-0.285,0.0,-0.285,0
peptide_nm_270,-0.272,0.0,0.0,-0.401,0.0,-0.272,0.0,-0.272,-0.272,-0.272,0.0,0.0,0.0,-0.272,-0.401,0.0,-0.401,0.0,-0.272,-0.272,0
