,QSO3_SC_A,QSO3_SC_R,QSO3_SC_N,QSO3_SC_D,QSO3_SC_C,QSO3_SC_Q,QSO3_SC_E,QSO3_SC_G,QSO3_SC_H,QSO3_SC_I,QSO3_SC_L,QSO3_SC_K,QSO3_SC_M,QSO3_SC_F,QSO3_SC_P,QSO3_SC_S,QSO3_SC_T,QSO3_SC_W,QSO3_SC_Y,QSO3_SC_V,QSO3_G_A,QSO3_G_R,QSO3_G_N,QSO3_G_D,QSO3_G_C,QSO3_G_Q,QSO3_G_E,QSO3_G_G,QSO3_G_H,QSO3_G_I,QSO3_G_L,QSO3_G_K,QSO3_G_M,QSO3_G_F,QSO3_G_P,QSO3_G_S,QSO3_G_T,QSO3_G_W,QSO3_G_Y,QSO3_G_V,QSO3_SC1,QSO3_SC2,QSO3_SC3,QSO3_G1,QSO3_G2,QSO3_G3,y
peptide_nm_221,0.7768,0.0,0.0,0.0,0.3884,0.0,1.5535,0.0,0.3884,0.0,0.0,0.3884,0.3884,0.3884,0.0,0.3884,0.0,0.0,0.3884,0.3884,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1862,0.1974,0.2281,0.1862,0.1974,0.2281,0
peptide_nm_222,0.5899,0.0,0.0,0.0,0.0,0.295,0.295,0.0,0.0,0.0,0.0,2.3596,0.0,0.0,0.295,1.1798,0.5899,0.0,0.0,0.8849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.1644,0.2421,0.2985,0.1644,0.2421,0.2985,0
peptide_nm_223,0.3359,0.3359,0.0,0.0,0.0,0.3359,0.3359,0.3359,0.0,0.6718,0.6718,0.6718,0.3359,1.0078,0.0,0.6718,0.0,0.0,0.3359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.2309,0.2616,0.1716,0.2309,0.2616,0.1716,0
peptide_nm_224,0.0,0.0,0.8256,0.0,0.0,2.0641,0.0,2.0641,0.4128,0.0,0.0,0.0,0.8256,0.0,0.4128,1.6513,0.0,0.0,0.8256,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.2189,0.2079,0.1603,0.2189,0.2079,0.1603,0
peptide_nm_225,0.2727,0.5453,0.0,0.2727,0.0,0.0,0.2727,0.2727,0.818,0.2727,0.2727,0.2727,0.0,0.2727,0.5453,1.3634,0.2727,0.0,0.0,0.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.2464,0.2168,0.2641,0.2464,0.2168,0.2641,0
peptide_nm_226,0.0,0.0,0.5514,0.0,0.5514,0.0,1.1029,0.5514,0.0,0.5514,1.6543,0.0,0.0,1.1029,0.0,0.5514,0.5514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1289,0.1491,0.1706,0.1289,0.1491,0.1706,0
peptide_nm_227,0.8064,0.4032,0.0,0.0,0.0,0.0,0.4032,0.0,0.0,0.4032,0.8064,0.4032,0.8064,0.0,0.0,0.4032,0.0,0.4032,0.4032,0.4032,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2301,0.2015,0.1651,0.2301,0.2015,0.1651,0
peptide_nm_228,0.7093,0.7093,0.3546,0.7093,0.3546,0.0,0.0,0.7093,0.0,1.0639,0.0,0.3546,0.3546,0.0,0.3546,0.0,0.0,0.0,0.3546,0.3546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2296,0.2389,0.1769,0.2296,0.2389,0.1769,0
peptide_nm_229,0.0,0.0,0.0,0.0,0.0,0.0,0.8778,0.0,0.0,0.8778,1.7555,0.8778,0.0,0.4389,0.0,0.4389,0.4389,0.0,0.0,0.4389,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2311,0.1798,0.1502,0.2311,0.1798,0.1502,0
peptide_nm_230,0.0,0.0,1.0027,0.5014,0.0,0.0,0.0,0.5014,0.5014,1.0027,1.0027,0.0,0.0,0.0,0.0,0.5014,0.5014,0.0,0.5014,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1865,0.135,0.1772,0.1865,0.135,0.1772,0
peptide_nm_231,0.0,0.0,0.0,0.8594,0.4297,0.0,0.8594,0.0,0.0,0.4297,0.4297,0.4297,0.4297,0.4297,0.0,0.0,0.4297,0.0,0.4297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232,0.21,0.1283,0.232,0.21,0.1283,0
peptide_nm_232,0.9262,0.2316,0.0,1.1578,0.0,0.0,0.4631,0.2316,0.0,0.4631,0.6947,0.2316,0.2316,0.2316,0.2316,0.6947,0.2316,0.0,0.0,0.6947,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1858,0.2804,0.3022,0.1858,0.2804,0.3022,0
peptide_nm_233,0.4421,0.4421,0.2211,0.6632,0.0,0.2211,0.4421,0.8843,0.0,0.8843,0.2211,0.4421,0.0,0.4421,0.2211,0.0,0.4421,0.0,0.2211,0.8843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2535,0.2974,0.228,0.2535,0.2974,0.228,0
peptide_nm_234,0.6757,0.6757,0.0,0.3379,0.3379,0.3379,0.6757,0.3379,0.0,0.3379,1.0136,0.0,0.0,0.3379,0.0,0.0,0.3379,0.0,0.3379,1.3515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.218,0.2003,0.2439,0.218,0.2003,0.2439,0
peptide_nm_235,0.0,0.3387,0.0,1.3547,0.0,0.0,0.3387,0.3387,0.0,0.3387,0.6773,0.0,0.6773,0.0,0.6773,0.0,0.3387,0.0,0.0,0.6773,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.2544,0.2329,0.174,0.2544,0.2329,0
peptide_nm_236,1.4863,0.0,0.8918,0.0,0.0,0.2973,0.8918,1.1891,0.5945,0.5945,0.2973,0.2973,0.2973,0.0,0.2973,0.2973,0.2973,0.0,0.5945,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2473,0.2431,0.2123,0.2473,0.2431,0.2123,0
peptide_nm_237,0.0,0.0,0.0,0.0,0.0,0.5351,0.5351,2.6756,0.0,1.0702,1.6053,0.0,0.0,0.0,1.0702,0.0,1.0702,0.0,0.0,0.5351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.1792,0.1542,0.1315,0.1792,0.1542,0.1315,0
peptide_nm_238,0.4402,0.0,0.0,0.4402,0.0,0.0,0.0,0.0,0.0,0.0,0.4402,1.3205,0.4402,0.8803,0.4402,0.4402,0.0,0.0,0.4402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.2521,0.1257,0.182,0.2521,0.1257,0.182,0
peptide_nm_239,0.2795,0.2795,0.2795,0.8386,0.0,1.3977,0.0,0.5591,0.5591,0.0,1.3977,0.0,0.0,0.0,0.5591,0.0,0.2795,0.0,0.5591,0.5591,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283,0.2771,0.1603,0.283,0.2771,0.1603,0
peptide_nm_240,0.2208,0.8831,0.2208,0.0,0.0,0.4416,0.0,0.2208,0.0,0.4416,0.4416,0.6623,0.4416,0.4416,0.4416,0.0,0.4416,0.2208,0.4416,0.4416,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2858,0.2726,0.2208,0.2858,0.2726,0.2208,0
peptide_nm_241,0.2754,0.2754,0.0,0.5508,0.0,0.0,1.928,0.5508,0.0,0.0,0.8263,0.2754,0.0,0.2754,0.2754,0.0,0.2754,0.0,0.0,0.5508,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1982,0.2727,0.2537,0.1982,0.2727,0.2537,0
peptide_nm_242,0.0,0.323,0.0,0.323,0.0,0.323,0.0,0.0,0.646,0.646,1.292,0.0,0.323,0.646,0.0,1.615,1.292,0.0,0.969,0.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.2209,0.2328,0.2233,0.2209,0.2328,0.2233,0
peptide_nm_243,0.5113,0.2556,0.2556,0.7669,0.2556,0.0,0.2556,0.5113,0.0,0.5113,0.0,0.7669,0.0,0.2556,0.2556,0.2556,0.5113,0.0,0.2556,1.2782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2887,0.2219,0.2338,0.2887,0.2219,0.2338,0
peptide_nm_244,0.0,0.4638,0.9277,0.4638,0.0,0.0,0.0,0.4638,0.0,0.0,0.9277,0.9277,0.0,0.4638,0.0,0.0,0.4638,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2096,0.1842,0.1424,0.2096,0.1842,0.1424,0
peptide_nm_245,0.4045,0.4045,0.0,0.4045,0.0,0.0,0.4045,0.0,0.4045,0.0,0.4045,0.809,0.4045,0.0,0.809,0.0,0.4045,0.0,0.0,0.4045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.1765,0.2307,0.1883,0.1765,0.2307,0.1883,0
peptide_nm_246,1.0058,0.0,0.3353,0.3353,0.0,0.0,0.6705,0.3353,0.0,0.6705,1.341,0.6705,0.6705,0.0,0.3353,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2319,0.2176,0.2153,0.2319,0.2176,0.2153,0
peptide_nm_247,0.4424,0.4424,0.4424,0.0,0.0,0.4424,0.0,0.4424,0.0,0.4424,0.0,0.4424,0.0,0.0,0.4424,0.0,0.4424,0.4424,0.0,1.3271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2169,0.1572,0.1835,0.2169,0.1572,0.1835,0
peptide_nm_248,0.4189,0.4189,0.0,0.4189,0.0,0.0,0.4189,0.4189,0.4189,0.8378,0.8378,0.4189,0.8378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2522,0.2037,0.1252,0.2522,0.2037,0.1252,0
peptide_nm_249,0.701,0.0,0.0,0.3505,0.701,0.3505,0.701,0.701,0.701,0.3505,1.4021,0.0,0.3505,0.0,0.3505,0.3505,0.0,0.0,0.0,0.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2305,0.2468,0.1722,0.2305,0.2468,0.1722,0
peptide_nm_250,0.8108,0.5405,0.2703,0.0,0.0,0.0,0.2703,0.8108,0.2703,0.0,0.8108,0.5405,0.0,0.0,0.5405,0.0,0.5405,0.2703,0.0,0.8108,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2371,0.2181,0.2745,0.2371,0.2181,0.2745,0
peptide_nm_251,0.4763,0.0,0.0,0.0,0.0,0.4763,0.9527,0.9527,0.0,0.4763,0.4763,0.4763,0.0,0.0,0.0,0.4763,0.0,0.0,0.0,1.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.1959,0.1396,0.1881,0.1959,0.1396,0.1881,0
peptide_nm_252,0.4866,0.0,0.0,1.9463,0.0,0.9731,0.0,0.0,0.0,0.0,0.4866,0.0,0.4866,0.0,0.4866,0.4866,0.4866,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2092,0.1866,0.1176,0.2092,0.1866,0.1176,0
peptide_nm_253,0.0,0.3722,0.0,0.0,0.0,0.0,1.1166,1.1166,0.0,0.0,1.1166,0.0,0.3722,0.3722,0.0,0.0,0.0,0.0,0.0,0.3722,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243,0.2089,0.1759,0.243,0.2089,0.1759,0
peptide_nm_254,0.6733,0.505,0.3367,0.8417,0.1683,0.0,0.6733,0.6733,0.0,0.3367,0.8417,0.1683,0.0,0.8417,0.3367,0.3367,0.3367,0.0,0.505,1.1783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3033,0.3209,0.2075,0.3033,0.3209,0.2075,0
peptide_nm_255,0.661,0.661,0.3305,0.0,0.0,0.3305,0.3305,0.3305,0.661,0.0,0.0,0.3305,0.0,0.3305,0.0,0.0,0.3305,0.3305,0.3305,0.661,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2068,0.2124,0.2503,0.2068,0.2124,0.2503,0
peptide_nm_256,0.0,0.0,0.0,0.529,0.0,0.0,1.058,0.529,0.0,0.529,1.058,1.058,0.529,0.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1376,0.1434,0.1899,0.1376,0.1434,0.1899,0
peptide_nm_257,0.4094,0.0,0.4094,0.0,0.4094,0.0,0.8188,0.4094,0.0,0.0,0.4094,0.4094,0.0,0.0,0.4094,0.4094,0.0,0.4094,0.4094,0.4094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2311,0.1889,0.1706,0.2311,0.1889,0.1706,0
peptide_nm_258,0.0,0.0,0.3451,0.3451,0.0,0.6903,1.0354,0.3451,0.0,0.3451,1.0354,0.3451,0.0,0.3451,0.3451,0.0,0.0,0.3451,0.0,0.3451,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2354,0.2352,0.1843,0.2354,0.2352,0.1843,0
peptide_nm_259,0.2859,0.5719,0.0,0.5719,0.0,0.2859,0.5719,0.0,0.0,1.4297,0.8578,0.2859,0.2859,0.0,0.8578,0.0,0.5719,0.2859,0.2859,0.8578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2653,0.269,0.1797,0.2653,0.269,0.1797,0
peptide_nm_260,0.9855,0.9855,0.0,0.657,0.0,0.0,0.3285,0.657,0.0,0.3285,0.657,0.0,0.0,0.0,0.3285,0.657,0.0,0.0,0.0,0.3285,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2744,0.2063,0.1908,0.2744,0.2063,0.1908,0
peptide_nm_261,1.3722,0.0,0.0,0.5489,0.2744,0.0,1.0978,0.8233,0.0,0.2744,0.8233,0.2744,0.0,0.0,0.0,0.5489,0.0,0.0,0.2744,1.3722,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2622,0.2091,0.2542,0.2622,0.2091,0.2542,0
peptide_nm_262,0.0,0.0,0.3991,0.3991,0.0,0.0,0.0,0.0,0.0,1.5965,1.1973,0.3991,1.1973,1.5965,0.7982,2.3947,0.0,0.0,0.3991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.2429,0.2131,0.1449,0.2429,0.2131,0.1449,0
peptide_nm_263,0.5326,0.0,0.0,0.5326,0.2663,0.2663,0.2663,0.7989,0.2663,0.7989,0.7989,0.7989,0.0,0.2663,0.0,0.2663,0.5326,0.0,0.5326,0.2663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2955,0.1993,0.2389,0.2955,0.1993,0.2389,0
peptide_nm_264,0.7541,0.5027,0.0,0.5027,0.0,0.0,1.0055,0.5027,0.0,0.7541,0.7541,0.2514,0.0,0.0,0.2514,0.2514,0.2514,0.2514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224,0.286,0.2387,0.224,0.286,0.2387,0
peptide_nm_265,0.9384,0.0,0.0,0.0,0.0,0.4692,0.0,0.4692,0.0,0.4692,0.4692,1.4076,0.0,0.0,0.0,0.9384,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.2405,0.2216,0.0687,0.2405,0.2216,0.0687,0
peptide_nm_266,0.4681,0.4681,0.0,0.0,0.0,0.4681,0.0,0.9362,0.0,0.0,0.0,0.4681,0.4681,0.0,0.4681,0.4681,0.0,0.4681,0.0,0.4681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2166,0.1453,0.17,0.2166,0.1453,0.17,0
peptide_nm_267,0.0,0.0,0.0,0.0,0.0,0.0,0.8965,0.4483,0.0,1.3448,0.8965,0.0,0.0,0.4483,1.3448,1.3448,0.0,0.0,0.0,1.3448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.1542,0.1976,0.1999,0.1542,0.1976,0.1999,0
peptide_nm_268,0.0,0.0,0.9627,0.9627,0.0,0.0,2.4067,0.4813,0.0,0.4813,0.0,0.9627,0.0,0.0,0.0,1.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.1791,0.2125,0.127,0.1791,0.2125,0.127,0
peptide_nm_269,0.8501,0.5667,0.2834,0.2834,0.0,0.0,0.2834,0.5667,0.0,0.5667,1.1335,0.2834,0.2834,0.0,0.0,0.5667,0.5667,0.0,0.5667,0.5667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2204,0.247,0.2492,0.2204,0.247,0.2492,0
peptide_nm_270,0.335,0.6701,0.0,0.0,0.0,0.335,0.6701,0.335,0.0,0.335,0.335,0.335,0.0,0.0,0.0,0.0,0.6701,0.335,0.335,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.2316,0.2686,0.1648,0.2316,0.2686,0.1648,0
peptide_nm_271,0.9483,0.4741,0.4741,0.4741,0.0,0.4741,0.4741,0.9483,0.0,0.0,0.0,0.9483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2344,0.1606,0.1309,0.2344,0.1606,0.1309,0
peptide_nm_272,1.0415,0.0,1.0415,0.0,0.0,0.0,0.0,2.6037,0.0,0.0,0.0,0.5207,0.0,1.0415,0.0,0.0,0.0,0.0,0.5207,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.1948,0.1497,0.1347,0.1948,0.1497,0.1347,0
peptide_nm_273,0.4804,0.4804,0.0,0.0,0.4804,0.4804,0.0,0.9608,0.0,1.4413,4.3238,0.0,0.0,0.0,0.0,0.0,0.4804,0.0,0.4804,0.4804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1799,0.1427,0.1969,0.1799,0.1427,0.1969,0
peptide_nm_274,0.6891,0.3446,0.0,0.0,0.3446,0.3446,0.6891,1.0337,0.0,0.0,1.0337,0.3446,0.0,0.6891,0.3446,1.0337,0.3446,0.0,0.0,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2139,0.2748,0.1667,0.2139,0.2748,0.1667,0
peptide_nm_275,0.0,0.0,0.5519,0.5519,0.0,0.5519,0.0,0.5519,0.0,0.0,1.1037,0.0,1.1037,0.0,0.5519,0.0,1.6556,0.0,0.0,0.5519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.1468,0.1733,0.1281,0.1468,0.1733,0.1281,0
peptide_nm_276,0.8312,0.0,0.0,0.0,0.0,0.8312,0.0,0.0,0.0,0.0,6.6496,0.0,0.0,0.0,0.0,0.0,0.8312,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.057,0.0627,0.049,0.057,0.0627,0.049,0
peptide_nm_277,0.6248,0.3749,0.0,0.6248,0.125,0.4998,0.7497,0.7497,0.125,0.3749,0.6248,0.125,0.2499,0.7497,0.3749,0.2499,0.2499,0.0,0.4998,0.2499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2717,0.3145,0.2889,0.2717,0.3145,0.2889,0
peptide_nm_278,0.6545,0.0,0.0,0.0,0.0,0.6545,0.0,0.6545,0.6545,0.0,0.0,0.0,0.0,0.6545,1.9635,1.309,1.9635,0.0,0.0,0.6545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.1126,0.123,0.1099,0.1126,0.123,0.1099,0
peptide_nm_279,2.1562,0.0,0.0,0.4312,0.4312,0.0,0.0,1.2937,0.4312,0.0,1.2937,0.0,0.0,0.8625,2.1562,0.8625,0.0,0.0,0.4312,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.2009,0.2114,0.1565,0.2009,0.2114,0.1565,0
peptide_nm_280,1.3373,0.6686,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.0,0.3343,0.6686,0.3343,0.0,0.0,0.3343,0.3343,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2473,0.2047,0.2136,0.2473,0.2047,0.2136,0
peptide_nm_281,0.8169,0.4084,0.0,0.8169,0.0,1.6337,0.4084,0.0,0.0,0.4084,0.4084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4084,0.4084,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2143,0.206,0.1713,0.2143,0.206,0.1713,0
peptide_nm_282,0.5701,0.0,0.0,0.5701,0.0,0.0,0.0,1.1403,0.5701,0.5701,0.5701,0.0,0.5701,0.5701,0.0,1.1403,0.5701,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,0.1557,0.1224,0.1517,0.1557,0.1224,0.1517,0
peptide_nm_283,0.0,0.4186,0.0,0.0,0.0,0.0,0.4186,0.4186,0.8371,0.0,0.0,0.8371,0.0,0.0,0.0,0.4186,0.4186,0.0,0.4186,0.8371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2743,0.2003,0.1069,0.2743,0.2003,0.1069,0
